,date,previous_home_fixture,home_team,home_team_id,away_team,away_team_id,previous_away_fixture,last_home_goals,last_away_goals,last_home_shots_on_goal,last_home_shots_off_goal,last_home_total_shots,last_home_blocked_shots,last_home_shots_insidebox,last_home_shots_outsidebox,last_home_fouls,last_home_cornerkicks,last_home_offsides,last_home_ballpossession,last_home_yellowcards,last_home_redcards,last_home_gk_saves,last_home_pass_accuracy,last_away_shots_on_goal,last_away_shots_off_goal,last_away_total_shots,last_away_blocked_shots,last_away_shots_insidebox,last_away_shots_outsidebox,last_away_fouls,last_away_cornerkicks,last_away_offsides,last_away_ballpossession,last_away_yellowcards,last_away_redcards,last_away_gk_saves,last_away_pass_accuracy,result
763,2017-09-09T14:00:00+00:00,11890,Brighton,51,West Brom,60,11885,0,1,2,8,16,6,10,6,18,11,5,0.58,1,0,0,0.829099307,2,8,10,0,8,2,10,10,2,0.42,2,0,1,0.761146497,1
786,2017-09-24T15:00:00+00:00,11871,Brighton,51,Newcastle,34,11867,1,2,2,5,9,2,5,4,12,4,1,0.38,0,0,1,0.743589744,3,6,14,5,8,6,13,7,2,0.42,3,0,3,0.711340206,1
805,2017-10-15T12:30:00+00:00,11844,Brighton,51,Everton,45,11843,0,0,1,5,9,3,4,5,8,5,3,0.35,2,0,6,0.753501401,4,13,25,8,10,15,14,9,1,0.63,2,0,1,0.794411178,0
825,2017-10-29T13:30:00+00:00,11831,Brighton,51,Southampton,41,11824,3,1,5,1,7,1,5,2,13,3,1,0.35,0,0,2,0.744807122,6,11,20,3,11,9,10,8,2,0.65,0,0,2,0.835314092,0
847,2017-11-20T20:00:00+00:00,11810,Brighton,51,Stoke City,75,11811,1,2,2,2,5,1,3,2,12,7,2,0.44,1,0,2,0.71967655,7,3,11,1,9,2,12,4,0,0.47,0,0,2,0.749340369,0
859,2017-11-28T19:45:00+00:00,11787,Brighton,51,Crystal Palace,52,11786,0,2,2,3,8,3,4,4,9,0,1,0.42,2,0,4,0.76980198,5,2,10,3,8,2,9,5,2,0.54,1,0,2,0.770325203,0
870,2017-12-02T15:00:00+00:00,11780,Brighton,51,Liverpool,40,11774,0,3,4,4,10,2,6,4,13,10,5,0.53,2,0,4,0.738938053,7,3,14,4,7,7,10,9,2,0.61,5,0,1,0.812043796,-1
899,2017-12-16T15:00:00+00:00,11744,Brighton,51,Burnley,44,11751,0,1,4,2,7,1,5,2,10,2,1,0.25,1,0,5,0.649193548,2,5,10,3,6,4,6,6,4,0.51,0,0,7,0.640306122,0
914,2017-12-23T15:00:00+00:00,11738,Brighton,51,Watford,38,11740,0,1,2,6,12,4,8,4,13,8,2,0.57,4,0,6,0.789473684,3,7,13,3,10,3,12,8,3,0.59,2,1,3,0.787610619,1
937,2018-01-01T12:30:00+00:00,11710,Brighton,51,Bournemouth,35,11706,0,2,3,5,10,2,6,4,10,6,2,0.55,2,0,2,0.784158416,7,7,18,4,10,8,8,4,0,0.47,0,0,0,0.697115385,0
958,2018-01-20T12:30:00+00:00,11691,Brighton,51,Chelsea,49,11686,0,0,1,7,13,5,7,6,15,6,2,0.56,0,0,2,0.773333333,7,4,17,6,6,11,14,6,5,0.55,2,0,1,0.835616438,-1
979,2018-02-03T15:00:00+00:00,11668,Brighton,51,West Ham,48,11671,1,1,2,4,9,3,5,4,10,2,4,0.35,1,0,2,0.682539683,3,4,8,1,7,1,11,5,2,0.4,1,0,2,0.689189189,1
1001,2018-02-24T15:00:00+00:00,11648,Brighton,51,Swansea,76,11649,1,1,6,7,14,1,9,5,10,4,3,0.43,0,0,1,0.643835616,4,2,13,7,8,5,10,5,2,0.57,2,0,1,0.787096774,1
1015,2018-03-04T13:30:00+00:00,11637,Brighton,51,Arsenal,42,11632,4,0,5,9,16,2,10,6,17,3,3,0.47,1,0,2,0.757352941,5,2,10,3,5,5,11,6,0,0.45,1,0,2,0.789962825,1
1035,2018-03-31T14:00:00+00:00,11543,Brighton,51,Leicester,46,11545,1,3,3,3,6,0,4,2,7,3,2,0.27,1,0,4,0.797342193,10,6,19,3,9,10,7,6,6,0.4,2,0,6,0.777419355,-1
1044,2018-04-07T14:00:00+00:00,11601,Brighton,51,Huddersfield,37,11603,0,0,3,7,15,5,9,6,11,6,6,0.46,2,0,2,0.729946524,0,2,4,2,1,3,10,3,1,0.37,4,0,2,0.654867257,0
1062,2018-04-17T18:45:00+00:00,11584,Brighton,51,Tottenham,47,11581,2,1,3,6,12,3,10,2,16,6,1,0.5,2,0,4,0.717579251,3,1,8,4,4,4,11,5,5,0.48,3,0,3,0.799568966,0
1082,2018-05-04T19:00:00+00:00,11562,Brighton,51,Manchester United,33,11559,0,2,1,4,9,4,7,2,17,4,3,0.56,2,0,4,0.752314815,3,6,16,7,10,6,12,9,2,0.59,0,0,2,0.891625616,1
1116,2018-08-19T15:00:00+00:00,70,Brighton,51,Manchester United,33,65,0,2,0,5,6,1,5,1,16,2,3,0.47,2,0,3,0.771428571,6,1,8,1,5,3,11,2,4,0.46,2,0,3,0.822680412,1
1132,2018-09-01T14:00:00+00:00,91,Brighton,51,Fulham,36,88,0,4,2,2,6,2,4,2,14,5,3,0.3,1,0,6,0.727828746,12,10,25,3,8,17,11,6,1,0.63,2,0,0,0.853146853,0
1155,2018-09-22T16:30:00+00:00,114,Brighton,51,Tottenham,47,105,2,1,4,5,12,3,8,4,13,4,2,0.49,3,0,2,0.762443439,3,5,11,3,7,4,17,5,3,0.6,0,0,8,0.806921676,-1
1168,2018-10-05T19:00:00+00:00,129,Brighton,51,West Ham,48,125,0,3,1,1,4,2,4,0,10,3,2,0.2,3,0,6,0.652380952,3,4,8,1,5,3,12,4,2,0.49,0,0,3,0.821978022,1
1192,2018-10-27T14:00:00+00:00,152,Brighton,51,Wolves,39,154,1,0,2,4,8,2,5,3,17,2,1,0.32,2,0,6,0.611336032,1,6,10,3,4,6,23,8,2,0.44,3,0,1,0.773809524,1
