,date,previous_home_fixture,home_team,home_team_id,away_team,away_team_id,previous_away_fixture,last_home_goals,last_away_goals,last_home_shots_on_goal,last_home_shots_off_goal,last_home_total_shots,last_home_blocked_shots,last_home_shots_insidebox,last_home_shots_outsidebox,last_home_fouls,last_home_cornerkicks,last_home_offsides,last_home_ballpossession,last_home_yellowcards,last_home_redcards,last_home_gk_saves,last_home_pass_accuracy,last_away_shots_on_goal,last_away_shots_off_goal,last_away_total_shots,last_away_blocked_shots,last_away_shots_insidebox,last_away_shots_outsidebox,last_away_fouls,last_away_cornerkicks,last_away_offsides,last_away_ballpossession,last_away_yellowcards,last_away_redcards,last_away_gk_saves,last_away_pass_accuracy,result
763,2017-09-09T14:00:00+00:00,11890,Brighton,51,West Brom,60,11885,0,1,2.0,8.0,16.0,6.0,10.0,6.0,18.0,11.0,5.0,0.58,1.0,0.0,0.0,0.8290993071593533,2.0,8.0,10.0,0.0,8.0,2.0,10.0,10.0,2.0,0.42,2.0,0.0,1.0,0.7611464968152867,1.0
786,2017-09-24T15:00:00+00:00,11871,Brighton,51,Newcastle,34,11867,1,2,2.0,5.0,9.0,2.0,5.0,4.0,12.0,4.0,1.0,0.38,0.0,0.0,1.0,0.7435897435897436,3.0,6.0,14.0,5.0,8.0,6.0,13.0,7.0,2.0,0.42,3.0,0.0,3.0,0.711340206185567,1.0
805,2017-10-15T12:30:00+00:00,11844,Brighton,51,Everton,45,11843,0,0,1.0,5.0,9.0,3.0,4.0,5.0,8.0,5.0,3.0,0.35000000000000003,2.0,0.0,6.0,0.7535014005602241,4.0,13.0,25.0,8.0,10.0,15.0,14.0,9.0,1.0,0.63,2.0,0.0,1.0,0.7944111776447106,0.0
825,2017-10-29T13:30:00+00:00,11831,Brighton,51,Southampton,41,11824,3,1,5.0,1.0,7.0,1.0,5.0,2.0,13.0,3.0,1.0,0.35000000000000003,0.0,0.0,2.0,0.744807121661721,6.0,11.0,20.0,3.0,11.0,9.0,10.0,8.0,2.0,0.65,0.0,0.0,2.0,0.8353140916808149,0.0
847,2017-11-20T20:00:00+00:00,11810,Brighton,51,Stoke City,75,11811,1,2,2.0,2.0,5.0,1.0,3.0,2.0,12.0,7.0,2.0,0.44,1.0,0.0,2.0,0.7196765498652291,7.0,3.0,11.0,1.0,9.0,2.0,12.0,4.0,0.0,0.47,0.0,0.0,2.0,0.7493403693931399,0.0
859,2017-11-28T19:45:00+00:00,11787,Brighton,51,Crystal Palace,52,11786,0,2,2.0,3.0,8.0,3.0,4.0,4.0,9.0,0.0,1.0,0.42,2.0,0.0,4.0,0.7698019801980198,5.0,2.0,10.0,3.0,8.0,2.0,9.0,5.0,2.0,0.54,1.0,0.0,2.0,0.7703252032520326,0.0
870,2017-12-02T15:00:00+00:00,11780,Brighton,51,Liverpool,40,11774,0,3,4.0,4.0,10.0,2.0,6.0,4.0,13.0,10.0,5.0,0.53,2.0,0.0,4.0,0.7389380530973452,7.0,3.0,14.0,4.0,7.0,7.0,10.0,9.0,2.0,0.61,5.0,0.0,1.0,0.8120437956204379,-1.0
899,2017-12-16T15:00:00+00:00,11744,Brighton,51,Burnley,44,11751,0,1,4.0,2.0,7.0,1.0,5.0,2.0,10.0,2.0,1.0,0.25,1.0,0.0,5.0,0.6491935483870968,2.0,5.0,10.0,3.0,6.0,4.0,6.0,6.0,4.0,0.51,0.0,0.0,7.0,0.6403061224489796,0.0
914,2017-12-23T15:00:00+00:00,11738,Brighton,51,Watford,38,11740,0,1,2.0,6.0,12.0,4.0,8.0,4.0,13.0,8.0,2.0,0.5700000000000001,4.0,0.0,6.0,0.7894736842105263,3.0,7.0,13.0,3.0,10.0,3.0,12.0,8.0,3.0,0.59,2.0,1.0,3.0,0.7876106194690266,1.0
937,2018-01-01T12:30:00+00:00,11710,Brighton,51,Bournemouth,35,11706,0,2,3.0,5.0,10.0,2.0,6.0,4.0,10.0,6.0,2.0,0.55,2.0,0.0,2.0,0.7841584158415842,7.0,7.0,18.0,4.0,10.0,8.0,8.0,4.0,0.0,0.47,0.0,0.0,0.0,0.6971153846153846,0.0
