date,fixture_id,home_team,away_team,result,home_goals,away_goals,home_shots_on_goal,home_shots_off_goal,home_total_shots,home_blocked_shots,home_shots_insidebox,home_shots_outsidebox,home_fouls,home_cornerkicks,home_offsides,home_possession,home_yellowcards,home_redcards,home_gk_saves,home_pass_percentage,away_shots_on_goal,away_shots_off_goal,away_total_shots,away_blocked_shots,away_shots_insidebox,away_shots_outsidebox,away_fouls,away_cornerkicks,away_offsides,away_possession,away_yellowcards,away_redcards,away_gk_saves,away_pass_percentage
2018-04-17T18:45:00+00:00,11577,Brighton,Tottenham,0,1,0,4,4,11,3,6,5,5,5,1,0.31,2,0,3,0.699680511,3,7,16,6,5,11,3,6,2,0.69,0,0,3,0.885925926
2018-04-07T14:00:00+00:00,11592,Brighton,Huddersfield,0,1,1,5,2,8,1,5,3,6,3,0,0.35,1,0,5,0.703081232,6,5,16,5,7,9,5,4,0,0.65,0,0,4,0.847003155
2018-03-31T14:00:00+00:00,11601,Brighton,Leicester,0,1,1,4,6,13,3,9,5,13,5,3,0.4,1,1,4,0.65,5,5,15,5,8,7,7,3,3,0.6,0,0,4,0.784761905
2018-03-04T13:30:00+00:00,11624,Brighton,Arsenal,1,0,2,3,7,15,5,9,6,11,6,6,0.46,2,0,2,0.729946524,4,2,6,0,5,1,13,1,1,0.54,6,1,3,0.758928571
2018-02-24T15:00:00+00:00,11637,Brighton,Swansea,1,2,1,6,5,13,2,8,5,13,6,6,0.31,3,0,6,0.724738676,7,2,15,6,9,6,12,11,0,0.69,3,0,4,0.840390879
2018-02-03T15:00:00+00:00,11657,Brighton,West Ham,1,4,1,5,9,16,2,10,6,17,3,3,0.47,1,0,2,0.757352941,1,6,11,4,4,8,6,5,0,0.53,0,0,1,0.769585253
2018-01-20T12:30:00+00:00,11681,Brighton,Chelsea,0,3,1,5,11,21,5,14,7,11,4,3,0.54,3,0,0,0.747787611,1,2,4,1,4,0,7,1,3,0.46,1,0,2,0.744736842
2018-01-01T12:30:00+00:00,11702,Brighton,Bournemouth,0,0,4,3,5,10,2,7,3,12,5,4,0.41,3,0,6,0.79281768,10,1,14,3,7,7,5,3,0,0.59,0,0,3,0.863551402
2017-12-23T15:00:00+00:00,11724,Brighton,Watford,1,2,2,6,3,15,6,10,5,13,5,1,0.49,2,0,6,0.76142132,8,5,26,13,15,11,9,12,0,0.51,1,0,4,0.816377171
2017-12-16T15:00:00+00:00,11738,Brighton,Burnley,0,1,0,3,8,14,3,8,6,8,6,6,0.51,0,0,1,0.769953052,1,6,12,5,7,5,11,4,0,0.49,0,0,2,0.725440806
2017-12-02T15:00:00+00:00,11765,Brighton,Liverpool,0,0,0,2,6,12,4,8,4,13,8,2,0.57,4,0,6,0.789473684,7,0,11,4,8,3,13,2,2,0.43,2,0,1,0.67877095
2017-11-28T19:45:00+00:00,11780,Brighton,Crystal Palace,0,1,5,2,3,6,1,6,0,8,2,0,0.42,1,0,2,0.81390593,6,4,12,2,8,5,7,2,2,0.58,0,0,1,0.880664653
2017-11-20T20:00:00+00:00,11792,Brighton,Stoke City,0,0,0,4,4,10,2,6,4,13,10,5,0.53,2,0,4,0.738938053,4,5,10,1,5,5,8,5,0,0.47,0,0,3,0.728395062
2017-10-29T13:30:00+00:00,11814,Brighton,Southampton,0,2,2,3,6,9,0,4,5,13,6,3,0.53,1,0,4,0.787878788,6,2,13,5,10,3,5,7,1,0.47,0,0,1,0.797979798
2017-10-15T12:30:00+00:00,11834,Brighton,Everton,0,1,1,2,4,7,1,6,1,9,2,0,0.51,3,0,0,0.806122449,1,2,6,3,3,3,10,7,1,0.49,1,0,1,0.8
2017-09-24T15:00:00+00:00,11853,Brighton,Newcastle,1,1,1,3,3,12,6,8,4,12,7,5,0.46,4,0,5,0.74025974,6,5,13,2,7,6,10,1,1,0.54,1,0,2,0.784922395
2017-09-09T14:00:00+00:00,11877,Brighton,West Brom,1,1,0,3,2,7,2,5,2,6,2,1,0.48,2,0,5,0.773972603,5,7,17,5,9,8,8,8,0,0.52,1,0,2,0.796943231
2017-08-12T16:30:00+00:00,11904,Brighton,Manchester City,0,3,1,6,3,12,3,3,9,9,2,1,0.48,2,0,2,0.810267857,3,6,12,3,5,7,4,6,1,0.52,0,0,3,0.817787419
2018-08-19T15:00:00+00:00,83,Brighton,Manchester United,1,0,2,2,2,6,2,4,2,6,3,6,0.21,0,0,3,0.610328638,4,5,14,5,7,8,9,10,1,0.79,2,0,2,0.899739583
2018-09-01T14:00:00+00:00,96,Brighton,Fulham,0,3,2,3,3,6,0,5,1,16,3,2,0.33,1,0,1,0.64664311,3,4,9,2,6,3,13,5,2,0.67,1,0,0,0.847902098
2018-09-22T16:30:00+00:00,122,Brighton,Tottenham,0,2,2,5,7,15,3,12,3,12,7,2,0.41,3,0,3,0.767567568,5,3,10,2,7,3,14,1,4,0.59,3,0,3,0.845735027
2018-10-05T19:00:00+00:00,135,Brighton,West Ham,1,1,2,4,3,8,1,4,4,15,5,2,0.28,2,0,5,0.741176471,7,5,16,4,11,5,9,7,0,0.72,1,0,3,0.886018237
2018-10-27T14:00:00+00:00,155,Brighton,Wolves,1,1,0,4,4,9,1,6,3,12,2,5,0.35,3,0,4,0.680851064,4,7,17,6,11,6,8,9,1,0.65,2,0,3,0.838521401
2018-11-24T15:00:00+00:00,186,Brighton,Leicester,0,1,0,1,5,7,1,5,2,11,1,0,0.39,3,0,7,0.723756906,7,8,25,10,13,12,8,10,1,0.61,0,0,0,0.839388145
