date,fixture_id,home_team,away_team,result,home_goals,away_goals,home_shots_on_goal,home_shots_off_goal,home_total_shots,home_blocked_shots,home_shots_insidebox,home_shots_outsidebox,home_fouls,home_cornerkicks,home_offsides,home_possession,home_yellowcards,home_redcards,home_gk_saves,home_pass_percentage,away_shots_on_goal,away_shots_off_goal,away_total_shots,away_blocked_shots,away_shots_insidebox,away_shots_outsidebox,away_fouls,away_cornerkicks,away_offsides,away_possession,away_yellowcards,away_redcards,away_gk_saves,away_pass_percentage
2015-08-22T14:00:00+00:00,192320,Norwich,Stoke City,0,1,3,6,9,17,2,6,11,0,1,4,0.62,1,0,4,0.825531915,7,2,11,2,8,3,0,4,2,0.38,0,0,4,0.735294118
2015-09-12T14:00:00+00:00,192338,Norwich,Bournemouth,1,1,1,7,8,20,5,10,10,0,9,2,0.42,4,0,0,0.785276074,1,4,6,1,4,2,0,0,4,0.58,1,0,6,0.839400428
2015-10-03T14:00:00+00:00,192368,Norwich,Leicester,0,3,1,4,8,12,0,7,5,0,4,0,0.47,2,0,1,0.777777778,2,3,7,2,5,2,0,4,2,0.53,3,0,1,0.785714286
2015-10-24T14:00:00+00:00,192391,Norwich,West Brom,0,1,2,2,9,17,6,11,6,0,16,2,0.66,0,0,3,0.794238683,5,8,16,3,15,1,0,8,1,0.34,1,0,1,0.602362205
2015-11-07T15:00:00+00:00,192410,Norwich,Swansea,1,0,1,3,9,16,4,8,8,0,13,4,0.6,1,0,3,0.809012876,4,3,7,0,4,3,0,3,0,0.4,2,0,3,0.620253165
2015-11-29T16:15:00+00:00,192435,Norwich,Arsenal,0,1,0,5,4,9,0,4,5,0,5,3,0.32,1,0,0,0.819526627,0,7,8,1,4,4,0,2,2,0.68,0,0,4,0.888101983
2015-12-12T12:45:00+00:00,192447,Norwich,Everton,0,1,1,2,4,7,1,3,4,0,3,3,0.36,1,0,1,0.762711864,3,5,12,4,7,5,0,6,2,0.64,1,0,2,0.873801917
2015-12-28T15:00:00+00:00,192477,Norwich,Aston Villa,1,1,1,2,5,9,2,5,4,0,5,1,0.41,1,0,2,0.766169154,3,10,15,2,11,4,0,4,1,0.59,0,0,0,0.833916084
2016-01-02T15:00:00+00:00,192491,Norwich,Southampton,1,2,0,4,4,9,1,4,5,0,3,2,0.48,2,0,3,0.700831025,3,2,6,1,2,4,0,7,0,0.52,5,0,2,0.770234987
2016-01-23T12:45:00+00:00,192517,Norwich,Liverpool,0,1,0,1,7,10,2,6,4,0,4,2,0.41,1,0,4,0.691011236,4,5,10,1,8,2,0,9,2,0.59,2,1,0,0.767206478
2016-02-02T19:45:00+00:00,192531,Norwich,Tottenham,0,4,5,5,0,6,1,5,1,0,3,1,0.47,0,0,2,0.703241895,7,2,13,4,8,5,0,3,4,0.53,1,0,1,0.746067416
2016-02-13T15:00:00+00:00,192552,Norwich,West Ham,0,0,3,3,6,11,2,7,4,0,6,5,0.45,2,0,3,0.718309859,6,9,17,2,12,5,0,8,0,0.55,2,0,2,0.748826291
2016-03-01T19:45:00+00:00,192567,Norwich,Chelsea,0,2,2,3,7,13,3,6,7,16,3,3,0.48,2,0,4,0.643617021,6,5,11,0,6,5,11,3,8,0.52,2,0,1,0.730673317
2016-03-12T12:45:00+00:00,192587,Norwich,Manchester City,0,1,2,2,7,13,4,7,6,0,4,3,0.47,3,0,0,0.774049217,2,4,10,4,7,3,0,4,2,0.53,2,0,2,0.821153846
2016-04-02T14:00:00+00:00,192610,Norwich,Newcastle,1,0,0,0,4,5,1,2,3,0,3,2,0.33,3,0,3,0.692789969,3,5,15,7,6,9,0,8,1,0.67,1,0,0,0.8448
2016-04-16T11:45:00+00:00,192627,Norwich,Sunderland,0,3,2,6,5,13,2,8,5,0,6,4,0.42,0,0,3,0.677325581,5,7,13,1,10,3,0,5,3,0.58,0,0,3,0.781052632
2016-05-11T18:45:00+00:00,192646,Norwich,Watford,1,0,3,7,6,19,6,10,9,0,14,3,0.64,2,0,0,0.690594059,3,5,8,0,5,3,0,0,5,0.36,2,0,6,0.5625
2016-05-07T11:45:00+00:00,192657,Norwich,Manchester United,0,4,2,6,6,18,6,10,9,8,5,5,0.55,2,0,5,0.795959596,7,2,12,3,6,6,13,1,3,0.45,3,0,3,0.7325
2015-08-30T12:30:00+00:00,192335,Southampton,Norwich,0,1,3,2,3,6,1,3,3,0,6,2,0.43,1,0,3,0.691709845,6,4,18,8,9,9,0,6,1,0.57,2,0,1,0.791836735
2015-09-20T15:00:00+00:00,192356,Liverpool,Norwich,1,3,0,8,13,23,2,17,6,0,6,2,0.61,0,0,1,0.846153846,1,3,6,2,3,3,0,4,0,0.39,2,1,5,0.732758621
2015-09-26T14:00:00+00:00,192361,West Ham,Norwich,1,1,1,7,7,23,9,14,9,0,6,3,0.58,1,0,1,0.829015544,2,4,7,1,2,5,0,2,1,0.42,2,0,6,0.69924812
