date,fixture_id,home_team,away_team,result,home_goals,away_goals,home_shots_on_goal,home_shots_off_goal,home_total_shots,home_blocked_shots,home_shots_insidebox,home_shots_outsidebox,home_fouls,home_cornerkicks,home_offsides,home_possession,home_yellowcards,home_redcards,home_gk_saves,home_pass_percentage,away_shots_on_goal,away_shots_off_goal,away_total_shots,away_blocked_shots,away_shots_insidebox,away_shots_outsidebox,away_fouls,away_cornerkicks,away_offsides,away_possession,away_yellowcards,away_redcards,away_gk_saves,away_pass_percentage
2018-08-25T11:30:00+00:00,85,Wolves,Manchester City,0,2,2,4,5,11,2,3,8,8,3,2,0.57,0,0,3,0.826325411,5,3,8,0,7,1,7,6,3,0.43,1,1,2,0.750611247
2018-09-16T12:30:00+00:00,112,Wolves,Burnley,1,1,1,2,6,11,3,7,4,13,5,4,0.28,1,0,5,0.680769231,6,6,18,6,9,9,8,9,3,0.72,2,0,1,0.895962733
2018-09-29T14:00:00+00:00,131,Wolves,Southampton,1,1,0,7,13,30,10,20,10,10,8,1,0.58,2,0,2,0.827160494,2,5,7,0,2,5,9,2,1,0.42,4,0,5,0.751898734
2018-10-20T14:00:00+00:00,154,Wolves,Watford,0,2,0,6,6,14,2,10,4,11,8,0,0.48,3,0,6,0.828235294,6,4,17,7,7,10,7,6,2,0.52,1,0,4,0.822072072
2018-11-03T19:45:00+00:00,174,Wolves,Tottenham,0,0,2,1,6,10,3,4,6,23,8,2,0.44,3,0,1,0.773809524,3,2,9,4,5,4,13,2,1,0.56,1,0,1,0.841818182
2018-11-25T16:00:00+00:00,194,Wolves,Huddersfield,0,2,3,7,4,16,5,8,8,11,5,5,0.48,1,0,5,0.816593886,8,1,10,1,7,3,8,1,3,0.52,2,0,5,0.825742574
2018-12-05T19:45:00+00:00,211,Wolves,Chelsea,1,0,2,3,6,12,3,6,6,9,3,1,0.44,1,0,4,0.749435666,6,4,14,4,6,8,8,5,1,0.56,2,0,2,0.793418647
2018-12-15T15:00:00+00:00,234,Wolves,Bournemouth,1,2,1,2,3,6,1,5,1,18,1,2,0.29,4,0,2,0.735915493,3,10,17,4,9,8,10,5,0,0.71,4,0,0,0.880530973
2018-12-21T20:00:00+00:00,244,Wolves,Liverpool,0,2,0,4,3,10,3,6,4,15,5,4,0.37,1,0,3,0.722365039,3,5,13,5,7,6,7,3,0,0.63,2,0,2,0.845181675
2019-01-02T19:45:00+00:00,274,Wolves,Crystal Palace,0,0,2,5,4,11,2,9,2,7,1,4,0.38,0,0,5,0.752380952,6,4,15,5,9,6,3,10,2,0.62,0,0,5,0.85037037
2019-01-19T12:30:00+00:00,294,Wolves,Leicester,1,0,2,1,5,9,3,4,5,9,3,1,0.51,4,0,2,0.817836812,4,6,17,7,9,8,7,10,0,0.49,1,0,1,0.802083333
2019-01-29T19:45:00+00:00,299,Wolves,West Ham,1,4,3,7,3,12,2,9,3,11,5,1,0.45,3,0,4,0.706036745,6,5,16,5,11,5,10,9,0,0.55,3,0,3,0.731543624
2019-02-11T20:00:00+00:00,324,Wolves,Newcastle,0,3,0,9,4,20,7,13,7,8,5,2,0.54,4,0,0,0.798742138,0,3,4,1,0,4,10,1,0,0.46,1,0,6,0.745
2019-03-02T15:00:00+00:00,354,Wolves,Cardiff,1,1,1,6,8,22,8,16,6,7,13,1,0.59,1,0,2,0.805778491,3,2,9,4,6,3,9,1,1,0.41,3,0,5,0.741935484
2019-04-24T18:45:00+00:00,374,Wolves,Arsenal,1,2,0,6,5,13,2,11,2,11,7,1,0.56,1,0,3,0.799154334,4,4,12,4,6,6,6,8,0,0.44,2,0,4,0.683615819
2019-04-02T18:45:00+00:00,394,Wolves,Manchester United,1,3,1,3,5,11,3,8,3,12,5,1,0.29,2,0,0,0.743859649,1,4,11,6,5,6,9,5,3,0.71,3,0,0,0.886956522
2019-04-20T14:00:00+00:00,414,Wolves,Brighton,0,2,1,2,5,9,2,7,2,5,3,4,0.49,1,0,3,0.817647059,4,7,18,7,7,11,11,5,5,0.51,4,1,2,0.809708738
2019-05-04T14:00:00+00:00,434,Wolves,Fulham,1,0,0,5,14,23,4,18,5,0,14,0,0.68,0,0,0,0.887804878,0,4,5,1,2,3,8,1,1,0.32,1,0,5,0.727272727
2018-09-01T14:00:00+00:00,101,West Ham,Wolves,1,2,0,2,2,6,2,1,5,10,1,0,0.42,2,1,2,0.827225131,3,7,11,1,6,5,8,9,1,0.58,1,0,1,0.808
2018-09-22T14:00:00+00:00,121,Manchester United,Wolves,1,0,1,3,5,13,5,8,5,10,4,1,0.47,2,0,5,0.801801802,6,7,15,2,6,9,11,4,0,0.53,1,0,3,0.836363636
2018-10-06T14:00:00+00:00,137,Crystal Palace,Wolves,1,1,1,6,3,15,6,5,10,5,5,3,0.64,1,0,7,0.852339181,8,3,11,0,5,6,17,4,2,0.36,1,0,5,0.744063325
2018-10-27T14:00:00+00:00,155,Brighton,Wolves,0,0,1,4,4,11,3,5,6,11,6,1,0.67,3,0,1,0.826833073,2,5,7,0,4,3,13,3,1,0.33,4,0,4,0.678343949
2018-11-11T16:30:00+00:00,175,Arsenal,Wolves,1,1,0,1,5,7,1,5,2,11,1,0,0.39,3,0,7,0.723756906,7,8,25,10,13,12,8,10,1,0.61,0,0,0,0.839388145
2018-11-30T20:00:00+00:00,196,Cardiff,Wolves,0,1,1,3,3,10,4,5,5,9,11,1,0.71,2,0,4,0.865122616,5,6,13,2,7,6,16,2,2,0.29,2,0,2,0.712328767
2018-12-09T16:00:00+00:00,223,Newcastle,Wolves,1,2,1,3,8,17,6,10,7,3,7,2,0.47,1,0,3,0.608974359,4,9,15,2,7,8,12,6,0,0.53,2,0,0,0.684057971
2018-12-26T12:30:00+00:00,248,Fulham,Wolves,1,1,2,4,5,12,3,7,5,10,4,0,0.5,2,1,4,0.792941176,6,5,13,2,9,4,17,6,2,0.5,5,0,3,0.8
2018-12-29T15:00:00+00:00,263,Tottenham,Wolves,1,1,1,5,5,11,1,8,3,9,2,0,0.29,2,0,4,0.706293706,5,7,14,2,8,6,6,0,2,0.71,1,0,3,0.855474453
2019-01-14T20:00:00+00:00,282,Manchester City,Wolves,0,1,3,3,4,10,3,1,9,7,6,0,0.6,3,0,1,0.884036145,4,4,11,3,9,2,7,7,4,0.4,2,0,2,0.799031477
2019-02-02T15:00:00+00:00,310,Everton,Wolves,1,3,0,9,7,24,8,13,11,6,12,3,0.76,1,0,0,0.92087156,0,1,3,2,2,1,3,1,1,0.24,0,1,7,0.671378092
2019-02-23T15:00:00+00:00,326,Bournemouth,Wolves,1,1,3,4,2,13,7,9,4,12,3,2,0.64,3,0,1,0.805243446,4,2,8,2,5,3,14,1,1,0.36,1,0,3,0.669934641
2019-02-26T19:45:00+00:00,337,Huddersfield,Wolves,0,1,1,3,5,10,2,9,1,10,9,1,0.44,4,0,1,0.732432432,2,5,10,3,6,4,15,8,3,0.56,5,0,2,0.752136752
2019-03-10T14:05:00+00:00,357,Chelsea,Wolves,1,1,0,3,9,15,3,8,7,10,3,0,0.49,2,0,0,0.773033708,0,5,7,2,4,3,10,5,4,0.51,2,0,2,0.770065076
2019-03-30T15:00:00+00:00,377,Burnley,Wolves,0,1,1,6,2,22,14,10,12,8,13,1,0.75,1,0,0,0.903658537,1,1,2,0,1,1,14,0,2,0.25,4,0,5,0.707581227
2019-04-13T14:00:00+00:00,402,Southampton,Wolves,0,2,0,1,3,6,2,5,1,12,1,1,0.37,1,0,1,0.639751553,1,3,8,4,6,2,10,5,2,0.63,1,0,0,0.77340824
2019-04-27T14:00:00+00:00,424,Watford,Wolves,1,3,1,6,4,12,2,9,3,13,4,0,0.3,1,0,1,0.640569395,2,8,17,7,8,9,8,9,2,0.7,3,0,3,0.808
2019-05-12T14:00:00+00:00,440,Liverpool,Wolves,0,1,2,1,5,10,4,5,5,10,4,3,0.56,3,0,1,0.828282828,4,3,11,4,8,3,11,5,5,0.44,2,0,0,0.751295337
