Date,HomeTeam,AwayTeam,FT_HomeGoals,FT_AwayGoals,FT_Result,HT_HomeGoals,HT_AwayGoals,HT_Result,HomeShotsonTarget,AwayShotsonTarget,HomeFouls,AwayFouls,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,Bet365_HomeWin_Odds,Bet365_Draw_Odds,Bet365_AwayWin_Odds,WilliamHill_HomeWin_Odds,WilliamHill_HomeDraw_Odds,WilliamHill_AwayWin_Odds,Result
8/24/2019,Liverpool,Arsenal,0,1,A,0,0,D,2,2,12,7,1,3,0,0,1.5,4.6,6,1.47,4.75,6.5,1
9/15/2019,Watford,Arsenal,3,1,H,1,0,H,5,3,8,5,1,1,0,0,3.6,3.6,2,3.6,3.7,2,0
9/30/2019,Man United,Arsenal,2,2,D,0,2,A,7,4,14,4,3,3,0,0,2.37,3.5,2.9,2.35,3.5,3,0
10/21/2019,Sheffield United,Arsenal,1,1,D,1,0,H,4,5,18,13,4,2,0,0,3.9,3.75,1.9,3.8,3.75,1.91,1
11/9/2019,Leicester,Arsenal,1,0,H,1,0,H,2,3,10,12,4,4,0,0,2,3.75,3.5,1.95,3.7,3.7,1
12/1/2019,Norwich,Arsenal,2,0,H,0,0,D,7,1,10,10,1,1,0,0,4,4.33,1.75,4.2,4.2,1.75,0
12/9/2019,West Ham,Arsenal,2,2,D,2,1,H,8,7,8,10,2,1,0,0,3.3,4,2,3.4,4.2,1.95,0
12/21/2019,Everton,Arsenal,1,3,A,1,0,H,4,3,12,6,2,0,0,0,2.3,3.8,2.87,2.3,3.7,2.9,0
12/26/2019,Bournemouth,Arsenal,0,0,D,0,0,D,0,2,10,11,2,3,0,0,3.5,3.9,1.95,3.5,3.8,2,0
1/11/2020,Crystal Palace,Arsenal,1,1,D,1,0,H,4,2,5,13,4,4,0,0,4.1,3.9,1.8,4.33,3.8,1.8,0
1/21/2020,Chelsea,Arsenal,1,1,D,0,1,A,3,4,14,22,2,3,0,1,1.72,3.9,4.5,1.73,3.9,4.6,0
2/2/2020,Burnley,Arsenal,2,2,D,1,0,H,8,2,11,6,2,1,0,1,3.6,3.6,2,3.75,3.5,2,0
6/17/2020,Man City,Arsenal,0,0,D,0,0,D,2,2,8,11,1,3,0,0,1.36,5.25,7.5,1.33,5.5,8.5,1
6/20/2020,Brighton,Arsenal,3,0,H,1,0,H,12,0,9,7,1,1,0,1,3.1,3.25,2.37,3,3.3,2.4,1
6/25/2020,Southampton,Arsenal,2,1,H,0,0,D,5,6,13,8,2,1,0,0,2.6,3.5,2.62,2.6,3.5,2.62,0
7/4/2020,Wolves,Arsenal,0,2,A,0,1,A,3,5,10,14,0,2,1,0,2.25,3.4,3.25,2.25,3.3,3.3,0
7/12/2020,Tottenham,Arsenal,0,2,A,0,1,A,1,5,6,11,2,4,0,0,2.62,3.4,2.7,2.6,3.4,2.7,1
7/21/2020,Aston Villa,Arsenal,2,1,H,1,1,D,9,4,16,11,5,3,0,0,3.3,3.6,2.1,3.2,3.8,2.1,1
