Date,HomeTeam,AwayTeam,FT_HomeGoals,FT_AwayGoals,FT_Result,HT_HomeGoals,HT_AwayGoals,HT_Result,HomeShotsonTarget,AwayShotsonTarget,HomeFouls,AwayFouls,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,Bet365_HomeWin_Odds,Bet365_Draw_Odds,Bet365_AwayWin_Odds,WilliamHill_HomeWin_Odds,WilliamHill_HomeDraw_Odds,WilliamHill_AwayWin_Odds,Result
9/1/2019,Arsenal,Tottenham,2,1,H,1,1,D,9,5,13,11,2,1,0,0,2.37,3.6,2.8,2.35,3.6,2.9,0
9/22/2019,Arsenal,Aston Villa,2,2,D,1,2,A,8,9,13,19,3,5,0,0,1.4,4.75,8,1.4,4.75,8,1
10/6/2019,Arsenal,Bournemouth,3,2,H,0,1,A,6,9,13,15,5,1,1,0,1.44,4.75,7,1.44,4.8,7,1
10/27/2019,Arsenal,Crystal Palace,1,0,H,1,0,H,2,2,12,6,1,2,0,0,1.45,4.75,6.5,1.47,4.6,6.5,0
11/2/2019,Arsenal,Wolves,2,2,D,2,1,H,6,4,18,9,2,0,0,0,1.75,3.75,4.75,1.75,3.7,4.75,0
11/23/2019,Arsenal,Southampton,1,1,D,1,0,H,4,8,6,15,0,2,0,0,1.45,4.75,6.5,1.44,4.75,7,0
12/5/2019,Arsenal,Brighton,2,2,D,1,1,D,5,6,13,19,6,2,0,0,1.57,4.33,5.5,1.57,4.2,5.8,0
12/15/2019,Arsenal,Man City,1,2,A,0,1,A,5,9,10,11,3,1,0,0,6,5.25,1.44,6,5.25,1.44,0
12/29/2019,Arsenal,Chelsea,0,3,A,0,3,A,1,7,9,24,1,4,0,0,2.87,3.75,2.3,2.8,3.7,2.35,0
1/1/2020,Arsenal,Man United,1,2,A,1,0,H,2,4,13,19,5,4,0,0,2.55,3.6,2.62,2.55,3.6,2.6,1
1/18/2020,Arsenal,Sheffield United,2,0,H,2,0,H,4,4,11,15,2,0,0,0,1.83,3.6,4.33,1.83,3.6,4.4,0
2/16/2020,Arsenal,Newcastle,1,1,D,1,0,H,4,4,9,13,1,2,0,0,1.4,4.75,8,1.42,4.5,8,1
2/23/2020,Arsenal,Everton,4,0,H,0,0,D,7,2,15,9,2,0,0,0,2,3.6,3.7,2.05,3.5,3.6,1
3/7/2020,Arsenal,West Ham,3,2,H,2,2,D,4,5,12,12,0,4,0,0,1.57,4.4,5.5,1.55,4.33,5.8,1
7/1/2020,Arsenal,Norwich,1,0,H,0,0,D,2,6,11,9,1,2,0,0,1.44,4.75,7,1.42,4.6,8,1
7/7/2020,Arsenal,Leicester,4,0,H,2,0,H,8,2,10,10,1,4,0,0,2.3,3.5,3,2.38,3.4,3,0
7/15/2020,Arsenal,Liverpool,1,1,D,1,0,H,7,5,10,14,1,0,1,0,3.8,3.8,1.9,3.9,3.8,1.88,1
7/26/2020,Arsenal,Watford,2,1,H,2,1,H,2,8,14,10,3,1,0,0,1.9,3.8,3.8,1.91,3.9,3.75,1
