Date,HomeTeam,AwayTeam,FT_HomeGoals,FT_AwayGoals,FT_Result,HT_HomeGoals,HT_AwayGoals,HT_Result,HomeShotsonTarget,AwayShotsonTarget,HomeFouls,AwayFouls,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,Bet365_HomeWin_Odds,Bet365_Draw_Odds,Bet365_AwayWin_Odds,WilliamHill_HomeWin_Odds,WilliamHill_HomeDraw_Odds,WilliamHill_AwayWin_Odds,Result
8/22/2015,Crystal Palace,Aston Villa,0,1,A,0,0,D,2,3,13,13,3,4,0,0,1.85,3.6,4.75,1.85,3.4,4.5,1
9/13/2015,Leicester,Aston Villa,2,1,H,0,0,D,6,2,12,15,3,3,0,0,1.91,3.75,4.33,1.91,3.3,4.33,1
9/26/2015,Liverpool,Aston Villa,3,2,H,0,1,A,6,4,8,13,2,1,0,0,1.53,4.33,7,1.53,3.8,7,1
10/17/2015,Chelsea,Aston Villa,3,2,H,1,0,H,12,4,8,13,0,0,0,0,1.33,5.75,10,1.36,4.8,8.5,1
11/2/2015,Tottenham,Aston Villa,2,0,H,1,0,H,3,1,22,17,1,3,0,0,1.44,4.75,8,1.44,4.2,8,1
11/21/2015,Everton,Aston Villa,3,1,H,2,0,H,6,2,6,15,0,3,0,0,1.57,4.2,6.5,1.57,3.8,6,1
12/5/2015,Southampton,Aston Villa,4,0,H,3,0,H,9,3,6,9,0,0,0,0,1.5,4.5,7.5,1.53,3.6,7.5,0
12/19/2015,Newcastle,Aston Villa,1,1,D,0,1,A,5,2,4,9,1,2,0,0,2.05,3.5,4,2,3.2,4,0
12/28/2015,Norwich,Aston Villa,1,1,D,1,0,H,4,7,9,14,1,3,0,0,2.05,3.6,3.8,2.05,3.4,3.6,1
1/2/2016,Sunderland,Aston Villa,2,0,H,1,0,H,4,3,10,21,2,5,0,0,2.5,3.25,3.2,2.4,3.1,3.1,1
1/23/2016,West Brom,Aston Villa,3,1,H,1,0,H,6,3,8,13,3,4,0,0,2.1,3.3,4,2.1,3,4,0
2/2/2016,West Ham,Aston Villa,0,0,D,0,0,D,0,4,7,13,0,1,0,0,1.91,3.5,4.75,1.91,3.2,4.33,1
2/27/2016,Stoke,Aston Villa,2,0,H,0,0,D,6,2,9,11,3,0,0,1,1.62,3.75,5.5,1.67,3.4,6,1
3/5/2016,Man City,Aston Villa,2,1,H,0,0,D,3,1,7,15,0,3,0,0,1.22,7,15,1.22,5.5,17,1
3/19/2016,Swansea,Aston Villa,4,0,H,0,0,D,9,1,10,10,0,1,0,0,1.67,3.8,6,1.67,3.4,6,1
4/16/2016,Man United,Aston Villa,1,0,H,0,0,D,1,2,9,10,3,2,0,0,1.22,7,17,1.25,5.5,13,1
4/30/2016,Watford,Aston Villa,1,0,H,1,0,H,4,1,9,10,0,1,0,0,1.7,3.8,5.75,1.7,3.5,5.5,1
5/15/2016,Arsenal,Aston Villa,3,2,H,1,1,D,6,2,14,10,2,3,0,1,1.17,9,17,1.14,7.5,19,1
8/21/2013,Chelsea,Aston Villa,4,0,H,1,0,H,7,2,12,6,0,1,0,0,1.29,5.5,10,1.3,5.5,9.5,1
9/21/2013,Norwich,Aston Villa,2,1,H,1,1,D,3,3,12,13,1,4,0,0,2.4,3.4,3.2,2.4,3.3,3.2,0
10/5/2013,Hull,Aston Villa,0,1,A,0,1,A,1,4,15,10,1,0,0,0,2.45,3.3,3.2,2.5,3,3,0
11/2/2013,West Ham,Aston Villa,0,0,D,0,0,D,1,4,7,11,2,1,0,0,2.25,3.5,3.4,2.25,3.2,3.3,0
