Date,HomeTeam,AwayTeam,FT_HomeGoals,FT_AwayGoals,FT_Result,HT_HomeGoals,HT_AwayGoals,HT_Result,HomeShotsonTarget,AwayShotsonTarget,HomeFouls,AwayFouls,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,Bet365_HomeWin_Odds,Bet365_Draw_Odds,Bet365_AwayWin_Odds,WilliamHill_HomeWin_Odds,WilliamHill_HomeDraw_Odds,WilliamHill_AwayWin_Odds,Result
8/31/2019,Crystal Palace,Aston Villa,3,1,H,0,1,A,7,4,13,9,1,0,0,0,2.15,3.3,3.5,2.2,3.3,3.4,1
9/22/2019,Arsenal,Aston Villa,1,0,H,0,0,D,5,2,15,16,2,4,0,1,1.4,4.75,8,1.4,4.75,8,1
10/5/2019,Norwich,Aston Villa,3,2,H,0,1,A,6,9,13,15,5,1,1,0,2.37,3.6,2.8,2.4,3.6,2.8,0
10/26/2019,Man City,Aston Villa,1,5,A,0,2,A,5,12,14,17,1,3,0,0,1.08,11,26,1.07,12,29,1
11/10/2019,Wolves,Aston Villa,3,0,H,0,0,D,9,5,10,5,1,1,1,0,1.9,3.5,4.2,1.88,3.6,4.2,1
12/1/2019,Man United,Aston Villa,2,1,H,1,0,H,5,4,17,8,4,3,0,0,1.45,4.5,7,1.47,4.2,7.5,0
12/4/2019,Chelsea,Aston Villa,2,2,D,1,1,D,6,3,16,8,4,1,0,0,1.28,5.75,10,1.27,5.8,11,1
12/14/2019,Sheffield United,Aston Villa,2,1,H,1,1,D,9,3,18,10,2,1,0,0,1.85,3.75,4.2,1.85,3.7,4.2,1
12/28/2019,Watford,Aston Villa,2,0,H,0,0,D,3,0,10,9,2,2,0,0,1.95,3.8,3.6,2,3.75,3.6,1
1/1/2020,Burnley,Aston Villa,3,0,H,1,0,H,6,2,16,9,3,1,1,0,1.75,3.8,4.33,1.78,3.8,4.4,0
1/18/2020,Brighton,Aston Villa,1,2,A,0,2,A,1,6,12,10,1,1,0,0,1.66,4,5,1.63,4.2,5,0
2/1/2020,Bournemouth,Aston Villa,1,1,D,1,0,H,2,3,11,13,3,3,0,0,2.1,3.6,3.3,2.15,3.5,3.4,1
2/22/2020,Southampton,Aston Villa,2,1,H,2,0,H,6,5,10,15,1,3,1,0,1.61,4.33,5,1.62,4.2,5.25,1
3/9/2020,Leicester,Aston Villa,2,0,H,1,0,H,9,1,13,17,1,4,0,0,1.36,5.25,8,1.38,5,8,1
6/24/2020,Newcastle,Aston Villa,4,0,H,1,0,H,7,1,15,12,2,1,0,0,2.3,3.3,3.2,2.3,3.3,3.2,0
7/5/2020,Liverpool,Aston Villa,1,1,D,0,0,D,3,2,15,13,2,2,0,0,1.33,5.5,8.5,1.32,5.5,9,1
7/16/2020,Everton,Aston Villa,2,0,H,0,0,D,4,3,18,8,1,1,0,0,2,3.5,3.75,2,3.6,3.7,0
7/26/2020,West Ham,Aston Villa,1,1,D,0,0,D,1,1,15,13,2,1,0,0,3,3.6,2.3,3,3.6,2.3,0
