Date,HomeTeam,AwayTeam,FT_HomeGoals,FT_AwayGoals,FT_Result,HT_HomeGoals,HT_AwayGoals,HT_Result,HomeShotsonTarget,AwayShotsonTarget,HomeFouls,AwayFouls,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,Bet365_HomeWin_Odds,Bet365_Draw_Odds,Bet365_AwayWin_Odds,WilliamHill_HomeWin_Odds,WilliamHill_HomeDraw_Odds,WilliamHill_AwayWin_Odds,Result
8/29/2015,Aston Villa,Sunderland,0,1,A,0,1,A,1,2,14,10,2,2,0,0,1.91,3.5,4.75,1.91,3.2,4.5,0
9/19/2015,Aston Villa,West Brom,2,2,D,2,1,H,6,3,10,14,2,1,0,0,2.3,3.25,3.5,2.3,3.2,3.2,0
10/3/2015,Aston Villa,Stoke,0,1,A,0,1,A,3,6,10,11,2,3,0,0,2.5,3.3,3.1,2.5,3.2,2.9,0
10/24/2015,Aston Villa,Swansea,0,1,A,0,0,D,2,5,12,12,1,0,0,0,3,3.3,2.6,3,2.9,2.62,0
11/8/2015,Aston Villa,Man City,1,2,A,0,0,D,3,4,10,8,2,3,0,0,7.5,5,1.44,8,4,1.44,0
11/28/2015,Aston Villa,Watford,0,0,D,0,0,D,0,3,7,7,1,1,0,0,2.75,3.3,2.8,2.7,3.1,2.7,0
12/13/2015,Aston Villa,Arsenal,2,3,A,1,1,D,6,6,6,13,2,3,0,0,6.5,4.2,1.57,6.5,3.75,1.57,0
12/26/2015,Aston Villa,West Ham,0,2,A,0,2,A,2,4,8,7,0,0,0,0,2.63,3.25,2.75,2.7,3.1,2.7,0
1/12/2016,Aston Villa,Crystal Palace,1,1,D,0,1,A,8,4,14,13,3,3,0,0,3.2,3.25,2.45,3.1,3,2.5,1
1/16/2016,Aston Villa,Leicester,1,0,H,0,0,D,3,1,15,9,2,1,0,0,3.6,3.4,2.2,3.4,3.1,2.25,0
2/6/2016,Aston Villa,Norwich,1,1,D,0,1,A,5,5,13,15,3,2,0,0,2.45,3.2,3.3,2.4,3.1,3.1,1
2/14/2016,Aston Villa,Liverpool,2,0,H,1,0,H,3,4,10,11,0,2,0,0,4.75,3.6,1.85,4.5,3.4,1.85,0
3/1/2016,Aston Villa,Everton,0,6,A,0,2,A,1,9,10,9,3,1,0,0,4.5,3.6,1.91,4.5,3.4,1.85,0
3/13/2016,Aston Villa,Tottenham,1,3,A,0,2,A,5,7,8,7,3,1,0,0,7.5,4.5,1.5,7,4,1.5,0
4/2/2016,Aston Villa,Chelsea,0,2,A,0,1,A,2,8,6,6,0,0,0,0,6.5,4.33,1.57,6.5,3.75,1.57,0
4/9/2016,Aston Villa,Bournemouth,0,4,A,0,2,A,4,8,12,8,4,1,1,0,3.4,3.2,2.2,3.5,3.25,2.15,0
4/23/2016,Aston Villa,Southampton,1,2,A,0,1,A,1,3,13,11,2,2,0,0,7.5,4.2,1.53,7,3.6,1.57,0
5/7/2016,Aston Villa,Newcastle,2,4,A,1,2,A,7,7,8,9,2,0,0,0,5.75,4.2,1.65,6,3.6,1.62,0
8/24/2013,Aston Villa,Liverpool,0,0,D,0,0,D,0,3,8,13,1,1,0,0,4,3.75,1.95,3.75,3.6,1.95,0
9/14/2013,Aston Villa,Newcastle,0,1,A,0,1,A,3,1,9,8,3,3,0,0,2.15,3.4,3.8,2.2,3.1,3.5,0
9/28/2013,Aston Villa,Man City,1,2,A,0,1,A,1,8,9,11,1,4,0,0,6.5,4.2,1.57,6.5,3.6,1.57,1
10/20/2013,Aston Villa,Tottenham,3,2,H,0,1,A,4,7,13,9,1,1,0,0,4,3.5,2.05,3.75,3.2,2.05,0
10/26/2013,Aston Villa,Everton,0,2,A,0,1,A,2,6,13,12,3,4,0,0,3.4,3.4,2.3,3.4,3,2.3,0
11/9/2013,Aston Villa,Cardiff,0,2,A,0,0,D,3,4,14,8,0,2,0,0,2,3.5,4.2,2.05,3.1,4,1
11/30/2013,Aston Villa,Sunderland,2,0,H,0,0,D,6,2,10,3,1,1,0,0,2,3.4,4.33,2,3.3,3.8,0
12/15/2013,Aston Villa,Man United,0,0,D,0,0,D,4,1,14,12,2,1,0,0,5.25,3.8,1.75,5.5,3.1,1.8,0
12/26/2013,Aston Villa,Crystal Palace,0,3,A,0,2,A,6,5,15,8,4,2,0,0,1.91,3.5,4.5,1.91,3.2,4.5,0
12/28/2013,Aston Villa,Swansea,0,1,A,0,0,D,4,7,11,8,2,2,0,0,3,3.3,2.55,2.8,3.1,2.62,0
1/13/2014,Aston Villa,Arsenal,1,1,D,1,1,D,3,3,13,9,3,2,0,0,6,4.2,1.62,6,3.6,1.62,0
1/29/2014,Aston Villa,West Brom,1,2,A,0,2,A,5,4,12,9,2,2,0,0,2.6,3.3,3,2.62,3.1,2.8,1
2/8/2014,Aston Villa,West Ham,4,3,H,3,3,D,6,4,15,10,1,3,0,0,2.1,3.5,3.8,2.15,3,3.75,0
3/2/2014,Aston Villa,Norwich,0,2,A,0,0,D,1,2,9,8,0,2,0,0,2.1,3.4,3.9,2.15,3.2,3.5,1
3/15/2014,Aston Villa,Chelsea,4,1,H,4,1,H,4,4,12,10,0,3,0,0,7,4.33,1.53,7,3.75,1.53,1
3/23/2014,Aston Villa,Stoke,1,0,H,0,0,D,4,2,14,8,4,0,0,2,2.2,3.3,3.75,2.2,3.2,3.4,0
4/5/2014,Aston Villa,Fulham,1,4,A,1,3,A,3,5,16,10,5,1,0,0,2.05,3.5,4,2,3.25,4,0
4/19/2014,Aston Villa,Southampton,1,2,A,0,0,D,6,8,10,13,3,2,0,0,3.4,3.4,2.1,3.3,3.3,2.2,0
5/3/2014,Aston Villa,Hull,0,0,D,0,0,D,1,2,11,11,0,2,0,0,2.5,3.3,3.1,2.5,3,3,1
8/25/2012,Aston Villa,Everton,3,1,H,3,1,H,9,2,14,9,0,0,0,0,2.9,3.4,2.4,2.88,3.2,2.5,0
