Date,HomeTeam,AwayTeam,FT_HomeGoals,FT_AwayGoals,FT_Result,HT_HomeGoals,HT_AwayGoals,HT_Result,HomeShotsonTarget,AwayShotsonTarget,HomeFouls,AwayFouls,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,Bet365_HomeWin_Odds,Bet365_Draw_Odds,Bet365_AwayWin_Odds,WilliamHill_HomeWin_Odds,WilliamHill_HomeDraw_Odds,WilliamHill_AwayWin_Odds,Result
8/23/2019,Aston Villa,Everton,1,2,A,0,2,A,7,4,10,13,0,2,0,0,3.25,3.5,2.15,3.1,3.5,2.25,1
9/16/2019,Aston Villa,West Ham,2,0,H,1,0,H,3,1,10,18,2,3,0,0,2.62,3.5,2.6,2.6,3.5,2.62,0
9/28/2019,Aston Villa,Burnley,0,0,D,0,0,D,5,1,13,12,2,1,0,1,2.3,3.4,3.1,2.35,3.3,3.1,0
10/19/2019,Aston Villa,Brighton,2,2,D,1,0,H,3,3,10,16,1,4,0,0,2.35,3.4,3,2.35,3.4,3,1
11/2/2019,Aston Villa,Liverpool,2,1,H,1,1,D,8,5,9,17,1,2,0,1,9,5,1.33,8.5,5.25,1.35,0
11/25/2019,Aston Villa,Newcastle,1,2,A,1,0,H,2,6,12,9,1,2,0,0,2.05,3.4,3.7,2.1,3.5,3.5,1
12/8/2019,Aston Villa,Leicester,2,0,H,2,0,H,8,5,10,9,1,1,0,0,4.33,3.8,1.8,4.2,3.9,1.8,0
12/21/2019,Aston Villa,Southampton,1,4,A,1,2,A,2,8,21,15,6,2,0,0,2.4,3.6,2.8,2.45,3.5,2.8,0
12/26/2019,Aston Villa,Norwich,1,3,A,0,2,A,6,8,16,15,2,1,0,0,2.1,3.75,3.3,2.1,3.7,3.25,1
1/12/2020,Aston Villa,Man City,1,0,H,0,0,D,2,6,15,12,2,3,0,0,13,8.5,1.16,15,8,1.17,0
1/21/2020,Aston Villa,Watford,1,6,A,0,4,A,1,12,5,12,2,1,0,0,2.8,3.5,2.45,2.8,3.4,2.5,1
2/16/2020,Aston Villa,Tottenham,2,1,H,0,1,A,5,2,11,18,2,2,0,0,4,3.8,1.85,4,3.75,1.88,0
6/17/2020,Aston Villa,Sheffield United,2,3,A,1,2,A,4,10,12,10,2,0,0,0,3.2,3.4,2.25,3.3,3.3,2.25,0
6/21/2020,Aston Villa,Chelsea,0,0,D,0,0,D,6,1,11,14,1,1,0,0,6,4.5,1.5,6,4.6,1.5,0
6/27/2020,Aston Villa,Wolves,1,2,A,1,0,H,4,5,9,17,2,1,0,0,4.6,3.7,1.75,4.8,3.7,1.75,0
7/9/2020,Aston Villa,Man United,0,1,A,0,0,D,1,2,16,16,1,1,0,0,9,5.25,1.33,10,5,1.33,0
7/12/2020,Aston Villa,Crystal Palace,0,3,A,0,2,A,1,6,7,13,2,3,0,0,2.25,3.3,3.3,2.25,3.3,3.3,1
7/21/2020,Aston Villa,Arsenal,2,0,H,1,0,H,9,5,21,21,2,4,0,1,3.3,3.6,2.1,3.2,3.8,2.1,1
