Date,HomeTeam,AwayTeam,FT_HomeGoals,FT_AwayGoals,FT_Result,HT_HomeGoals,HT_AwayGoals,HT_Result,HomeShotsonTarget,AwayShotsonTarget,HomeFouls,AwayFouls,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,Bet365_HomeWin_Odds,Bet365_Draw_Odds,Bet365_AwayWin_Odds,WilliamHill_HomeWin_Odds,WilliamHill_HomeDraw_Odds,WilliamHill_AwayWin_Odds,Result
8/25/2018,Liverpool,Brighton,2,0,H,1,0,H,5,0,10,16,2,2,0,0,1.16,8.5,19,1.15,8,17,1
9/17/2018,Southampton,Brighton,1,0,H,1,0,H,8,2,8,14,1,1,0,0,2.1,3.4,3.9,2.05,3.2,3.75,0
9/29/2018,Man City,Brighton,2,2,D,1,0,H,5,4,10,13,2,3,0,0,1.1,12,34,1.07,12,29,1
10/20/2018,Newcastle,Brighton,2,0,H,1,0,H,8,1,4,10,0,3,0,0,2.2,3.25,3.8,2.15,3.2,3.7,0
11/3/2018,Everton,Brighton,0,1,A,0,1,A,6,2,13,17,0,2,0,0,1.61,4,6.5,1.6,3.9,6,1
11/10/2018,Cardiff,Brighton,3,1,H,1,1,D,3,3,9,17,0,1,0,0,2.6,3.1,3.1,2.55,3.1,3,1
12/1/2018,Huddersfield,Brighton,2,1,H,1,1,D,6,3,7,21,2,1,0,1,2.5,3,3.4,2.45,3,3.25,0
12/8/2018,Burnley,Brighton,1,2,A,1,1,D,2,6,10,12,0,2,1,0,2.9,3.2,2.75,2.75,3.1,2.75,1
12/22/2018,Bournemouth,Brighton,1,0,H,1,0,H,4,1,11,11,2,0,0,0,1.9,3.7,4.33,1.91,3.5,4.2,1
1/2/2019,West Ham,Brighton,2,0,H,1,0,H,3,5,8,18,2,0,0,1,1.95,3.75,4,1.91,3.6,4,0
1/19/2019,Man United,Brighton,2,2,D,0,0,D,6,6,9,11,0,1,0,0,1.3,5.75,12,1.29,5.5,11,1
1/29/2019,Fulham,Brighton,2,1,H,2,0,H,5,3,11,11,1,0,0,0,2.37,3.3,3.3,2.35,3.2,3.2,1
2/26/2019,Leicester,Brighton,4,2,H,0,2,A,7,6,10,5,2,3,0,0,1.9,3.5,4.6,1.88,3.4,4.4,1
3/9/2019,Crystal Palace,Brighton,2,1,H,1,0,H,3,3,6,4,1,1,0,0,1.83,3.6,5,1.83,3.4,4.75,0
4/3/2019,Chelsea,Brighton,1,2,A,0,1,A,3,3,8,18,1,5,0,0,1.25,6.5,15,1.25,5.8,13,1
4/20/2019,Wolves,Brighton,3,0,H,1,0,H,4,1,5,9,0,0,0,0,1.75,3.5,6,1.75,3.4,5.5,0
4/23/2019,Tottenham,Brighton,0,0,D,0,0,D,5,0,0,8,0,1,0,0,1.28,6,13,1.27,5.5,12,1
5/5/2019,Arsenal,Brighton,1,0,H,0,0,D,5,1,7,13,1,2,0,0,1.4,5,9,1.4,4.6,8.5,0
8/19/2017,Leicester,Brighton,1,1,D,1,0,H,8,5,9,14,5,2,0,0,1.73,3.8,5.5,1.73,3.3,5.5,1
8/26/2017,Watford,Brighton,2,0,H,1,0,H,4,2,8,10,1,0,0,0,1.91,3.4,4,1.95,3.25,4.2,0
9/15/2017,Bournemouth,Brighton,0,0,D,0,0,D,0,2,7,18,0,1,1,0,2.15,3.4,3.8,2.1,3.3,3.8,1
10/1/2017,Arsenal,Brighton,2,1,H,0,0,D,3,2,5,12,0,0,0,0,1.2,6.5,13,1.22,6,13,1
10/20/2017,West Ham,Brighton,2,0,H,1,0,H,12,1,7,8,0,2,0,0,1.83,3.5,5.25,1.83,3.3,5,0
11/4/2017,Swansea,Brighton,0,3,A,0,2,A,2,5,5,13,1,0,0,0,2.39,3.2,3.39,2.4,3.1,3.3,0
11/25/2017,Man United,Brighton,0,1,A,0,1,A,2,2,13,12,2,1,0,0,1.19,7,19,1.22,5.5,21,1
12/9/2017,Huddersfield,Brighton,1,0,H,0,0,D,4,2,9,9,0,2,0,0,2.7,3.1,3,2.62,2.9,3,1
12/13/2017,Tottenham,Brighton,2,0,H,2,0,H,6,2,6,10,0,0,0,0,1.25,6.5,15,1.25,6,13,1
12/26/2017,Chelsea,Brighton,2,0,H,1,0,H,8,4,5,10,1,1,0,0,1.19,7.5,17,1.2,7,15,1
12/30/2017,Newcastle,Brighton,2,0,H,0,0,D,8,1,8,8,0,1,0,0,2.14,3.2,4,2.15,3.2,3.6,0
1/13/2018,West Brom,Brighton,0,0,D,0,0,D,2,3,11,10,2,2,0,0,2.14,3,4.33,2.05,3,4.2,1
1/31/2018,Southampton,Brighton,2,0,H,1,0,H,4,1,8,15,0,0,0,0,1.75,3.5,6,1.75,3.3,6,0
2/10/2018,Stoke,Brighton,1,1,D,0,1,A,3,2,8,10,3,1,0,0,2.2,3.2,3.39,2.15,3.1,3.6,0
3/10/2018,Everton,Brighton,1,1,D,0,1,A,3,6,6,10,0,0,0,0,2.2,3.2,3.89,2.2,3.1,3.75,1
4/14/2018,Crystal Palace,Brighton,2,0,H,0,0,D,3,4,10,14,0,1,0,1,1.9,3.5,4.75,1.91,3.2,4.8,1
4/28/2018,Burnley,Brighton,3,2,H,3,2,H,8,3,12,16,3,2,0,0,2.25,3.2,3.7,2.2,3.1,3.75,0
5/9/2018,Man City,Brighton,0,0,D,0,0,D,4,1,5,17,0,2,0,0,1.12,10,27,1.12,10,21,1
5/13/2018,Liverpool,Brighton,3,1,H,2,1,H,7,3,5,7,0,1,0,0,1.19,8,15,1.2,6.5,17,1
