Date,HomeTeam,AwayTeam,FT_HomeGoals,FT_AwayGoals,FT_Result,HT_HomeGoals,HT_AwayGoals,HT_Result,HomeShotsonTarget,AwayShotsonTarget,HomeFouls,AwayFouls,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,Bet365_HomeWin_Odds,Bet365_Draw_Odds,Bet365_AwayWin_Odds,WilliamHill_HomeWin_Odds,WilliamHill_HomeDraw_Odds,WilliamHill_AwayWin_Odds,Result
8/31/2019,Man City,Brighton,0,3,A,0,1,A,3,3,15,11,0,1,0,0,1.08,10,26,1.07,11,34,1
9/21/2019,Newcastle,Brighton,4,0,H,2,0,H,6,2,10,6,1,1,0,0,2.5,3.2,3,2.45,3.2,3,0
9/28/2019,Chelsea,Brighton,0,0,D,0,0,D,4,3,12,8,2,1,0,0,1.4,4.75,8,1.42,4.5,8,1
10/19/2019,Aston Villa,Brighton,2,0,H,0,0,D,10,1,5,13,2,3,0,0,2.35,3.4,3,2.35,3.4,3,1
11/10/2019,Man United,Brighton,2,1,H,1,1,D,8,5,9,17,1,2,0,1,1.6,3.75,6.5,1.67,3.6,5.8,1
11/30/2019,Liverpool,Brighton,3,1,H,2,0,H,11,2,10,14,2,5,0,0,1.18,7,15,1.2,6.5,15,1
12/5/2019,Arsenal,Brighton,2,1,H,2,0,H,7,5,3,10,0,0,1,0,1.57,4.33,5.5,1.57,4.2,5.8,0
12/16/2019,Crystal Palace,Brighton,1,2,A,0,1,A,5,9,10,11,3,1,0,0,2.55,3.25,2.87,2.5,3.25,2.9,0
12/26/2019,Tottenham,Brighton,1,1,D,0,0,D,4,10,7,12,1,1,0,0,1.53,4.33,6,1.55,4.33,5.8,1
1/11/2020,Everton,Brighton,2,1,H,0,1,A,5,5,10,9,4,2,0,0,1.85,3.8,4,1.75,3.5,4.2,1
1/21/2020,Bournemouth,Brighton,1,0,H,1,0,H,6,2,7,7,2,1,0,0,2.87,3.4,2.45,2.9,3.3,2.5,1
2/1/2020,West Ham,Brighton,3,1,H,2,0,H,3,8,9,12,1,1,0,0,2.6,3.3,2.75,2.55,3.3,2.8,0
2/22/2020,Sheffield United,Brighton,3,3,D,2,0,H,6,6,8,9,1,1,0,0,1.95,3.4,4.2,1.95,3.25,4.33,0
3/7/2020,Wolves,Brighton,1,1,D,1,1,D,3,2,3,6,0,2,0,0,1.61,3.9,5.75,1.63,3.9,5.5,0
6/23/2020,Leicester,Brighton,0,0,D,0,0,D,1,1,4,7,1,3,0,0,1.6,4,5.75,1.62,3.9,5.8,0
7/4/2020,Norwich,Brighton,0,0,D,0,0,D,2,2,10,13,2,2,0,0,3.3,3.4,2.2,3.4,3.3,2.2,0
7/16/2020,Southampton,Brighton,0,1,A,0,1,A,1,2,11,13,2,2,0,0,2.15,3.3,3.5,2.15,3.3,3.5,0
7/26/2020,Burnley,Brighton,1,1,D,0,1,A,6,2,6,10,1,0,0,0,2.37,3.4,3,2.3,3.4,3.1,0
