Date,HomeTeam,AwayTeam,FT_HomeGoals,FT_AwayGoals,FT_Result,HT_HomeGoals,HT_AwayGoals,HT_Result,HomeShotsonTarget,AwayShotsonTarget,HomeFouls,AwayFouls,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,Bet365_HomeWin_Odds,Bet365_Draw_Odds,Bet365_AwayWin_Odds,WilliamHill_HomeWin_Odds,WilliamHill_HomeDraw_Odds,WilliamHill_AwayWin_Odds,Result
9/1/2018,Brighton,Fulham,3,2,H,3,1,H,3,3,16,13,1,1,0,0,2.3,3.4,3.4,2.25,3.3,3.2,0
9/22/2018,Brighton,Tottenham,2,2,D,0,1,A,5,5,12,14,3,3,0,0,5,4,1.75,4.4,3.8,1.75,0
10/5/2018,Brighton,West Ham,1,2,A,0,1,A,4,7,15,9,2,1,0,0,2.7,3.3,2.87,2.62,3.2,2.8,1
10/27/2018,Brighton,Wolves,1,0,H,1,0,H,4,4,12,8,3,2,0,0,3.2,3.2,2.5,3.2,3,2.4,1
11/24/2018,Brighton,Leicester,1,0,H,0,0,D,1,7,11,8,3,0,0,0,2.9,3.4,2.6,2.8,3.2,2.62,0
12/4/2018,Brighton,Crystal Palace,1,1,D,1,0,H,3,3,10,7,3,1,0,1,3,3.1,2.7,2.9,3.1,2.62,1
12/16/2018,Brighton,Chelsea,3,1,H,3,0,H,3,5,14,12,2,3,1,0,7.5,4.5,1.5,7,4.33,1.47,0
12/26/2018,Brighton,Arsenal,1,2,A,0,2,A,2,3,14,6,2,2,0,0,5.25,3.9,1.72,5,3.8,1.7,0
12/29/2018,Brighton,Everton,1,1,D,1,1,D,3,4,10,4,2,1,0,0,3.25,3.4,2.14,3.4,3.3,2.2,1
1/12/2019,Brighton,Liverpool,1,0,H,0,0,D,3,4,10,11,0,2,0,0,11,6,1.3,10,5.5,1.3,0
2/2/2019,Brighton,Watford,0,1,A,0,0,D,0,3,15,5,0,0,0,0,2.55,3.3,3,2.55,3.2,2.9,0
2/9/2019,Brighton,Burnley,0,0,D,0,0,D,4,0,15,10,1,0,0,0,2.05,3.3,4.2,2.05,3.3,4,0
3/2/2019,Brighton,Huddersfield,1,3,A,0,1,A,6,5,8,7,1,1,0,0,1.85,3.4,5.25,1.78,3.6,4.75,1
3/30/2019,Brighton,Southampton,1,0,H,0,0,D,4,4,11,6,2,2,0,0,2.55,3.2,3.1,2.55,3.1,3,0
4/13/2019,Brighton,Bournemouth,0,1,A,0,0,D,1,2,8,10,1,2,0,0,2.3,3.4,3.4,2.25,3.3,3.3,0
4/16/2019,Brighton,Cardiff,0,5,A,0,1,A,1,7,10,6,2,4,1,0,2,3.3,4.5,2,3.2,4.33,0
4/27/2019,Brighton,Newcastle,0,2,A,0,1,A,2,3,11,13,0,1,0,0,2.3,3.2,3.6,2.25,3.1,3.5,0
5/12/2019,Brighton,Man City,1,1,D,0,1,A,2,1,7,10,2,3,0,0,19,8.5,1.16,19,8,1.14,0
8/12/2017,Brighton,Man City,1,4,A,1,2,A,2,9,12,8,0,0,0,0,11,5.5,1.33,10,4.8,1.33,0
9/9/2017,Brighton,West Brom,0,2,A,0,0,D,2,4,6,9,0,2,0,0,2.7,3.1,3,2.62,2.9,3,1
9/24/2017,Brighton,Newcastle,3,1,H,1,0,H,6,3,9,4,2,0,0,0,2.8,3.1,2.9,2.7,3.1,2.7,1
10/15/2017,Brighton,Everton,1,0,H,0,0,D,3,5,6,8,2,1,0,0,3.25,3.3,2.4,3.25,3.2,2.38,0
10/29/2017,Brighton,Southampton,1,1,D,0,0,D,3,6,12,10,4,1,0,0,3.29,3.2,2.45,3.25,3.2,2.38,0
11/20/2017,Brighton,Stoke,1,1,D,0,1,A,2,1,9,10,3,1,0,0,2.39,3.2,3.39,2.4,3.1,3.3,0
11/28/2017,Brighton,Crystal Palace,2,2,D,1,2,A,3,6,13,5,1,0,0,0,2.7,3.1,3,2.62,3.1,2.9,0
12/2/2017,Brighton,Liverpool,0,0,D,0,0,D,4,4,13,8,2,0,0,0,7.5,4.5,1.5,6.5,4.5,1.5,0
12/16/2017,Brighton,Burnley,1,5,A,0,2,A,2,6,8,7,1,0,0,0,2.62,3,3.2,2.62,2.9,3.2,0
12/23/2017,Brighton,Watford,0,0,D,0,0,D,2,6,13,13,4,2,0,0,2.62,3.2,3,2.62,3.1,3,1
1/1/2018,Brighton,Bournemouth,1,0,H,0,0,D,3,1,8,11,0,0,0,0,2.37,3.2,3.39,2.4,3.1,3.3,0
1/20/2018,Brighton,Chelsea,2,2,D,1,1,D,6,8,13,9,2,1,0,0,6.5,3.89,1.61,6.5,3.75,1.62,0
2/3/2018,Brighton,West Ham,0,4,A,0,2,A,3,10,12,5,3,0,0,0,2.35,3,3.7,2.3,3,3.6,1
2/24/2018,Brighton,Swansea,3,1,H,1,1,D,5,1,11,7,3,1,0,0,2.14,3.25,4,2.1,3,3.8,1
3/4/2018,Brighton,Arsenal,4,1,H,1,0,H,5,1,17,6,1,0,0,0,4.2,3.79,1.9,4,3.75,1.91,1
3/31/2018,Brighton,Leicester,2,1,H,2,1,H,6,7,13,12,3,3,0,0,2.7,3.2,2.62,2.8,3.1,2.62,0
4/7/2018,Brighton,Huddersfield,0,2,A,0,0,D,3,4,11,13,2,4,0,1,1.85,3.5,5,1.85,3.3,5,0
4/17/2018,Brighton,Tottenham,1,1,D,1,1,D,4,5,13,7,1,0,1,0,6.5,4.33,1.55,6.5,4.33,1.53,0
5/4/2018,Brighton,Man United,1,1,D,0,0,D,5,6,6,5,1,0,0,0,4.75,3.6,1.85,4.75,3.5,1.83,1
