Date,HomeTeam,AwayTeam,FT_HomeGoals,FT_AwayGoals,FT_Result,HT_HomeGoals,HT_AwayGoals,HT_Result,HomeShotsonTarget,AwayShotsonTarget,HomeFouls,AwayFouls,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,Bet365_HomeWin_Odds,Bet365_Draw_Odds,Bet365_AwayWin_Odds,WilliamHill_HomeWin_Odds,WilliamHill_HomeDraw_Odds,WilliamHill_AwayWin_Odds,Result
8/24/2019,Brighton,Southampton,1,1,D,0,0,D,4,3,11,10,0,2,0,0,2.4,3.3,3,2.4,3.2,3.1,0
9/14/2019,Brighton,Burnley,0,2,A,0,0,D,3,4,9,10,1,3,1,0,2.15,3.3,3.5,2.15,3.3,3.6,0
10/5/2019,Brighton,Tottenham,1,1,D,0,0,D,5,1,13,7,0,2,0,0,3.9,3.6,1.9,3.9,3.6,1.95,1
10/26/2019,Brighton,Everton,3,0,H,2,0,H,6,3,11,7,2,1,0,0,2.9,3.25,2.5,2.8,3.3,2.55,1
11/2/2019,Brighton,Norwich,3,2,H,1,1,D,4,6,12,12,2,1,0,0,1.72,4.2,4.33,1.65,4.2,4.75,1
11/23/2019,Brighton,Leicester,2,0,H,0,0,D,5,0,11,8,0,1,0,0,3.75,3.5,2,3.7,3.4,2.05,0
12/8/2019,Brighton,Wolves,0,2,A,0,0,D,0,9,9,1,2,0,0,0,2.62,3.1,2.87,2.7,3.1,2.8,0
12/21/2019,Brighton,Sheffield United,2,2,D,2,2,D,4,5,10,7,3,0,0,0,2.2,3.25,3.5,2.2,3.2,3.5,0
12/28/2019,Brighton,Bournemouth,0,1,A,0,1,A,2,2,6,11,1,3,0,0,1.75,3.9,4.33,1.78,3.8,4.4,1
1/1/2020,Brighton,Chelsea,2,0,H,1,0,H,6,2,8,11,0,2,0,0,3.6,3.6,1.95,3.7,3.6,2,0
1/18/2020,Brighton,Aston Villa,1,1,D,0,1,A,5,5,8,15,2,3,0,0,1.66,4,5,1.63,4.2,5,0
2/8/2020,Brighton,Watford,1,1,D,1,0,H,2,3,11,13,3,3,0,0,2.1,3.4,3.6,2.15,3.3,3.5,0
2/29/2020,Brighton,Crystal Palace,1,1,D,0,1,A,2,2,9,12,2,2,0,0,2.05,3.25,3.9,2.05,3.25,3.9,0
6/20/2020,Brighton,Arsenal,0,1,A,0,0,D,8,3,8,9,1,1,0,0,3.1,3.25,2.37,3,3.3,2.4,1
6/30/2020,Brighton,Man United,2,1,H,0,0,D,5,6,13,8,2,1,0,0,6,3.8,1.61,6.5,3.9,1.57,0
7/8/2020,Brighton,Liverpool,0,3,A,0,2,A,2,6,10,9,0,1,0,0,6,4.33,1.53,6,4.2,1.55,0
7/11/2020,Brighton,Man City,1,3,A,1,2,A,2,8,7,15,1,4,0,0,10,5.5,1.28,11,5.5,1.29,0
7/20/2020,Brighton,Newcastle,0,5,A,0,2,A,0,8,7,3,1,0,0,0,1.9,3.4,4.33,1.91,3.5,4.2,0
