Date,HomeTeam,AwayTeam,FT_HomeGoals,FT_AwayGoals,FT_Result,HT_HomeGoals,HT_AwayGoals,HT_Result,HomeShotsonTarget,AwayShotsonTarget,HomeFouls,AwayFouls,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,Bet365_HomeWin_Odds,Bet365_Draw_Odds,Bet365_AwayWin_Odds,WilliamHill_HomeWin_Odds,WilliamHill_HomeDraw_Odds,WilliamHill_AwayWin_Odds,Result
8/26/2018,Fulham,Burnley,0,0,D,0,0,D,3,6,10,9,0,1,0,0,2,3.4,4.33,2,3.25,3.9,1
9/16/2018,Wolves,Burnley,4,2,H,3,2,H,12,2,11,8,2,1,0,0,1.75,3.6,5.75,1.75,3.5,4.8,1
9/30/2018,Cardiff,Burnley,1,0,H,0,0,D,7,2,10,9,2,4,0,0,2.62,3,3.2,2.55,3.1,3,0
10/20/2018,Man City,Burnley,1,2,A,0,0,D,5,2,11,15,1,3,0,0,1.08,13,34,1.06,13,26,1
11/3/2018,West Ham,Burnley,5,0,H,1,0,H,10,0,11,5,2,2,0,0,1.75,3.75,5.25,1.75,3.7,4.8,1
11/10/2018,Leicester,Burnley,4,2,H,1,1,D,10,3,7,9,1,4,0,0,1.5,4.33,8,1.52,4.2,6.5,0
12/1/2018,Crystal Palace,Burnley,0,0,D,0,0,D,5,1,13,10,2,0,0,0,1.61,3.9,6.5,1.6,3.75,6.5,1
12/15/2018,Tottenham,Burnley,2,0,H,1,0,H,9,0,9,10,1,1,0,0,1.18,8,19,1.15,8,15,1
12/22/2018,Arsenal,Burnley,1,0,H,0,0,D,3,0,7,8,0,2,0,0,1.25,6.5,15,1.22,6,15,1
1/2/2019,Huddersfield,Burnley,3,1,H,1,0,H,6,2,10,14,2,5,0,0,2.14,3.1,4.2,2.1,3.1,4,0
1/19/2019,Watford,Burnley,1,2,A,1,1,D,2,8,11,9,0,4,1,1,1.65,4,5.75,1.62,3.9,5.8,0
1/29/2019,Man United,Burnley,0,0,D,0,0,D,4,3,14,9,1,2,0,0,1.28,6,12,1.25,5.8,12,0
2/9/2019,Brighton,Burnley,2,2,D,0,0,D,9,4,10,9,1,3,0,0,2.05,3.3,4.2,2.05,3.3,4,0
2/26/2019,Newcastle,Burnley,1,3,A,0,1,A,6,5,8,7,1,1,0,0,2.15,3.3,3.9,2.1,3.2,3.8,1
3/10/2019,Liverpool,Burnley,2,0,H,2,0,H,3,2,8,8,1,3,0,0,1.16,8.5,21,1.15,7.5,19,1
4/6/2019,Bournemouth,Burnley,4,2,H,2,1,H,5,2,4,7,2,0,0,0,2.1,3.6,3.75,2.05,3.5,3.6,0
4/22/2019,Chelsea,Burnley,1,3,A,1,2,A,2,3,12,16,2,3,0,0,1.25,6.25,15,1.25,5.8,13,0
5/3/2019,Everton,Burnley,2,2,D,2,2,D,9,3,9,4,2,1,0,0,1.66,4,5.75,1.7,3.9,5.5,1
8/12/2017,Chelsea,Burnley,2,0,H,2,0,H,6,1,8,9,0,2,0,0,1.25,6.5,15,1.25,5.5,13,0
8/27/2017,Tottenham,Burnley,2,3,A,0,3,A,6,5,16,11,3,3,2,0,1.25,6.5,15,1.25,5.5,13,0
9/16/2017,Liverpool,Burnley,1,1,D,0,0,D,5,3,9,9,0,0,0,0,1.29,6,13,1.29,5,12,0
