Date,HomeTeam,AwayTeam,FT_HomeGoals,FT_AwayGoals,FT_Result,HT_HomeGoals,HT_AwayGoals,HT_Result,HomeShotsonTarget,AwayShotsonTarget,HomeFouls,AwayFouls,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,Bet365_HomeWin_Odds,Bet365_Draw_Odds,Bet365_AwayWin_Odds,WilliamHill_HomeWin_Odds,WilliamHill_HomeDraw_Odds,WilliamHill_AwayWin_Odds,Result
8/25/2019,Wolves,Burnley,2,1,H,1,1,D,9,5,13,11,2,1,0,0,1.85,3.4,4.5,1.83,3.4,4.8,0
9/14/2019,Brighton,Burnley,1,1,D,0,1,A,2,4,9,11,0,2,0,0,2.15,3.3,3.5,2.15,3.3,3.6,0
9/28/2019,Aston Villa,Burnley,1,1,D,0,0,D,5,1,13,7,0,2,0,0,2.3,3.4,3.1,2.35,3.3,3.1,0
10/19/2019,Leicester,Burnley,2,2,D,1,0,H,3,3,10,16,1,4,0,0,1.57,4,6,1.55,4,6.5,1
11/2/2019,Sheffield United,Burnley,2,1,H,1,1,D,3,4,4,10,0,3,0,0,2.25,3.2,3.4,2.25,3.2,3.4,1
11/23/2019,Watford,Burnley,3,0,H,3,0,H,6,0,8,12,1,2,0,0,2.3,3.4,3.1,2.35,3.3,3.1,0
12/7/2019,Tottenham,Burnley,0,3,A,0,0,D,4,5,14,13,0,3,0,0,1.4,4.75,8,1.38,4.75,8.5,1
12/21/2019,Bournemouth,Burnley,5,0,H,3,0,H,7,1,12,8,1,1,0,0,2.4,3.4,2.9,2.45,3.4,2.9,0
12/26/2019,Everton,Burnley,0,1,A,0,0,D,0,1,13,21,2,4,0,0,1.7,3.75,5,1.7,3.7,5.25,1
1/11/2020,Chelsea,Burnley,1,0,H,0,0,D,5,0,15,14,0,0,0,0,1.28,5.5,11,1.29,5.5,11,1
1/22/2020,Man United,Burnley,3,0,H,2,0,H,8,2,7,4,0,3,0,0,1.36,4.75,9,1.4,4.5,8.5,0
2/15/2020,Southampton,Burnley,0,2,A,0,1,A,7,2,11,7,0,2,0,0,1.75,3.8,4.75,1.75,3.7,4.8,0
2/29/2020,Newcastle,Burnley,1,2,A,1,1,D,2,6,8,11,2,2,0,0,2.62,3.1,2.9,2.62,3.1,2.88,0
6/22/2020,Man City,Burnley,0,0,D,0,0,D,4,1,11,9,4,3,0,0,1.12,9,15,1.11,9,23,1
6/29/2020,Crystal Palace,Burnley,5,0,H,3,0,H,7,0,8,7,1,1,0,0,2.25,3.2,3.4,2.3,3.2,3.3,0
7/8/2020,West Ham,Burnley,0,1,A,0,0,D,4,4,12,13,1,1,0,0,2,3.4,3.9,2,3.4,3.9,0
7/11/2020,Liverpool,Burnley,0,1,A,0,1,A,5,4,7,7,1,1,0,0,1.22,6.5,12,1.24,6.5,12,0
7/18/2020,Norwich,Burnley,1,1,D,1,0,H,9,2,7,4,1,2,0,0,3.2,3.4,2.25,3.3,3.3,2.25,0
