Date,HomeTeam,AwayTeam,FT_HomeGoals,FT_AwayGoals,FT_Result,HT_HomeGoals,HT_AwayGoals,HT_Result,HomeShotsonTarget,AwayShotsonTarget,HomeFouls,AwayFouls,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,Bet365_HomeWin_Odds,Bet365_Draw_Odds,Bet365_AwayWin_Odds,WilliamHill_HomeWin_Odds,WilliamHill_HomeDraw_Odds,WilliamHill_AwayWin_Odds,Result
9/2/2018,Burnley,Man United,1,3,A,1,1,D,3,6,8,19,1,2,0,0,6,3.75,1.7,5.5,3.7,1.65,0
9/22/2018,Burnley,Bournemouth,0,2,A,0,2,A,2,9,7,13,2,3,0,1,3,3.4,2.5,2.8,3.3,2.5,1
10/6/2018,Burnley,Huddersfield,4,0,H,2,0,H,5,5,17,6,2,0,0,0,2.14,3.1,4.2,2.15,3,4,0
10/28/2018,Burnley,Chelsea,1,1,D,1,0,H,3,2,8,11,2,2,0,0,11,5,1.36,9.5,4.75,1.36,0
11/26/2018,Burnley,Newcastle,0,4,A,0,1,A,1,8,14,10,4,2,0,0,2.9,3.2,2.75,2.8,3.1,2.7,0
12/5/2018,Burnley,Liverpool,1,2,A,1,2,A,4,3,6,11,0,1,0,0,14,5.75,1.28,12,5.5,1.27,0
12/8/2018,Burnley,Brighton,1,3,A,0,0,D,6,12,10,3,1,0,0,0,2.9,3.2,2.75,2.75,3.1,2.75,1
12/26/2018,Burnley,Everton,1,0,H,1,0,H,4,1,11,11,2,0,0,0,4.33,3.5,1.95,4.33,3.4,1.91,0
12/30/2018,Burnley,West Ham,1,5,A,1,3,A,4,6,11,19,2,4,0,0,3.3,3.2,2.25,3.25,3.4,2.25,1
1/12/2019,Burnley,Fulham,2,0,H,2,0,H,5,4,15,11,1,4,0,0,2.4,3.3,3.25,2.3,3.2,3.25,1
2/2/2019,Burnley,Southampton,2,1,H,2,1,H,0,4,5,9,1,2,0,0,2.55,3.5,2.87,2.5,3.3,2.88,0
2/23/2019,Burnley,Tottenham,1,1,D,0,0,D,6,4,10,9,3,1,0,0,5.75,3.8,1.7,5.25,3.8,1.67,1
3/2/2019,Burnley,Crystal Palace,2,1,H,0,0,D,4,6,9,12,1,3,0,0,2.8,3.3,2.75,2.8,3.2,2.62,0
3/16/2019,Burnley,Leicester,1,3,A,0,1,A,4,4,9,9,1,2,0,0,3.1,3.4,2.45,3.1,3.3,2.35,0
3/30/2019,Burnley,Wolves,1,2,A,1,1,D,2,4,9,10,1,1,0,1,3.2,3.25,2.45,3.1,3.1,2.45,1
4/13/2019,Burnley,Cardiff,2,0,H,1,0,H,1,1,12,10,1,1,0,0,1.9,3.6,4.5,1.88,3.5,4.33,1
4/28/2019,Burnley,Man City,2,0,H,1,0,H,7,2,7,10,2,3,0,0,23,9,1.14,21,8.5,1.12,0
5/12/2019,Burnley,Arsenal,0,1,A,0,0,D,0,7,5,7,1,1,0,0,3.25,3.8,2.2,3.1,3.7,2.2,0
8/19/2017,Burnley,West Brom,1,3,A,0,0,D,5,6,11,3,5,1,0,0,2.63,3.2,3,2.4,3,3,0
9/10/2017,Burnley,Crystal Palace,0,1,A,0,0,D,0,1,11,11,1,0,0,1,2.3,3.25,3.5,2.38,3.1,3.2,1
9/23/2017,Burnley,Huddersfield,1,0,H,1,0,H,2,5,7,14,1,1,0,0,2.15,3.25,3.9,2.1,3.1,3.8,0
10/14/2017,Burnley,West Ham,0,0,D,0,0,D,3,2,9,13,3,2,0,0,2.75,3.25,2.8,2.6,3.2,2.88,0
