Date,HomeTeam,AwayTeam,FT_HomeGoals,FT_AwayGoals,FT_Result,HT_HomeGoals,HT_AwayGoals,HT_Result,HomeShotsonTarget,AwayShotsonTarget,HomeFouls,AwayFouls,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,Bet365_HomeWin_Odds,Bet365_Draw_Odds,Bet365_AwayWin_Odds,WilliamHill_HomeWin_Odds,WilliamHill_HomeDraw_Odds,WilliamHill_AwayWin_Odds,Result
8/31/2019,Burnley,Liverpool,3,0,H,0,0,D,4,3,6,12,0,0,0,0,9.5,5.5,1.3,10,5.25,1.32,0
9/21/2019,Burnley,Norwich,0,3,A,0,2,A,2,7,10,16,0,0,0,0,2,3.8,3.5,1.95,3.7,3.7,1
10/5/2019,Burnley,Everton,2,0,H,2,0,H,6,2,11,10,0,1,0,0,2.87,3.3,2.5,2.9,3.25,2.5,1
10/26/2019,Burnley,Chelsea,1,0,H,0,0,D,3,2,5,12,2,1,0,1,4.5,4,1.72,4.6,4,1.73,0
11/9/2019,Burnley,West Ham,2,4,A,0,2,A,5,7,7,8,3,2,0,0,2.25,3.5,3.1,2.25,3.5,3.1,1
11/30/2019,Burnley,Crystal Palace,3,0,H,2,0,H,12,4,17,10,2,1,0,0,2.25,3.25,3.3,2.3,3.2,3.3,0
12/3/2019,Burnley,Man City,0,2,A,0,1,A,4,2,13,10,2,0,0,0,11,7,1.22,12,6.5,1.24,0
12/14/2019,Burnley,Newcastle,1,4,A,0,1,A,2,8,9,6,1,1,0,0,1.95,3.4,4,1.95,3.5,4,1
12/28/2019,Burnley,Man United,1,0,H,0,0,D,4,0,15,12,0,2,0,0,4.33,3.75,1.8,4.33,3.6,1.83,0
1/1/2020,Burnley,Aston Villa,0,2,A,0,1,A,1,5,17,10,4,3,0,0,1.75,3.8,4.33,1.78,3.8,4.4,0
1/19/2020,Burnley,Leicester,1,2,A,0,2,A,1,6,12,10,1,1,0,0,4.33,3.75,1.83,4.2,3.7,1.85,1
2/2/2020,Burnley,Arsenal,2,1,H,0,1,A,5,8,14,8,1,0,0,0,3.6,3.6,2,3.75,3.5,2,0
2/22/2020,Burnley,Bournemouth,0,0,D,0,0,D,2,2,8,11,1,3,0,0,2.1,3.3,3.7,2.1,3.25,3.7,1
3/7/2020,Burnley,Tottenham,3,0,H,0,0,D,10,4,9,9,4,3,0,0,2.7,3.3,2.62,2.7,3.25,2.7,0
6/25/2020,Burnley,Watford,1,1,D,1,0,H,8,2,16,11,5,4,0,0,3,3.25,2.45,3,3.2,2.45,1
7/5/2020,Burnley,Sheffield United,1,0,H,0,0,D,5,4,13,15,1,0,0,0,2.9,3,2.7,2.9,3,2.7,0
7/15/2020,Burnley,Wolves,1,1,D,1,0,H,4,3,8,14,0,0,0,0,4.5,3.3,1.9,4.75,3.25,1.88,0
7/26/2020,Burnley,Brighton,1,1,D,0,0,D,1,5,10,8,0,0,0,0,2.37,3.4,3,2.3,3.4,3.1,0
