Date,HomeTeam,AwayTeam,FT_HomeGoals,FT_AwayGoals,FT_Result,HT_HomeGoals,HT_AwayGoals,HT_Result,HomeShotsonTarget,AwayShotsonTarget,HomeFouls,AwayFouls,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,Bet365_HomeWin_Odds,Bet365_Draw_Odds,Bet365_AwayWin_Odds,WilliamHill_HomeWin_Odds,WilliamHill_HomeDraw_Odds,WilliamHill_AwayWin_Odds,Result
8/26/2018,Newcastle,Chelsea,0,3,A,0,2,A,1,4,9,8,2,1,0,0,5.75,4,1.66,5,3.75,1.67,0
9/23/2018,West Ham,Chelsea,1,2,A,0,0,D,2,3,16,8,3,1,0,0,6,4.5,1.57,5,4.2,1.6,0
10/7/2018,Southampton,Chelsea,0,0,D,0,0,D,1,6,11,9,2,1,0,0,6,4.1,1.61,5.5,4,1.62,0
10/28/2018,Burnley,Chelsea,0,3,A,0,1,A,6,6,13,11,6,0,0,0,11,5,1.36,9.5,4.75,1.36,0
11/24/2018,Tottenham,Chelsea,0,4,A,0,1,A,1,8,14,10,4,2,0,0,2.8,3.5,2.6,2.8,3.4,2.5,1
12/5/2018,Wolves,Chelsea,3,1,H,2,0,H,9,2,19,12,0,3,0,0,5,3.75,1.8,4.8,3.7,1.75,1
12/16/2018,Brighton,Chelsea,2,1,H,0,1,A,2,3,18,10,4,4,0,0,7.5,4.5,1.5,7,4.33,1.47,0
12/26/2018,Watford,Chelsea,1,2,A,0,2,A,2,3,14,6,2,2,0,0,5.25,3.8,1.75,4.8,3.75,1.73,0
12/30/2018,Crystal Palace,Chelsea,1,2,A,1,1,D,2,4,15,5,1,0,0,0,4.75,4,1.66,5,3.8,1.7,0
1/19/2019,Arsenal,Chelsea,0,1,A,0,0,D,0,4,11,8,0,1,0,0,3.1,3.6,2.37,3,3.5,2.3,1
1/30/2019,Bournemouth,Chelsea,2,0,H,2,0,H,5,1,13,15,0,2,0,0,5.25,4.2,1.66,5.5,4,1.62,1
