Date,HomeTeam,AwayTeam,FT_HomeGoals,FT_AwayGoals,FT_Result,HT_HomeGoals,HT_AwayGoals,HT_Result,HomeShotsonTarget,AwayShotsonTarget,HomeFouls,AwayFouls,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,Bet365_HomeWin_Odds,Bet365_Draw_Odds,Bet365_AwayWin_Odds,WilliamHill_HomeWin_Odds,WilliamHill_HomeDraw_Odds,WilliamHill_AwayWin_Odds,Result
9/1/2018,Chelsea,Bournemouth,3,2,H,2,2,D,11,6,12,9,0,2,0,0,1.3,6,11,1.29,5.8,8.5,1
9/15/2018,Chelsea,Cardiff,2,0,H,0,0,D,6,1,10,7,2,2,0,0,1.18,8,19,1.17,7,15,1
9/29/2018,Chelsea,Liverpool,4,1,H,2,1,H,7,2,8,10,0,0,0,0,2.8,3.6,2.54,2.8,3.5,2.45,0
10/20/2018,Chelsea,Man United,1,1,D,1,0,H,4,6,7,9,0,2,0,0,1.75,3.8,5.25,1.73,3.8,4.6,0
11/4/2018,Chelsea,Crystal Palace,2,2,D,1,0,H,6,4,9,17,2,5,0,0,1.25,6.75,13,1.29,6,9.5,1
11/11/2018,Chelsea,Everton,3,1,H,1,0,H,6,2,6,13,0,1,0,0,1.4,5.25,8.5,1.44,5,6.5,0
12/2/2018,Chelsea,Fulham,0,0,D,0,0,D,4,1,7,11,4,3,0,0,1.18,8,17,1.17,7.5,17,1
12/8/2018,Chelsea,Man City,2,0,H,1,0,H,9,4,8,17,2,1,0,0,4,3.8,1.95,3.8,3.7,1.95,1
12/22/2018,Chelsea,Leicester,2,0,H,1,0,H,5,4,12,11,2,0,0,0,1.33,5.5,11,1.3,5.25,11,0
1/2/2019,Chelsea,Southampton,0,1,A,0,0,D,5,3,10,9,0,2,0,0,1.28,6.5,11,1.25,6,12,0
1/12/2019,Chelsea,Newcastle,0,0,D,0,0,D,6,2,8,11,1,2,0,0,1.22,7,15,1.2,7,13,1
2/2/2019,Chelsea,Huddersfield,2,1,H,1,1,D,6,2,6,13,1,1,0,0,1.2,7.5,19,1.18,7,17,1
2/27/2019,Chelsea,Tottenham,5,0,H,2,0,H,7,2,8,5,0,0,0,0,2.3,3.5,3.25,2.25,3.4,3.2,1
3/10/2019,Chelsea,Wolves,2,0,H,0,0,D,1,0,7,14,1,1,0,0,1.55,4.2,7,1.55,4,6.5,0
4/3/2019,Chelsea,Brighton,1,1,D,0,0,D,6,1,8,14,1,4,0,0,1.25,6.5,15,1.25,5.8,13,1
4/8/2019,Chelsea,West Ham,3,0,H,1,0,H,4,1,5,9,0,0,0,0,1.33,5.75,9.5,1.3,5.5,10,1
4/22/2019,Chelsea,Burnley,2,0,H,1,0,H,7,2,8,7,2,1,0,0,1.25,6.25,15,1.25,5.8,13,0
5/5/2019,Chelsea,Watford,2,2,D,2,2,D,9,3,9,4,2,1,0,0,1.4,5.25,8,1.38,4.8,8.5,1
8/12/2017,Chelsea,Burnley,3,0,H,0,0,D,9,3,6,12,0,1,0,0,1.25,6.5,15,1.25,5.5,13,0
8/27/2017,Chelsea,Everton,2,3,A,0,3,A,6,5,16,11,3,3,2,0,1.45,4.5,8.5,1.44,4.2,8,1
9/17/2017,Chelsea,Arsenal,2,0,H,2,0,H,7,0,12,7,2,2,0,0,1.8,4,4.5,1.8,3.5,4.5,0
9/30/2017,Chelsea,Man City,0,0,D,0,0,D,4,2,11,15,1,3,1,0,2.75,3.3,2.5,2.8,3.3,2.5,0
10/21/2017,Chelsea,Watford,0,1,A,0,0,D,2,6,8,13,0,2,0,0,1.36,5.25,10,1.36,5,9,1
11/5/2017,Chelsea,Man United,4,2,H,1,1,D,8,5,13,16,2,3,0,0,2.5,3.2,3.2,2.5,3.2,3.1,1
11/29/2017,Chelsea,Swansea,1,0,H,0,0,D,8,2,16,20,1,3,0,0,1.18,8,17,1.2,7,17,1
12/2/2017,Chelsea,Newcastle,1,0,H,0,0,D,10,0,10,7,1,0,0,0,1.25,6.5,15,1.25,6,13,1
12/16/2017,Chelsea,Southampton,3,1,H,2,1,H,9,2,8,13,0,1,0,0,1.39,5,9,1.36,5,9,1
12/26/2017,Chelsea,Brighton,1,0,H,1,0,H,8,2,8,16,1,3,0,0,1.19,7.5,17,1.2,7,15,1
12/30/2017,Chelsea,Stoke,2,0,H,0,0,D,8,1,8,8,0,1,0,0,1.16,8.5,19,1.17,7,17,1
1/13/2018,Chelsea,Leicester,5,0,H,3,0,H,12,1,5,10,1,1,0,0,1.3,5.75,12,1.3,5.5,11,0
1/31/2018,Chelsea,Bournemouth,0,0,D,0,0,D,7,1,14,13,2,2,0,1,1.28,6.5,11,1.29,6,11,0
2/12/2018,Chelsea,West Brom,0,3,A,0,0,D,5,5,5,12,1,0,0,0,1.36,4.75,8,1.33,5,9,1
3/10/2018,Chelsea,Crystal Palace,3,0,H,1,0,H,8,1,11,11,0,2,0,0,1.3,5.75,12,1.3,5.5,11,1
