Date,HomeTeam,AwayTeam,FT_HomeGoals,FT_AwayGoals,FT_Result,HT_HomeGoals,HT_AwayGoals,HT_Result,HomeShotsonTarget,AwayShotsonTarget,HomeFouls,AwayFouls,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,Bet365_HomeWin_Odds,Bet365_Draw_Odds,Bet365_AwayWin_Odds,WilliamHill_HomeWin_Odds,WilliamHill_HomeDraw_Odds,WilliamHill_AwayWin_Odds,Result
8/25/2018,Bournemouth,Everton,2,2,D,1,1,D,4,5,8,7,0,1,0,1,2.62,3.6,2.75,2.5,3.6,2.62,0
9/23/2018,Arsenal,Everton,2,2,D,0,0,D,5,3,12,10,0,3,1,1,1.44,5,7.5,1.47,4.75,6,1
10/6/2018,Leicester,Everton,2,0,H,0,0,D,5,6,17,12,2,1,0,0,2.2,3.4,3.6,2.2,3.4,3.3,0
10/28/2018,Man United,Everton,1,2,A,1,1,D,2,8,10,11,2,1,1,0,1.72,3.9,5.25,1.75,3.8,4.6,1
11/11/2018,Chelsea,Everton,2,1,H,1,0,H,10,6,15,12,2,1,0,0,1.4,5.25,8.5,1.44,5,6.5,0
12/2/2018,Liverpool,Everton,0,0,D,0,0,D,4,1,7,11,4,3,0,0,1.4,5,9,1.36,5,8.5,1
12/15/2018,Man City,Everton,1,0,H,0,0,D,3,3,12,7,3,2,0,0,1.22,7.5,13,1.2,7,13,1
12/26/2018,Burnley,Everton,3,1,H,1,0,H,5,2,7,9,1,2,0,0,4.33,3.5,1.95,4.33,3.4,1.91,0
12/29/2018,Brighton,Everton,1,5,A,1,3,A,4,6,11,19,2,4,0,0,3.25,3.4,2.14,3.4,3.3,2.2,1
1/19/2019,Southampton,Everton,1,0,H,0,0,D,3,4,10,11,0,2,0,0,2.75,3.4,2.7,2.62,3.3,2.7,1
1/29/2019,Huddersfield,Everton,2,1,H,0,0,D,4,2,12,11,2,1,0,0,4,3.3,2.1,4,3.2,2.05,0
2/9/2019,Watford,Everton,0,1,A,0,1,A,2,5,13,10,1,4,0,1,2.35,3.5,3.2,2.35,3.4,3.1,1
2/26/2019,Cardiff,Everton,1,0,H,0,0,D,2,4,21,10,2,0,0,1,3.75,3.4,2.15,3.75,3.25,2.1,0
3/9/2019,Newcastle,Everton,0,3,A,0,1,A,0,4,12,12,3,1,0,0,2.8,3.25,2.8,2.75,3.1,2.75,1
3/30/2019,West Ham,Everton,3,2,H,0,2,A,7,3,13,10,3,1,0,0,2.55,3.5,2.9,2.5,3.4,2.8,0
4/13/2019,Fulham,Everton,0,2,A,0,2,A,1,9,7,14,1,1,0,0,5,4,1.75,4.75,3.8,1.73,1
4/27/2019,Crystal Palace,Everton,2,0,H,0,0,D,5,1,8,10,2,1,0,0,2.62,3.5,2.8,2.55,3.3,2.8,0
5/12/2019,Tottenham,Everton,0,0,D,0,0,D,0,3,9,15,2,0,0,0,2.2,3.5,3.5,2.1,3.5,3.5,0
8/21/2017,Man City,Everton,2,2,D,1,0,H,3,9,10,13,0,2,0,0,1.33,5.75,10,1.33,5,9,0
8/27/2017,Chelsea,Everton,1,1,D,0,1,A,6,2,7,9,1,2,1,1,1.45,4.5,8.5,1.44,4.2,8,1
9/17/2017,Man United,Everton,2,0,H,2,0,H,7,0,12,7,2,2,0,0,1.36,5.25,10,1.33,4.5,11,1
10/15/2017,Brighton,Everton,4,0,H,1,0,H,7,3,15,14,1,1,0,0,3.25,3.3,2.4,3.25,3.2,2.38,0
10/29/2017,Leicester,Everton,1,1,D,0,0,D,3,6,12,10,4,1,0,0,2.14,3.39,3.75,2.15,3.4,3.5,1
11/18/2017,Crystal Palace,Everton,2,0,H,2,0,H,3,2,6,10,0,2,0,0,2.39,3.25,3.29,2.4,3.2,3.2,0
11/26/2017,Southampton,Everton,2,2,D,2,2,D,7,5,9,26,2,3,0,0,1.9,3.39,4.75,1.91,3.3,4.5,1
12/10/2017,Liverpool,Everton,4,1,H,1,1,D,5,2,6,13,0,0,0,0,1.3,6,11,1.3,5,10,0
12/13/2017,Newcastle,Everton,1,1,D,1,0,H,3,2,8,11,1,3,0,0,2.39,3.29,3.25,2.4,3.2,3.2,0
12/26/2017,West Brom,Everton,0,1,A,0,1,A,4,4,10,11,1,2,1,0,2.54,3.2,3.1,2.5,3.2,3,0
12/30/2017,Bournemouth,Everton,0,0,D,0,0,D,3,3,14,13,2,0,0,0,2.37,3.29,3.29,2.4,3.2,3,1
1/13/2018,Tottenham,Everton,2,1,H,1,0,H,7,1,8,13,0,0,0,0,1.28,6,13,1.29,5.5,12,1
2/3/2018,Arsenal,Everton,4,0,H,1,0,H,10,0,11,15,0,2,0,0,1.3,5.75,12,1.33,5,11,1
2/24/2018,Watford,Everton,5,1,H,4,0,H,7,2,8,8,2,0,0,0,2.25,3.39,3.5,2.2,3.3,3.3,1
3/3/2018,Burnley,Everton,1,0,H,0,0,D,5,2,10,9,3,1,0,0,2.5,3.1,3.29,2.5,3,3.3,1
3/17/2018,Stoke,Everton,2,1,H,0,1,A,8,4,9,12,1,1,0,1,2.5,3.29,3.1,2.4,3.2,3,0
4/14/2018,Swansea,Everton,1,2,A,0,0,D,4,9,13,12,1,1,1,0,2.54,3.25,3.1,2.5,3.1,3.1,0
4/28/2018,Huddersfield,Everton,1,1,D,0,1,A,7,3,10,11,1,1,0,0,2.62,3.1,3.1,2.62,3.1,2.9,0
5/13/2018,West Ham,Everton,0,2,A,0,1,A,2,5,9,8,1,0,0,0,2.45,3.5,3,2.4,3.3,3.1,1
8/20/2016,West Brom,Everton,3,1,H,1,0,H,4,7,10,13,0,1,0,0,3,3.25,2.6,2.7,3.2,2.62,0
9/12/2016,Sunderland,Everton,1,2,A,1,1,D,4,7,16,10,3,1,0,0,3.8,3.5,2.1,3.75,3.2,2.1,0
9/24/2016,Bournemouth,Everton,0,3,A,0,0,D,2,9,11,8,1,1,0,0,3.6,3.5,2.15,3.6,3.4,2.15,1
10/15/2016,Man City,Everton,1,0,H,1,0,H,1,2,10,14,2,2,0,0,1.5,4.75,7,1.5,4.33,7,0
10/22/2016,Burnley,Everton,1,1,D,0,0,D,8,2,7,9,0,2,0,0,6,3.8,1.67,6,3.6,1.67,1
11/5/2016,Chelsea,Everton,2,1,H,1,0,H,3,8,16,15,2,3,0,0,1.53,4.33,7,1.57,3.75,7,1
11/27/2016,Southampton,Everton,5,0,H,3,0,H,9,0,5,16,0,3,0,0,2.2,3.4,3.6,2.2,3.2,3.6,1
12/10/2016,Watford,Everton,1,0,H,1,0,H,7,1,11,15,0,2,0,0,3.1,3.4,2.45,3,3.3,2.5,1
12/26/2016,Leicester,Everton,3,2,H,1,1,D,6,4,11,16,2,2,0,0,2.5,3.3,2.9,2.5,3.3,3,0
12/30/2016,Hull,Everton,0,2,A,0,0,D,2,3,14,7,3,0,0,0,4.33,3.5,1.95,4.33,3.4,1.95,0
1/21/2017,Crystal Palace,Everton,2,2,D,1,1,D,4,7,10,13,2,2,0,0,3.25,3.4,2.38,3.2,3.2,2.4,0
2/1/2017,Stoke,Everton,0,1,A,0,0,D,2,8,10,15,0,1,0,0,2.88,3.4,2.63,2.88,3.25,2.62,0
2/11/2017,Middlesbrough,Everton,1,1,D,1,1,D,7,5,21,12,1,0,0,0,3.9,3.3,2.15,3.6,3.2,2.2,0
3/5/2017,Tottenham,Everton,0,0,D,0,0,D,3,3,14,9,2,0,0,0,1.67,4.2,5.25,1.67,3.8,5.5,1
4/1/2017,Liverpool,Everton,3,2,H,1,0,H,7,4,9,14,1,2,0,0,1.73,3.9,5.25,1.73,3.8,5,1
4/4/2017,Man United,Everton,3,1,H,2,1,H,6,4,17,10,1,3,0,0,1.57,4.2,6.5,1.57,4,6.5,0
4/22/2017,West Ham,Everton,1,1,D,0,1,A,3,4,10,18,1,4,0,1,3.3,3.6,2.25,3.4,3.1,2.25,0
5/6/2017,Swansea,Everton,0,0,D,0,0,D,3,0,9,15,2,3,0,0,2.8,3.5,2.63,2.75,3.4,2.62,1
5/21/2017,Arsenal,Everton,1,0,H,1,0,H,4,2,5,13,0,0,0,0,1.45,5,7.5,1.4,5,7,1
8/15/2015,Southampton,Everton,3,1,H,2,0,H,9,7,10,15,2,4,1,0,1.95,3.6,4.33,2,3.25,4,0
8/29/2015,Tottenham,Everton,0,3,A,0,2,A,4,4,11,10,4,2,0,0,2,3.5,4.2,2,3.25,4,0
9/19/2015,Swansea,Everton,0,0,D,0,0,D,6,3,20,9,4,1,0,0,2.3,3.4,3.4,2.3,3.2,3.2,0
9/28/2015,West Brom,Everton,0,0,D,0,0,D,3,2,12,11,2,2,0,1,3.1,3.3,2.5,3.1,3,2.5,0
10/24/2015,Arsenal,Everton,2,3,A,1,0,H,4,4,9,8,0,3,0,0,1.44,4.75,8,1.44,4,8,1
11/7/2015,West Ham,Everton,2,1,H,2,1,H,5,5,11,14,2,0,0,1,2.6,3.5,2.8,2.62,3.1,2.8,0
11/28/2015,Bournemouth,Everton,1,1,D,1,1,D,5,4,11,12,1,2,0,0,2.9,3.6,2.5,2.9,3.2,2.5,0
12/12/2015,Norwich,Everton,3,3,D,0,2,A,10,6,6,6,2,0,0,0,2.9,3.5,2.55,2.9,3.2,2.5,0
12/26/2015,Newcastle,Everton,1,1,D,0,1,A,2,3,9,6,1,0,0,0,3.2,3.5,2.2,3.25,3.3,2.25,0
1/13/2016,Man City,Everton,0,1,A,0,0,D,1,7,16,12,2,2,0,0,1.53,4.75,6,1.53,4,6.5,0
1/16/2016,Chelsea,Everton,0,0,D,0,0,D,5,2,5,6,0,1,0,0,1.83,3.75,4.75,1.75,3.5,4.8,0
2/6/2016,Stoke,Everton,3,3,D,0,0,D,7,4,12,5,1,1,0,0,2.7,3.4,2.8,2.62,3.1,2.8,0
3/1/2016,Aston Villa,Everton,0,3,A,0,3,A,3,6,11,8,1,0,0,0,4.5,3.6,1.91,4.5,3.4,1.85,0
4/3/2016,Man United,Everton,1,3,A,0,2,A,5,7,8,7,3,1,0,0,2.1,3.5,3.75,2.1,3.1,3.8,1
4/9/2016,Watford,Everton,1,0,H,0,0,D,2,1,15,6,2,0,0,0,3.4,3.3,2.15,3.5,3.25,2.15,0
4/13/2016,Crystal Palace,Everton,1,1,D,1,1,D,5,7,13,10,2,1,0,0,2.9,3.4,2.6,2.8,3.1,2.6,0
4/20/2016,Liverpool,Everton,0,0,D,0,0,D,6,5,7,9,0,1,0,1,1.73,4,5,1.7,3.6,5,1
5/7/2016,Leicester,Everton,4,0,H,2,0,H,13,0,8,11,1,1,0,1,1.91,4,4,1.91,3.2,4.33,1
5/11/2016,Sunderland,Everton,3,1,H,2,0,H,8,5,4,12,0,3,0,0,1.75,4,5,1.73,3.5,5,1
8/31/2013,Cardiff,Everton,3,0,H,2,0,H,8,6,15,7,1,0,0,0,3.25,3.4,2.38,3.2,3.3,2.25,0
9/21/2013,West Ham,Everton,0,0,D,0,0,D,1,3,11,9,1,1,0,0,3.3,3.3,2.4,3.1,3.1,2.4,0
10/5/2013,Man City,Everton,2,3,A,1,0,H,1,4,16,12,2,1,1,0,1.67,4.2,5.5,1.67,3.5,5.5,1
10/26/2013,Aston Villa,Everton,3,1,H,2,1,H,6,4,15,10,5,4,0,0,3.4,3.4,2.3,3.4,3,2.3,0
11/9/2013,Crystal Palace,Everton,0,2,A,0,0,D,3,4,14,8,0,2,0,0,6.5,4,1.62,6,3.6,1.62,0
12/4/2013,Man United,Everton,0,0,D,0,0,D,2,2,16,8,1,0,0,0,1.73,3.75,5.5,1.75,3.4,5,0
12/8/2013,Arsenal,Everton,0,1,A,0,0,D,6,4,12,12,2,0,0,0,1.7,3.8,5.75,1.73,3.5,5,0
12/22/2013,Swansea,Everton,1,1,D,0,0,D,5,4,13,11,0,4,0,0,3,3.4,2.5,2.9,3.1,2.5,0
1/1/2014,Stoke,Everton,1,2,A,0,0,D,3,6,11,10,1,0,0,0,4,3.3,2.1,3.6,3.2,2,0
1/20/2014,West Brom,Everton,1,1,D,0,0,D,4,4,16,11,4,1,0,0,3.5,3.4,2.25,3.2,3.2,2.3,0
1/28/2014,Liverpool,Everton,1,1,D,0,1,A,6,4,16,12,3,2,0,0,1.83,3.9,4.5,1.85,3.3,4.5,1
2/9/2014,Tottenham,Everton,4,0,H,3,0,H,9,4,11,13,0,3,0,0,2.1,3.5,3.75,2.15,3,3.75,1
2/22/2014,Chelsea,Everton,1,0,H,0,0,D,2,3,9,13,1,0,0,0,1.57,4,7,1.6,3.4,7,1
3/25/2014,Newcastle,Everton,1,0,H,0,0,D,8,2,15,12,1,2,0,0,3.5,3.4,2.25,3.3,3.2,2.25,0
3/30/2014,Fulham,Everton,0,3,A,0,1,A,3,6,8,10,0,1,0,0,5,3.75,1.8,5,3.1,1.83,0
4/12/2014,Sunderland,Everton,1,3,A,0,0,D,8,7,7,4,1,2,0,0,4.75,3.7,1.83,5,3.25,1.8,0
4/26/2014,Southampton,Everton,0,1,A,0,0,D,6,3,17,15,3,1,0,0,2.8,3.5,2.6,2.88,3.4,2.4,1
5/11/2014,Hull,Everton,2,0,H,2,0,H,4,2,13,12,0,2,0,0,4,3.6,2,3.8,3.2,2.05,0
8/25/2012,Aston Villa,Everton,0,2,A,0,1,A,3,4,8,8,0,1,0,0,2.9,3.4,2.4,2.88,3.2,2.5,0
9/1/2012,West Brom,Everton,1,3,A,0,3,A,3,11,10,7,1,0,1,0,3,3.3,2.38,2.9,3.4,2.38,1
9/22/2012,Swansea,Everton,2,0,H,0,0,D,8,5,11,15,1,4,0,0,3,3.3,2.4,3,3.1,2.45,0
10/6/2012,Wigan,Everton,0,3,A,0,2,A,11,19,23,7,4,1,1,0,4.2,3.4,1.91,4,3.1,2.05,0
10/21/2012,QPR,Everton,2,2,D,2,1,H,6,11,14,14,2,5,0,0,3.25,3.4,2.2,3.2,3.2,2.3,0
11/3/2012,Fulham,Everton,1,1,D,1,1,D,6,4,12,18,2,1,0,1,2.75,3.4,2.5,2.62,3.4,2.6,0
11/17/2012,Reading,Everton,2,2,D,1,0,H,5,15,16,9,3,1,0,0,4.33,3.6,1.83,4.5,3.4,1.83,1
12/1/2012,Man City,Everton,2,1,H,0,1,A,4,11,11,11,3,2,0,0,1.5,4,7,1.57,3.8,6,0
12/15/2012,Stoke,Everton,1,1,D,1,1,D,6,5,16,12,2,1,0,0,3.1,3.2,2.4,2.9,3.2,2.38,0
12/22/2012,West Ham,Everton,1,1,D,0,1,A,8,5,11,13,1,0,0,0,2.88,3.25,2.5,2.9,3.3,2.4,0
1/2/2013,Newcastle,Everton,1,2,A,1,0,H,5,8,12,8,1,0,1,1,3,3.4,2.38,3,3.2,2.4,0
1/21/2013,Southampton,Everton,1,2,A,1,1,D,11,6,21,7,3,2,0,0,3.6,3.5,2.05,4,3.2,2,0
2/10/2013,Man United,Everton,0,0,D,0,0,D,11,7,14,11,2,1,0,0,1.75,3.9,5,1.8,3.25,5,1
2/23/2013,Norwich,Everton,2,0,H,2,0,H,6,8,12,9,0,2,0,0,3.8,3.5,2.1,3.6,3.1,2.15,1
4/7/2013,Tottenham,Everton,2,1,H,0,1,A,9,5,15,10,1,1,0,0,2.2,3.4,3.6,2.2,3.2,3.4,0
4/16/2013,Arsenal,Everton,2,2,D,1,1,D,10,5,14,8,1,1,0,0,1.75,3.9,5,1.75,3.75,4.5,0
4/20/2013,Sunderland,Everton,0,0,D,0,0,D,6,5,11,12,2,3,0,0,3.4,3.4,2.3,3.2,3.2,2.3,1
5/5/2013,Liverpool,Everton,1,0,H,1,0,H,4,5,6,15,1,2,0,0,1.95,3.6,4.2,1.95,3.2,4.2,0
5/19/2013,Chelsea,Everton,0,0,D,0,0,D,8,4,10,10,1,2,0,0,1.7,4,5.5,1.73,3.6,4.8,1
8/27/2011,Blackburn,Everton,2,1,H,1,1,D,10,9,7,8,2,2,0,0,3.3,3.25,2.25,3,3.2,2.4,0
9/24/2011,Man City,Everton,0,1,A,0,0,D,6,4,17,13,5,2,0,0,1.44,4.33,7.5,1.44,4,8.5,1
10/15/2011,Chelsea,Everton,2,0,H,0,0,D,8,3,9,13,1,5,0,0,1.36,4.5,10,1.36,4.75,8.5,1
10/23/2011,Fulham,Everton,3,1,H,2,0,H,5,5,13,11,2,2,0,0,2.25,3.25,3.3,2.4,3,3.2,0
11/5/2011,Newcastle,Everton,1,3,A,0,1,A,8,7,12,8,3,1,0,0,2.25,3.25,3.3,2.38,3.2,3,1
11/26/2011,Bolton,Everton,2,1,H,2,1,H,6,6,12,15,2,3,0,0,3.1,3.25,2.38,2.9,3.4,2.38,0
12/10/2011,Arsenal,Everton,0,2,A,0,0,D,7,14,9,10,1,1,1,0,1.53,4,6.5,1.53,3.8,5.5,1
12/26/2011,Sunderland,Everton,1,0,H,0,0,D,7,1,7,14,2,2,0,0,2.4,3.25,3,2.5,3.1,2.9,0
1/1/2012,West Brom,Everton,1,1,D,1,0,H,8,3,6,14,0,1,0,0,2.6,3.25,2.75,2.62,3.2,2.7,0
1/11/2012,Tottenham,Everton,0,1,A,0,0,D,2,8,10,8,0,2,0,0,1.53,3.8,7,1.5,3.75,5.5,1
1/14/2012,Aston Villa,Everton,2,0,H,1,0,H,7,4,5,15,1,3,0,0,2.4,3.25,3,2.5,3.1,2.9,0
2/4/2012,Wigan,Everton,1,1,D,0,0,D,11,4,12,11,1,1,0,0,3.5,3.4,2.1,3.1,3.1,2.1,0
3/3/2012,QPR,Everton,1,1,D,0,0,D,1,4,12,8,2,0,0,0,3.1,3.25,2.38,3,3.2,2.4,0
3/13/2012,Liverpool,Everton,1,1,D,1,1,D,10,5,16,15,1,2,0,0,1.73,3.4,5.5,1.8,3.25,5,1
3/24/2012,Swansea,Everton,3,0,H,1,0,H,10,3,6,7,1,4,0,0,2.2,3.25,3.4,2.1,3.2,3.6,0
4/7/2012,Norwich,Everton,0,2,A,0,0,D,3,8,10,10,1,2,0,0,3,3.3,2.4,2.9,3.1,2.5,0
4/22/2012,Man United,Everton,2,2,D,1,1,D,11,5,7,17,0,3,0,0,1.3,5,11,1.3,5,11,0
5/1/2012,Stoke,Everton,4,4,D,1,1,D,11,10,8,11,1,2,0,0,2.75,3.25,2.6,2.75,3.2,2.6,0
5/6/2012,Wolves,Everton,1,1,D,0,1,A,5,4,6,14,2,1,0,0,5,3.75,1.7,5,3.5,1.73,0
8/14/2010,Blackburn,Everton,0,0,D,0,0,D,1,10,7,10,0,0,0,0,2.88,3.25,2.5,2.88,3.2,2.5,1
8/29/2010,Aston Villa,Everton,1,0,H,1,0,H,2,12,19,14,2,1,0,0,2.5,3.25,2.88,2.5,3.2,2.88,1
9/25/2010,Fulham,Everton,1,0,H,1,0,H,6,9,19,10,4,0,0,0,2.75,3.2,2.63,2.7,3.1,2.7,0
10/2/2010,Birmingham,Everton,0,0,D,0,0,D,2,7,15,13,2,1,0,0,2.88,3.1,2.63,2.7,3.1,2.7,0
10/23/2010,Tottenham,Everton,0,2,A,0,0,D,3,6,5,11,0,0,0,0,2.1,3.25,3.75,2.05,3.2,3.8,0
11/6/2010,Blackpool,Everton,1,1,D,1,1,D,8,3,15,14,3,1,0,0,4.5,3.6,1.8,4.5,3.4,1.83,0
11/22/2010,Sunderland,Everton,2,2,D,1,1,D,8,14,14,12,2,1,0,0,2.6,3.2,2.8,2.62,3.1,2.8,0
12/4/2010,Chelsea,Everton,2,2,D,1,1,D,8,8,5,7,0,2,0,0,1.36,4.75,9,1.4,4.2,9,0
12/20/2010,Man City,Everton,1,1,D,1,0,H,5,7,7,11,1,4,0,0,1.73,3.6,5,1.75,3.5,4.8,0
12/28/2010,West Ham,Everton,1,2,A,0,2,A,15,3,8,13,3,2,1,1,3.4,3.2,2.25,3.2,3.2,2.25,0
