Date,HomeTeam,AwayTeam,FT_HomeGoals,FT_AwayGoals,FT_Result,HT_HomeGoals,HT_AwayGoals,HT_Result,HomeShotsonTarget,AwayShotsonTarget,HomeFouls,AwayFouls,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,Bet365_HomeWin_Odds,Bet365_Draw_Odds,Bet365_AwayWin_Odds,WilliamHill_HomeWin_Odds,WilliamHill_HomeDraw_Odds,WilliamHill_AwayWin_Odds,Result
8/23/2019,Aston Villa,Everton,0,0,D,0,0,D,2,3,16,14,2,1,0,1,3.25,3.5,2.15,3.1,3.5,2.25,1
9/15/2019,Bournemouth,Everton,2,0,H,1,0,H,3,1,10,18,2,3,0,0,2.9,3.5,2.4,3,3.4,2.35,1
10/5/2019,Burnley,Everton,3,1,H,1,1,D,6,5,5,14,0,4,0,0,2.87,3.3,2.5,2.9,3.25,2.5,1
10/26/2019,Brighton,Everton,1,0,H,0,0,D,3,2,5,12,2,1,0,1,2.9,3.25,2.5,2.8,3.3,2.55,1
11/9/2019,Southampton,Everton,3,2,H,1,1,D,4,6,12,12,2,1,0,0,2.9,3.3,2.45,2.9,3.4,2.45,0
12/1/2019,Leicester,Everton,1,2,A,0,1,A,3,5,12,12,1,1,0,0,1.61,4,5.25,1.63,4,5.25,1
12/4/2019,Liverpool,Everton,2,1,H,0,1,A,6,3,7,9,0,1,0,0,1.36,5,8.5,1.36,5,8.5,1
12/15/2019,Man United,Everton,5,2,H,4,2,H,5,4,13,17,1,2,0,0,1.8,3.7,4.5,1.78,3.6,4.8,0
12/28/2019,Newcastle,Everton,1,1,D,0,1,A,8,3,10,12,1,2,0,0,3.6,3.4,2.05,3.5,3.3,2.15,0
1/1/2020,Man City,Everton,1,2,A,0,1,A,5,9,13,13,2,2,0,0,1.25,6.5,10,1.27,6,11,1
1/18/2020,West Ham,Everton,2,1,H,0,0,D,7,2,11,11,0,4,0,0,2.9,3.5,2.37,3,3.4,2.38,0
2/1/2020,Watford,Everton,1,1,D,1,1,D,6,3,11,13,1,0,0,0,2.75,3.3,2.62,2.75,3.25,2.62,0
2/23/2020,Arsenal,Everton,2,3,A,2,2,D,2,5,17,14,2,2,0,1,2,3.6,3.7,2.05,3.5,3.6,1
3/8/2020,Chelsea,Everton,3,2,H,2,2,D,4,5,12,12,0,4,0,0,1.8,3.9,4.2,1.85,3.7,4.2,1
6/24/2020,Norwich,Everton,4,0,H,2,0,H,11,1,8,10,1,2,0,0,3.9,3.6,1.9,4,3.6,1.91,0
7/6/2020,Tottenham,Everton,0,1,A,0,0,D,1,5,8,13,0,1,0,0,2.1,3.5,3.4,2.1,3.6,3.4,1
7/12/2020,Wolves,Everton,1,0,H,1,0,H,2,3,14,18,3,2,0,0,2.05,3.3,3.8,2.05,3.2,4,1
7/20/2020,Sheffield United,Everton,3,0,H,1,0,H,7,2,9,9,0,2,0,0,2.2,3.25,3.5,2.15,3.3,3.5,0
