Date,HomeTeam,AwayTeam,FT_HomeGoals,FT_AwayGoals,FT_Result,HT_HomeGoals,HT_AwayGoals,HT_Result,HomeShotsonTarget,AwayShotsonTarget,HomeFouls,AwayFouls,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,Bet365_HomeWin_Odds,Bet365_Draw_Odds,Bet365_AwayWin_Odds,WilliamHill_HomeWin_Odds,WilliamHill_HomeDraw_Odds,WilliamHill_AwayWin_Odds,Result
9/1/2018,Everton,Huddersfield,2,1,H,2,0,H,7,4,8,20,0,5,0,0,1.53,4.2,7.5,1.5,3.8,7.5,0
9/16/2018,Everton,West Ham,1,1,D,1,1,D,1,6,13,14,3,3,0,0,2,3.75,3.9,2.05,3.6,3.4,0
9/29/2018,Everton,Fulham,1,3,A,1,2,A,4,4,15,12,2,5,0,0,1.75,4.2,4.75,1.75,4,4.33,1
10/21/2018,Everton,Crystal Palace,3,0,H,0,0,D,6,0,13,13,0,3,0,0,1.85,3.6,4.75,1.88,3.5,4.33,1
11/3/2018,Everton,Brighton,2,0,H,0,0,D,4,3,13,17,2,1,0,0,1.61,4,6.5,1.6,3.9,6,1
11/24/2018,Everton,Cardiff,3,1,H,1,1,D,3,3,9,17,0,1,0,0,1.4,5,9,1.42,4.75,7.5,1
12/5/2018,Everton,Newcastle,1,0,H,0,0,D,8,1,12,13,0,3,0,0,1.6,4,6.5,1.57,3.8,6.5,0
12/10/2018,Everton,Watford,1,1,D,1,1,D,3,5,7,18,0,5,0,0,1.8,3.75,5,1.73,3.8,4.8,0
12/23/2018,Everton,Tottenham,2,2,D,1,0,H,5,3,13,13,1,1,0,0,3.25,3.5,2.3,3.1,3.4,2.3,0
1/1/2019,Everton,Leicester,2,6,A,1,3,A,3,8,13,9,0,2,0,0,2,3.5,4.2,2,3.4,3.9,0
1/13/2019,Everton,Bournemouth,0,1,A,0,0,D,2,4,5,8,3,1,0,0,1.75,4,4.8,1.75,3.75,4.75,1
2/2/2019,Everton,Wolves,2,0,H,0,0,D,3,7,17,8,5,0,0,0,2.37,3.4,3.25,2.35,3.3,3.1,0
2/6/2019,Everton,Man City,1,3,A,1,2,A,4,4,12,14,3,1,0,0,10,6.25,1.3,10,5.5,1.3,0
3/3/2019,Everton,Liverpool,0,2,A,0,1,A,1,4,12,6,1,1,0,0,6,4.2,1.61,5.8,3.9,1.62,0
3/17/2019,Everton,Chelsea,0,0,D,0,0,D,3,3,12,10,1,2,0,0,4,3.8,1.95,4,3.5,1.95,1
4/7/2019,Everton,Arsenal,2,0,H,0,0,D,8,5,17,9,1,2,0,0,3,3.75,2.35,3,3.5,2.3,1
4/21/2019,Everton,Man United,1,0,H,1,0,H,6,2,8,9,1,4,0,0,3.25,3.5,2.3,3.2,3.4,2.25,1
5/3/2019,Everton,Burnley,4,0,H,2,0,H,8,1,11,7,1,1,0,0,1.66,4,5.75,1.7,3.9,5.5,1
8/12/2017,Everton,Stoke,2,0,H,2,0,H,6,1,8,9,0,2,0,0,1.7,3.8,5.75,1.7,3.5,5.5,1
9/9/2017,Everton,Tottenham,1,0,H,1,0,H,4,1,13,10,1,1,0,0,3.8,3.5,2.1,3.5,3.25,2.15,0
9/23/2017,Everton,Bournemouth,0,3,A,0,2,A,1,6,14,14,3,1,0,0,1.65,4,5.75,1.67,3.6,5.5,1
10/1/2017,Everton,Burnley,2,1,H,0,0,D,4,4,12,11,3,1,0,0,1.67,3.6,5.75,1.62,3.6,6,0
10/22/2017,Everton,Arsenal,0,1,A,0,1,A,4,2,14,7,2,2,0,0,3.79,3.6,2.04,4,3.3,2.05,0
11/5/2017,Everton,Watford,2,5,A,1,1,D,3,14,14,14,1,1,1,0,2.2,3.39,3.6,2.15,3.3,3.6,1
11/29/2017,Everton,West Ham,3,2,H,0,0,D,5,3,14,12,0,2,0,0,2.37,3.29,3.29,2.3,3.3,3.3,1
12/2/2017,Everton,Huddersfield,4,0,H,2,0,H,5,3,16,6,2,1,0,0,1.72,3.79,5.5,1.73,3.5,5.5,1
12/18/2017,Everton,Swansea,2,0,H,0,0,D,4,3,12,9,2,1,0,0,1.72,3.75,5.5,1.73,3.6,5.5,1
