Date,HomeTeam,AwayTeam,FT_HomeGoals,FT_AwayGoals,FT_Result,HT_HomeGoals,HT_AwayGoals,HT_Result,HomeShotsonTarget,AwayShotsonTarget,HomeFouls,AwayFouls,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,Bet365_HomeWin_Odds,Bet365_Draw_Odds,Bet365_AwayWin_Odds,WilliamHill_HomeWin_Odds,WilliamHill_HomeDraw_Odds,WilliamHill_AwayWin_Odds,Result
9/1/2019,Everton,Wolves,1,0,H,1,0,H,2,2,11,11,2,3,0,0,2.2,3.25,3.5,2.15,3.25,3.6,1
9/21/2019,Everton,Sheffield United,3,2,H,2,1,H,6,5,12,12,1,4,0,1,1.61,3.75,6,1.65,3.7,5.8,0
9/28/2019,Everton,Man City,0,2,A,0,1,A,3,1,9,9,1,3,0,0,10,5.5,1.3,10,5.8,1.29,0
10/19/2019,Everton,West Ham,1,3,A,1,1,D,8,9,4,8,2,2,0,0,1.95,3.75,3.75,1.95,3.6,3.8,1
11/3/2019,Everton,Tottenham,2,0,H,1,0,H,10,4,15,15,2,2,0,0,2.7,3.4,2.6,2.7,3.5,2.55,0
11/23/2019,Everton,Norwich,1,1,D,0,0,D,3,2,9,8,1,2,0,1,1.36,5.1,8,1.38,4.8,8.5,0
12/7/2019,Everton,Chelsea,0,2,A,0,0,D,7,5,12,11,3,5,0,0,3.5,3.75,2,3.5,3.75,2,1
12/21/2019,Everton,Arsenal,3,1,H,1,0,H,7,4,14,9,3,0,0,0,2.3,3.8,2.87,2.3,3.7,2.9,0
12/26/2019,Everton,Burnley,0,0,D,0,0,D,0,2,10,11,2,3,0,0,1.7,3.75,5,1.7,3.7,5.25,1
1/11/2020,Everton,Brighton,1,0,H,0,0,D,5,0,15,14,0,0,0,0,1.85,3.8,4,1.75,3.5,4.2,1
1/21/2020,Everton,Newcastle,1,0,H,1,0,H,6,2,7,7,2,1,0,0,1.55,4.1,6,1.57,3.8,6.5,0
2/8/2020,Everton,Crystal Palace,2,2,D,1,0,H,8,2,13,10,1,1,0,0,1.61,3.8,6,1.63,3.7,6,1
3/1/2020,Everton,Man United,3,1,H,1,0,H,8,2,11,12,0,1,0,0,2.5,3.25,2.9,2.55,3.3,2.8,0
6/21/2020,Everton,Liverpool,1,1,D,1,1,D,5,5,11,11,3,4,0,0,6,4.2,1.55,5.8,4.2,1.57,0
7/1/2020,Everton,Leicester,0,0,D,0,0,D,3,3,15,12,2,2,0,0,2.5,3.3,2.9,2.55,3.25,2.88,1
7/9/2020,Everton,Southampton,2,1,H,2,0,H,2,3,13,10,1,1,0,0,2.05,3.5,3.6,2.05,3.5,3.6,0
7/16/2020,Everton,Aston Villa,1,1,D,1,1,D,4,4,13,14,3,3,0,0,2,3.5,3.75,2,3.6,3.7,0
7/26/2020,Everton,Bournemouth,1,1,D,0,0,D,1,1,15,13,2,1,0,0,2.25,3.7,3,2.25,3.8,2.9,0
