Date,HomeTeam,AwayTeam,FT_HomeGoals,FT_AwayGoals,FT_Result,HT_HomeGoals,HT_AwayGoals,HT_Result,HomeShotsonTarget,AwayShotsonTarget,HomeFouls,AwayFouls,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,Bet365_HomeWin_Odds,Bet365_Draw_Odds,Bet365_AwayWin_Odds,WilliamHill_HomeWin_Odds,WilliamHill_HomeDraw_Odds,WilliamHill_AwayWin_Odds,Result
8/25/2018,Southampton,Leicester,2,1,H,1,0,H,6,4,11,8,2,1,0,0,2.45,3.2,3.25,2.3,3.3,3.1,0
9/15/2018,Bournemouth,Leicester,1,2,A,0,0,D,5,5,13,11,1,1,1,0,2.45,3.5,3,2.38,3.4,2.9,1
9/29/2018,Newcastle,Leicester,4,2,H,3,0,H,5,8,13,15,3,2,0,1,2.6,3.3,3,2.55,3.2,2.9,0
10/22/2018,Arsenal,Leicester,0,2,A,0,1,A,1,5,11,5,0,0,0,0,1.53,4.5,6.5,1.53,4.33,5.8,1
11/3/2018,Cardiff,Leicester,3,1,H,1,1,D,6,2,10,10,2,2,0,0,3.8,3.4,2.14,3.6,3.3,2.15,0
11/24/2018,Brighton,Leicester,0,1,A,0,0,D,2,5,13,12,2,2,0,0,2.9,3.4,2.6,2.8,3.2,2.62,0
12/5/2018,Fulham,Leicester,1,1,D,1,0,H,3,3,10,7,3,1,0,1,3,3.5,2.45,2.9,3.4,2.4,0
12/15/2018,Crystal Palace,Leicester,1,1,D,1,0,H,7,5,12,7,0,0,0,0,2.62,3.2,3,2.62,3.1,2.88,1
12/22/2018,Chelsea,Leicester,1,0,H,1,0,H,1,2,10,8,2,1,0,0,1.33,5.5,11,1.3,5.25,11,0
1/1/2019,Everton,Leicester,0,1,A,0,0,D,5,3,10,9,0,2,0,0,2,3.5,4.2,2,3.4,3.9,0
1/19/2019,Wolves,Leicester,0,1,A,0,0,D,2,4,5,8,3,1,0,0,2.37,3.2,3.4,2.3,3.1,3.4,1
1/30/2019,Liverpool,Leicester,4,3,H,2,0,H,7,6,11,10,3,3,0,0,1.22,7,15,1.22,6.5,13,0
2/10/2019,Tottenham,Leicester,1,1,D,1,1,D,3,2,13,6,1,3,0,0,1.7,3.9,5.5,1.7,3.75,5.5,1
3/3/2019,Watford,Leicester,3,1,H,1,0,H,5,9,11,4,3,1,0,0,2.55,3.3,3,2.45,3.3,3,1
3/16/2019,Burnley,Leicester,2,1,H,1,0,H,5,2,15,12,5,1,0,0,3.1,3.4,2.45,3.1,3.3,2.35,0
4/6/2019,Huddersfield,Leicester,1,2,A,1,1,D,2,4,9,10,1,1,0,1,5,4,1.72,5.25,3.7,1.7,0
4/20/2019,West Ham,Leicester,1,4,A,0,1,A,4,9,13,11,3,0,0,0,3.3,3.5,2.3,3.1,3.4,2.3,0
5/6/2019,Man City,Leicester,2,2,D,1,0,H,3,5,8,9,2,0,0,0,1.12,8.5,17,1.15,8,17,1
8/11/2017,Arsenal,Leicester,1,0,H,0,0,D,5,2,12,5,3,2,0,0,1.53,4.5,6.5,1.53,4.2,6,1
8/26/2017,Man United,Leicester,4,3,H,2,2,D,10,3,9,12,0,1,0,0,1.33,5.5,11,1.33,5,9,1
