Date,HomeTeam,AwayTeam,FT_HomeGoals,FT_AwayGoals,FT_Result,HT_HomeGoals,HT_AwayGoals,HT_Result,HomeShotsonTarget,AwayShotsonTarget,HomeFouls,AwayFouls,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,Bet365_HomeWin_Odds,Bet365_Draw_Odds,Bet365_AwayWin_Odds,WilliamHill_HomeWin_Odds,WilliamHill_HomeDraw_Odds,WilliamHill_AwayWin_Odds,Result
8/24/2019,Sheffield United,Leicester,1,1,D,1,0,H,5,3,9,14,1,0,0,0,3.3,3.3,2.25,3.5,3.2,2.2,0
9/14/2019,Man United,Leicester,1,2,A,0,1,A,3,2,11,6,1,0,0,0,1.95,3.5,4,1.95,3.5,4,1
10/5/2019,Liverpool,Leicester,1,0,H,1,0,H,5,3,14,14,1,2,0,0,1.44,4.75,7,1.44,4.6,7.5,1
10/25/2019,Southampton,Leicester,2,1,H,1,0,H,8,1,9,17,1,4,0,0,3.1,3.4,2.3,3.2,3.3,2.3,0
11/3/2019,Crystal Palace,Leicester,0,9,A,0,5,A,3,15,3,12,0,0,1,0,3.5,3.4,2.1,3.4,3.4,2.15,0
11/23/2019,Brighton,Leicester,0,2,A,0,0,D,3,5,15,16,2,2,0,0,3.75,3.5,2,3.7,3.4,2.05,0
12/8/2019,Aston Villa,Leicester,0,2,A,0,0,D,0,9,9,1,2,0,0,0,4.33,3.8,1.8,4.2,3.9,1.8,0
12/21/2019,Man City,Leicester,1,4,A,1,2,A,2,8,21,15,6,2,0,0,1.36,5.25,7.5,1.36,5.25,8,1
12/28/2019,West Ham,Leicester,3,1,H,2,1,H,12,2,14,9,2,2,0,0,4,3.9,1.83,4,3.8,1.85,0
1/1/2020,Newcastle,Leicester,1,2,A,1,1,D,4,8,16,4,4,1,0,0,5,3.8,1.66,5.25,3.9,1.65,0
1/19/2020,Burnley,Leicester,0,3,A,0,2,A,2,10,8,12,1,1,0,0,4.33,3.75,1.83,4.2,3.7,1.85,1
2/14/2020,Wolves,Leicester,2,1,H,0,1,A,5,8,14,8,1,0,0,0,2.5,3.3,2.87,2.55,3.2,2.88,0
2/28/2020,Norwich,Leicester,0,0,D,0,0,D,3,3,13,10,2,2,0,1,4.33,4.1,1.72,4.75,4,1.7,1
6/20/2020,Watford,Leicester,1,0,H,0,0,D,6,4,13,16,1,2,0,0,3.6,3.5,2.05,3.6,3.5,2.05,0
7/1/2020,Everton,Leicester,1,1,D,0,0,D,4,2,15,12,0,1,0,0,2.5,3.3,2.9,2.55,3.25,2.88,1
7/7/2020,Arsenal,Leicester,2,1,H,2,0,H,2,3,13,10,1,1,0,0,2.3,3.5,3,2.38,3.4,3,0
7/12/2020,Bournemouth,Leicester,1,1,D,1,0,H,7,5,10,14,1,0,1,0,5.25,3.8,1.66,5.25,3.7,1.7,1
7/19/2020,Tottenham,Leicester,4,1,H,0,1,A,4,5,11,12,2,1,0,1,2.25,3.3,3.25,2.3,3.4,3.1,1
