Date,HomeTeam,AwayTeam,FT_HomeGoals,FT_AwayGoals,FT_Result,HT_HomeGoals,HT_AwayGoals,HT_Result,HomeShotsonTarget,AwayShotsonTarget,HomeFouls,AwayFouls,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,Bet365_HomeWin_Odds,Bet365_Draw_Odds,Bet365_AwayWin_Odds,WilliamHill_HomeWin_Odds,WilliamHill_HomeDraw_Odds,WilliamHill_AwayWin_Odds,Result
9/1/2018,Leicester,Liverpool,2,0,H,2,0,H,2,3,10,8,2,1,1,0,7.5,5,1.44,7,4.75,1.4,0
9/22/2018,Leicester,Huddersfield,1,2,A,0,2,A,5,4,9,12,3,2,0,0,1.61,4,6.5,1.6,3.75,6,1
10/6/2018,Leicester,Everton,3,1,H,1,1,D,8,2,10,16,2,1,0,0,2.2,3.4,3.6,2.2,3.4,3.3,0
10/27/2018,Leicester,West Ham,1,2,A,1,1,D,2,8,10,11,2,1,1,0,2.1,3.5,3.8,2.15,3.4,3.5,0
11/10/2018,Leicester,Burnley,1,1,D,0,1,A,7,3,17,5,1,1,0,1,1.5,4.33,8,1.52,4.2,6.5,0
12/1/2018,Leicester,Watford,0,0,D,0,0,D,5,1,13,10,2,0,0,0,2.25,3.3,3.6,2.25,3.25,3.4,1
12/8/2018,Leicester,Tottenham,2,0,H,2,0,H,3,0,7,6,2,1,0,1,3.8,3.75,2,3.75,3.5,2,0
12/26/2018,Leicester,Man City,0,2,A,0,1,A,3,2,12,7,3,1,0,0,9.5,5.25,1.36,9.5,5,1.35,1
12/29/2018,Leicester,Cardiff,2,1,H,1,1,D,5,4,5,8,2,2,0,1,1.55,4,6,1.55,4.2,6,0
1/12/2019,Leicester,Southampton,0,1,A,0,0,D,7,3,14,16,0,2,0,0,1.95,3.5,4.33,1.85,3.5,4.33,0
2/3/2019,Leicester,Man United,1,2,A,0,2,A,6,3,7,9,2,1,0,1,3.6,3.5,2.15,3.6,3.4,2.1,0
2/23/2019,Leicester,Crystal Palace,0,1,A,0,1,A,6,6,14,9,4,4,0,0,2.25,3.4,3.5,2.15,3.3,3.5,0
2/26/2019,Leicester,Brighton,1,4,A,0,1,A,5,5,7,14,2,1,0,0,1.9,3.5,4.6,1.88,3.4,4.4,1
3/9/2019,Leicester,Fulham,2,1,H,1,0,H,3,3,6,4,1,1,0,0,1.57,4.5,6,1.57,4.2,5.8,1
3/30/2019,Leicester,Bournemouth,3,1,H,1,0,H,8,3,9,13,0,2,0,0,1.85,3.8,4.5,1.8,3.75,4.33,1
4/12/2019,Leicester,Newcastle,2,0,H,1,0,H,4,2,6,12,0,2,0,0,1.66,4,5.75,1.63,3.75,5.8,0
4/28/2019,Leicester,Arsenal,0,1,A,0,1,A,5,5,6,10,2,3,0,0,2.75,3.6,2.6,2.62,3.6,2.55,1
5/12/2019,Leicester,Chelsea,3,0,H,0,0,D,12,1,13,13,3,1,0,1,2.4,3.75,2.9,2.38,3.6,2.88,0
8/19/2017,Leicester,Brighton,0,0,D,0,0,D,3,4,9,8,0,1,0,0,1.73,3.8,5.5,1.73,3.3,5.5,1
