Date,HomeTeam,AwayTeam,FT_HomeGoals,FT_AwayGoals,FT_Result,HT_HomeGoals,HT_AwayGoals,HT_Result,HomeShotsonTarget,AwayShotsonTarget,HomeFouls,AwayFouls,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,Bet365_HomeWin_Odds,Bet365_Draw_Odds,Bet365_AwayWin_Odds,WilliamHill_HomeWin_Odds,WilliamHill_HomeDraw_Odds,WilliamHill_AwayWin_Odds,Result
8/31/2019,Leicester,Bournemouth,0,0,D,0,0,D,1,2,3,13,0,2,0,0,1.7,4,4.75,1.7,3.9,4.8,1
9/21/2019,Leicester,Tottenham,3,1,H,2,1,H,5,2,9,11,1,3,0,0,2.87,3.5,2.37,2.8,3.5,2.45,1
9/29/2019,Leicester,Newcastle,2,1,H,0,1,A,7,4,16,13,1,2,0,0,1.5,4,7.5,1.5,4,7.5,1
10/19/2019,Leicester,Burnley,5,0,H,1,0,H,5,0,12,9,1,1,0,1,1.57,4,6,1.55,4,6.5,1
11/9/2019,Leicester,Arsenal,2,1,H,1,1,D,3,4,4,10,0,3,0,0,2,3.75,3.5,1.95,3.7,3.7,1
12/1/2019,Leicester,Everton,2,0,H,0,0,D,7,1,10,10,1,1,0,0,1.61,4,5.25,1.63,4,5.25,1
12/4/2019,Leicester,Watford,2,1,H,0,1,A,6,3,7,9,0,1,0,0,1.33,5.5,8,1.33,5,10,1
12/14/2019,Leicester,Norwich,2,0,H,0,0,D,6,1,13,16,3,2,0,0,1.22,6.5,13,1.2,6.5,15,0
12/26/2019,Leicester,Liverpool,1,1,D,1,1,D,5,3,11,15,0,4,0,0,3.4,3.75,2.05,3.4,3.6,2.1,0
1/11/2020,Leicester,Southampton,0,4,A,0,1,A,0,6,5,7,1,1,0,0,1.6,4,5.5,1.63,3.9,5.5,0
1/22/2020,Leicester,West Ham,1,2,A,1,1,D,5,10,9,17,0,3,0,0,1.53,4.33,6,1.52,4.4,6,1
2/1/2020,Leicester,Chelsea,4,1,H,2,0,H,8,2,10,19,1,1,0,0,2.5,3.6,2.7,2.5,3.6,2.7,0
2/22/2020,Leicester,Man City,2,2,D,0,0,D,4,3,16,14,2,2,0,0,4.5,4.2,1.7,4.5,4,1.73,0
3/9/2020,Leicester,Aston Villa,0,1,A,0,0,D,3,7,14,10,0,0,0,0,1.36,5.25,8,1.38,5,8,1
6/23/2020,Leicester,Brighton,4,0,H,1,0,H,7,1,15,12,2,1,0,0,1.6,4,5.75,1.62,3.9,5.8,0
7/4/2020,Leicester,Crystal Palace,0,0,D,0,0,D,2,2,10,13,2,2,0,0,1.66,3.6,5.75,1.65,3.6,6,1
7/16/2020,Leicester,Sheffield United,3,0,H,0,0,D,4,1,18,8,2,1,0,0,2.05,3.25,3.9,2,3.4,4,1
7/26/2020,Leicester,Man United,2,0,H,1,0,H,7,1,12,10,1,2,0,0,3.25,3.5,2.2,3.2,3.4,2.25,0
