Date,HomeTeam,AwayTeam,FT_HomeGoals,FT_AwayGoals,FT_Result,HT_HomeGoals,HT_AwayGoals,HT_Result,HomeShotsonTarget,AwayShotsonTarget,HomeFouls,AwayFouls,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,Bet365_HomeWin_Odds,Bet365_Draw_Odds,Bet365_AwayWin_Odds,WilliamHill_HomeWin_Odds,WilliamHill_HomeDraw_Odds,WilliamHill_AwayWin_Odds,Result
8/31/2019,Burnley,Liverpool,1,2,A,0,1,A,3,6,10,6,2,1,0,0,9.5,5.5,1.3,10,5.25,1.32,0
9/22/2019,Chelsea,Liverpool,0,3,A,0,2,A,2,7,10,16,0,0,0,0,3.5,3.75,2,3.6,3.7,2,0
9/28/2019,Sheffield United,Liverpool,1,2,A,0,2,A,2,3,8,13,3,3,0,0,9,5.25,1.33,9,5,1.35,0
10/20/2019,Man United,Liverpool,0,1,A,0,0,D,2,4,8,4,1,1,0,0,5.25,3.8,1.65,5.25,4,1.63,0
11/2/2019,Aston Villa,Liverpool,1,1,D,1,0,H,2,4,6,14,0,1,0,0,9,5,1.33,8.5,5.25,1.35,0
11/23/2019,Crystal Palace,Liverpool,1,2,A,1,0,H,2,6,12,9,1,2,0,0,7.5,4.75,1.4,8,4.6,1.42,0
12/7/2019,Bournemouth,Liverpool,1,2,A,0,0,D,6,4,8,7,0,1,0,0,7,5.25,1.4,7.5,5,1.4,0
12/26/2019,Leicester,Liverpool,0,3,A,0,2,A,0,9,5,6,0,1,0,0,3.4,3.75,2.05,3.4,3.6,2.1,0
1/11/2020,Tottenham,Liverpool,0,4,A,0,1,A,0,6,5,7,1,1,0,0,4.5,4.33,1.66,4.6,4.2,1.7,0
1/23/2020,Wolves,Liverpool,0,1,A,0,1,A,4,7,4,8,0,2,0,0,5.75,3.8,1.61,5.8,3.9,1.62,0
1/29/2020,West Ham,Liverpool,1,2,A,0,1,A,3,6,6,11,0,1,0,0,8.5,5.5,1.33,9,5.5,1.32,0
2/15/2020,Norwich,Liverpool,0,2,A,0,1,A,4,5,6,6,2,0,0,0,11,6.25,1.25,10,5.8,1.29,0
2/29/2020,Watford,Liverpool,0,1,A,0,0,D,1,6,5,11,1,2,0,0,8,4.75,1.4,7.5,4.8,1.42,1
6/21/2020,Everton,Liverpool,3,0,H,0,0,D,5,1,4,8,0,0,0,0,6,4.2,1.55,5.8,4.2,1.57,0
7/2/2020,Man City,Liverpool,0,0,D,0,0,D,3,3,15,12,2,2,0,0,2.05,3.9,3.3,2.05,3.8,3.3,1
7/8/2020,Brighton,Liverpool,4,0,H,3,0,H,6,3,8,7,2,2,0,0,6,4.33,1.53,6,4.2,1.55,0
7/15/2020,Arsenal,Liverpool,1,3,A,1,2,A,2,8,7,15,1,4,0,0,3.8,3.8,1.9,3.9,3.8,1.88,1
7/26/2020,Newcastle,Liverpool,2,1,H,2,1,H,2,8,14,10,3,1,0,0,7.5,5.25,1.36,8,5,1.38,0
