Date,HomeTeam,AwayTeam,FT_HomeGoals,FT_AwayGoals,FT_Result,HT_HomeGoals,HT_AwayGoals,HT_Result,HomeShotsonTarget,AwayShotsonTarget,HomeFouls,AwayFouls,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,Bet365_HomeWin_Odds,Bet365_Draw_Odds,Bet365_AwayWin_Odds,WilliamHill_HomeWin_Odds,WilliamHill_HomeDraw_Odds,WilliamHill_AwayWin_Odds,Result
8/25/2018,Liverpool,Brighton,4,0,H,2,0,H,8,2,14,9,1,2,0,0,1.16,8.5,19,1.15,8,17,1
9/22/2018,Liverpool,Southampton,1,0,H,1,0,H,8,2,8,14,1,1,0,0,1.2,7.5,17,1.18,7,15,1
10/7/2018,Liverpool,Man City,3,0,H,3,0,H,4,1,7,10,0,2,0,0,2.54,3.6,2.8,2.5,3.5,2.75,0
10/27/2018,Liverpool,Cardiff,0,0,D,0,0,D,2,2,10,10,1,3,0,0,1.11,11,26,1.08,11,29,1
11/11/2018,Liverpool,Fulham,4,1,H,1,0,H,7,1,6,4,0,0,0,0,1.11,11,26,1.1,11,21,1
12/2/2018,Liverpool,Everton,2,0,H,1,0,H,7,3,11,9,1,1,0,0,1.4,5,9,1.36,5,8.5,1
12/16/2018,Liverpool,Man United,1,0,H,0,0,D,3,3,12,7,3,2,0,0,1.57,4.5,6,1.52,4.33,6,1
12/26/2018,Liverpool,Newcastle,3,1,H,1,1,D,11,2,6,14,0,2,0,0,1.16,8.5,19,1.15,8,17,1
12/29/2018,Liverpool,Arsenal,4,0,H,1,0,H,8,2,7,9,0,0,0,0,1.5,4.5,5.75,1.47,4.75,6.5,1
1/19/2019,Liverpool,Crystal Palace,5,1,H,4,1,H,10,2,8,13,1,2,0,0,1.2,7.5,17,1.17,7.5,17,1
1/30/2019,Liverpool,Leicester,4,3,H,0,1,A,9,3,6,8,0,1,1,0,1.22,7,15,1.22,6.5,13,0
2/9/2019,Liverpool,Bournemouth,1,1,D,1,1,D,3,2,13,6,1,3,0,0,1.22,7.5,14,1.2,7,15,1
2/27/2019,Liverpool,Watford,3,0,H,2,0,H,9,2,14,6,2,2,0,0,1.28,6,12,1.27,5.5,12,1
3/10/2019,Liverpool,Burnley,5,0,H,2,0,H,10,3,5,7,0,2,0,0,1.16,8.5,21,1.15,7.5,19,1
3/31/2019,Liverpool,Tottenham,4,2,H,2,1,H,5,2,4,7,2,0,0,0,1.61,4.2,6,1.6,4,5.8,1
4/14/2019,Liverpool,Chelsea,2,1,H,1,0,H,3,2,5,8,0,1,0,0,1.66,4.2,5.25,1.63,4,5.25,1
4/26/2019,Liverpool,Huddersfield,2,0,H,0,0,D,7,3,5,9,0,1,0,0,1.07,15,41,1.05,13,41,1
5/12/2019,Liverpool,Wolves,5,0,H,3,0,H,7,1,5,14,0,0,0,0,1.3,6,11,1.29,5.5,11,1
8/19/2017,Liverpool,Crystal Palace,2,0,H,1,0,H,5,2,3,11,0,2,0,0,1.36,5.25,9.5,1.33,4.5,9,1
8/27/2017,Liverpool,Arsenal,1,0,H,0,0,D,13,1,12,13,1,3,0,0,2.15,3.7,3.5,2.2,3.25,3.4,1
9/16/2017,Liverpool,Burnley,4,0,H,2,0,H,10,0,6,9,2,4,0,0,1.29,6,13,1.29,5,12,0
10/14/2017,Liverpool,Man United,1,1,D,1,1,D,9,4,7,9,1,2,0,0,2.8,3.25,2.8,2.75,3.2,2.75,0
10/28/2017,Liverpool,Huddersfield,0,0,D,0,0,D,5,1,7,13,0,2,0,0,1.25,6.75,13,1.25,6.5,12,1
11/18/2017,Liverpool,Southampton,3,0,H,0,0,D,8,0,10,8,0,1,0,0,1.39,5,9,1.4,4.8,8.5,1
11/25/2017,Liverpool,Chelsea,3,0,H,2,0,H,8,0,15,9,1,1,0,0,2.14,3.6,3.5,2.15,3.3,3.6,0
12/10/2017,Liverpool,Everton,1,1,D,0,0,D,4,3,10,7,0,0,0,0,1.3,6,11,1.3,5,10,0
12/13/2017,Liverpool,West Brom,1,1,D,1,0,H,3,2,8,11,1,3,0,0,1.22,7,15,1.2,7,15,0
12/26/2017,Liverpool,Swansea,0,0,D,0,0,D,5,1,16,6,1,0,0,0,1.16,9,19,1.17,8,17,1
12/30/2017,Liverpool,Leicester,5,0,H,1,0,H,9,4,5,8,0,1,0,0,1.3,6,11,1.3,5.5,9,1
1/14/2018,Liverpool,Man City,2,1,H,0,1,A,6,1,7,3,3,2,0,0,3.1,3.75,2.29,3.1,3.5,2.3,1
2/4/2018,Liverpool,Tottenham,4,3,H,1,1,D,7,4,10,7,2,3,0,0,2.1,3.75,3.6,2.1,3.6,3.5,0
2/24/2018,Liverpool,West Ham,2,2,D,1,0,H,3,6,15,9,3,1,0,0,1.22,7.5,13,1.22,6,12,1
3/3/2018,Liverpool,Newcastle,4,1,H,1,0,H,12,4,7,7,0,2,0,0,1.22,7,15,1.22,6.5,15,1
3/17/2018,Liverpool,Watford,2,0,H,1,0,H,3,2,7,9,0,0,0,0,1.19,8,15,1.2,6.5,13,1
4/14/2018,Liverpool,Bournemouth,5,0,H,2,0,H,10,1,5,4,1,0,0,0,1.25,7,12,1.25,6,13,1
4/28/2018,Liverpool,Stoke,3,0,H,1,0,H,7,1,9,9,1,1,0,0,1.33,5.75,10,1.33,5,10,0
5/13/2018,Liverpool,Brighton,0,0,D,0,0,D,2,1,7,14,1,2,0,0,1.19,8,15,1.2,6.5,17,1
9/10/2016,Liverpool,Leicester,4,0,H,2,0,H,11,1,3,6,0,0,0,0,1.7,4,5.5,1.7,3.75,5.5,1
9/24/2016,Liverpool,Hull,4,1,H,2,1,H,11,3,4,8,1,2,0,0,1.22,7,15,1.25,6,13,1
10/17/2016,Liverpool,Man United,5,1,H,3,0,H,12,1,8,8,1,2,0,1,2.2,3.5,3.5,2.25,3.1,3.6,0
10/22/2016,Liverpool,West Brom,0,0,D,0,0,D,3,1,14,20,0,4,0,0,1.29,6,13,1.29,6,11,1
11/6/2016,Liverpool,Watford,2,1,H,2,0,H,7,1,9,13,1,3,0,0,1.29,6,12,1.3,5,13,1
11/26/2016,Liverpool,Sunderland,6,1,H,3,0,H,17,8,14,10,1,2,0,0,1.17,8.5,19,1.2,7,17,1
12/11/2016,Liverpool,West Ham,2,0,H,0,0,D,7,1,5,9,1,3,0,0,1.3,6,11,1.3,5.5,11,0
12/27/2016,Liverpool,Stoke,2,2,D,1,2,A,3,3,7,8,2,0,0,0,1.3,5.5,10,1.33,5,11,1
12/31/2016,Liverpool,Man City,4,1,H,2,1,H,6,2,9,6,0,1,0,0,2.35,3.6,3.1,2.4,3.3,3.1,1
1/21/2017,Liverpool,Swansea,1,0,H,1,0,H,1,2,12,12,2,1,0,0,1.22,7,15,1.22,6.5,15,0
1/31/2017,Liverpool,Chelsea,2,3,A,0,0,D,5,3,7,7,1,1,0,0,2.65,3.25,2.9,2.6,3.2,3,0
2/11/2017,Liverpool,Tottenham,1,1,D,0,1,A,3,2,13,8,2,1,0,0,2.3,3.4,3.4,2.3,3.2,3.4,1
3/4/2017,Liverpool,Arsenal,2,0,H,2,0,H,9,2,14,14,3,4,0,0,2.15,3.6,3.6,2.15,3.4,3.6,1
3/12/2017,Liverpool,Burnley,3,1,H,2,0,H,7,3,8,15,1,2,0,0,1.25,6.5,14,1.25,6,13,1
4/1/2017,Liverpool,Everton,2,1,H,1,1,D,3,1,12,16,2,2,0,0,1.73,3.9,5.25,1.73,3.8,5,1
4/5/2017,Liverpool,Bournemouth,3,1,H,2,1,H,6,4,17,10,1,3,0,0,1.36,5.25,9.5,1.36,5,9,0
4/23/2017,Liverpool,Crystal Palace,2,2,D,1,1,D,8,2,11,8,1,1,0,0,1.5,4.75,7,1.5,4,7,0
5/7/2017,Liverpool,Southampton,1,2,A,1,1,D,1,3,8,10,1,2,0,0,1.62,4.2,6,1.62,4,6,0
5/21/2017,Liverpool,Middlesbrough,0,0,D,0,0,D,8,0,9,4,1,3,0,0,1.14,9,23,1.1,9,26,1
8/17/2015,Liverpool,Bournemouth,3,0,H,1,0,H,10,3,13,8,0,1,0,0,1.45,4.75,8,1.5,4.2,6.5,1
8/29/2015,Liverpool,West Ham,1,0,H,1,0,H,2,2,11,18,1,4,0,0,1.36,5.5,9,1.36,4.5,9.5,0
9/20/2015,Liverpool,Norwich,0,3,A,0,2,A,1,5,17,11,3,1,1,1,1.67,4,5.75,1.67,3.6,5.5,0
9/26/2015,Liverpool,Aston Villa,1,1,D,0,0,D,7,2,4,13,1,2,0,0,1.53,4.33,7,1.53,3.8,7,1
10/25/2015,Liverpool,Southampton,3,2,H,1,0,H,12,4,8,13,0,0,0,0,2.05,3.6,3.8,2.1,3.3,3.9,0
11/8/2015,Liverpool,Crystal Palace,1,1,D,0,0,D,2,3,8,11,1,0,0,1,1.67,3.8,6,1.7,3.2,6,0
11/29/2015,Liverpool,Swansea,1,2,A,1,1,D,4,4,7,6,1,2,0,0,1.44,4.75,8,1.5,4,7,1
12/13/2015,Liverpool,West Brom,1,0,H,0,0,D,2,0,12,6,3,1,0,0,1.4,4.75,10,1.4,4.33,9,0
12/26/2015,Liverpool,Leicester,2,2,D,1,1,D,8,2,7,10,0,0,0,0,1.91,3.8,3.8,1.95,3.5,3.8,1
1/13/2016,Liverpool,Arsenal,1,0,H,0,0,D,4,3,11,8,2,1,0,0,2.88,3.4,2.6,2.9,3.2,2.5,0
1/17/2016,Liverpool,Man United,3,3,D,2,2,D,6,5,9,7,2,0,0,0,2.3,3.25,3.5,2.4,3.1,3.1,0
2/6/2016,Liverpool,Sunderland,0,1,A,0,0,D,4,1,6,18,0,2,0,0,1.44,4.75,8.5,1.44,4.2,8,0
3/2/2016,Liverpool,Man City,2,2,D,0,0,D,5,2,4,12,1,1,0,0,2.63,3.4,2.88,2.62,3.2,2.8,1
4/2/2016,Liverpool,Tottenham,3,0,H,2,0,H,7,2,14,14,0,1,0,0,2.5,3.4,3,2.6,3,2.9,0
4/10/2016,Liverpool,Stoke,1,1,D,0,0,D,7,5,11,11,2,0,0,0,1.55,4,5.75,1.6,3.75,6,1
4/20/2016,Liverpool,Everton,4,1,H,2,1,H,6,3,14,14,0,2,0,0,1.73,4,5,1.7,3.6,5,1
4/23/2016,Liverpool,Newcastle,4,0,H,2,0,H,13,0,8,11,1,1,0,1,1.57,4.5,6,1.6,4,5.5,0
5/8/2016,Liverpool,Watford,2,2,D,2,0,H,4,3,8,17,1,1,0,0,1.5,4.5,7.5,1.5,4,7,1
5/11/2016,Liverpool,Chelsea,2,0,H,1,0,H,5,3,10,15,1,2,0,0,2,3.8,3.8,1.95,3.5,3.75,0
9/1/2013,Liverpool,Man United,1,1,D,0,1,A,9,7,11,12,3,1,0,0,2.63,3.4,2.88,2.6,3.2,2.8,1
9/21/2013,Liverpool,Southampton,1,0,H,1,0,H,5,4,15,15,2,4,0,0,1.6,4,6.5,1.62,3.6,6,0
10/5/2013,Liverpool,Crystal Palace,0,1,A,0,0,D,5,7,6,9,0,1,0,0,1.2,7.5,17,1.22,5.5,15,1
10/26/2013,Liverpool,West Brom,3,1,H,3,0,H,7,2,11,6,2,1,0,0,1.44,4.75,8,1.44,4.5,6.5,1
11/9/2013,Liverpool,Fulham,4,1,H,2,0,H,7,3,14,11,0,2,0,0,1.25,6.5,15,1.25,5,15,1
12/4/2013,Liverpool,Norwich,4,0,H,3,0,H,10,1,13,9,0,1,0,0,1.29,6,12,1.29,5,12,1
12/7/2013,Liverpool,West Ham,5,1,H,3,0,H,12,5,10,6,3,1,0,0,1.29,6,12,1.3,5,11,1
12/21/2013,Liverpool,Cardiff,4,1,H,1,0,H,9,1,9,12,0,3,0,1,1.2,7.5,16,1.22,5.5,15,1
1/1/2014,Liverpool,Hull,3,1,H,3,0,H,7,3,11,13,2,0,0,0,1.3,6,11,1.22,6,9.5,1
1/18/2014,Liverpool,Aston Villa,2,0,H,1,0,H,6,0,15,15,1,2,0,0,1.22,7,15,1.2,6.5,13,0
1/28/2014,Liverpool,Everton,2,2,D,1,2,A,6,3,14,18,1,4,0,0,1.83,3.9,4.5,1.85,3.3,4.5,1
2/8/2014,Liverpool,Arsenal,4,0,H,3,0,H,9,4,11,13,0,3,0,0,2.2,3.6,3.4,2.2,3.1,3.5,1
2/23/2014,Liverpool,Swansea,5,1,H,4,0,H,12,6,14,14,1,2,0,0,1.3,5.75,12,1.3,5,11,1
3/26/2014,Liverpool,Sunderland,4,3,H,3,2,H,10,5,9,11,1,0,0,0,1.17,9,19,1.17,7,15,1
3/30/2014,Liverpool,Tottenham,2,1,H,1,0,H,7,4,5,15,0,2,0,0,1.48,4.75,7.5,1.44,4.33,7,1
4/13/2014,Liverpool,Man City,4,0,H,2,0,H,5,4,9,9,0,2,0,0,2.45,3.7,2.9,2.5,3.1,2.9,1
4/27/2014,Liverpool,Chelsea,3,2,H,2,0,H,4,5,7,9,1,3,1,0,1.67,4.2,5.25,1.7,3.6,5,0
5/11/2014,Liverpool,Newcastle,0,2,A,0,1,A,8,4,9,7,0,4,0,0,1.22,7.5,13,1.22,6,12,1
8/26/2012,Liverpool,Man City,2,1,H,0,1,A,5,2,8,16,1,3,0,2,3.1,3.4,2.3,2.9,3.4,2.38,0
9/2/2012,Liverpool,Arsenal,2,2,D,1,0,H,8,5,10,7,1,0,0,0,2,3.5,3.75,2.05,3.4,3.6,0
9/23/2012,Liverpool,Man United,0,2,A,0,1,A,8,7,12,7,2,2,0,0,2.7,3.3,2.63,2.8,2.88,2.8,0
10/7/2012,Liverpool,Stoke,1,2,A,0,0,D,8,4,14,7,1,2,1,0,1.44,4.33,7.5,1.53,3.75,7,0
10/20/2012,Liverpool,Reading,0,0,D,0,0,D,5,3,9,16,0,6,0,0,1.33,5,10,1.4,4.2,9,1
11/4/2012,Liverpool,Newcastle,1,0,H,1,0,H,13,5,13,6,1,1,0,0,1.57,4,6,1.55,4,6,0
11/17/2012,Liverpool,Wigan,1,1,D,0,1,A,12,3,10,13,0,1,0,1,1.44,4.33,7.5,1.44,4.33,7.5,1
12/1/2012,Liverpool,Southampton,3,0,H,0,0,D,11,3,9,11,0,3,0,0,1.4,4.5,8.5,1.44,4,8,1
12/15/2012,Liverpool,Aston Villa,1,0,H,1,0,H,11,4,10,8,2,0,0,0,1.36,4.75,9,1.33,4.75,8.5,0
12/22/2012,Liverpool,Fulham,1,3,A,0,2,A,17,6,4,11,1,2,0,0,1.53,4,6.5,1.57,3.5,7,1
1/2/2013,Liverpool,Sunderland,4,0,H,2,0,H,12,6,13,6,1,2,0,0,1.4,4.5,8.5,1.4,4,9.5,1
1/19/2013,Liverpool,Norwich,3,0,H,2,0,H,16,5,8,5,0,1,0,0,1.33,5.5,10.5,1.36,4.5,9,1
2/11/2013,Liverpool,West Brom,5,0,H,2,0,H,10,3,10,8,1,1,0,0,1.4,5,9,1.4,4.5,8,0
2/17/2013,Liverpool,Swansea,0,2,A,0,0,D,14,3,9,9,1,4,0,0,1.57,4.4,6,1.57,4,5.5,1
3/10/2013,Liverpool,Tottenham,5,0,H,1,0,H,18,3,6,9,0,1,0,0,1.95,3.8,4,1.95,3.3,4,1
4/7/2013,Liverpool,West Ham,3,2,H,1,1,D,4,9,9,8,1,1,0,0,1.36,5.5,9,1.36,5,8,0
4/21/2013,Liverpool,Chelsea,0,0,D,0,0,D,12,4,8,4,0,1,0,0,2.15,3.6,3.6,2.2,3.3,3.25,0
5/5/2013,Liverpool,Everton,2,2,D,0,1,A,12,6,8,11,5,2,0,0,1.95,3.6,4.2,1.95,3.2,4.2,0
5/19/2013,Liverpool,QPR,0,0,D,0,0,D,8,4,10,10,1,2,0,0,1.25,7,12,1.25,5.5,12,1
8/13/2011,Liverpool,Sunderland,1,0,H,1,0,H,20,3,7,3,1,3,0,0,1.57,3.6,7,1.57,3.75,6.5,0
