Date,HomeTeam,AwayTeam,FT_HomeGoals,FT_AwayGoals,FT_Result,HT_HomeGoals,HT_AwayGoals,HT_Result,HomeShotsonTarget,AwayShotsonTarget,HomeFouls,AwayFouls,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,Bet365_HomeWin_Odds,Bet365_Draw_Odds,Bet365_AwayWin_Odds,WilliamHill_HomeWin_Odds,WilliamHill_HomeDraw_Odds,WilliamHill_AwayWin_Odds,Result
8/24/2019,Liverpool,Arsenal,4,1,H,4,0,H,7,5,9,9,0,2,0,0,1.5,4.6,6,1.47,4.75,6.5,1
9/14/2019,Liverpool,Newcastle,3,1,H,1,0,H,5,3,8,5,1,1,0,0,1.14,8.5,17,1.14,8,21,1
10/5/2019,Liverpool,Leicester,3,1,H,2,1,H,9,1,5,4,0,0,0,0,1.44,4.75,7,1.44,4.6,7.5,1
10/27/2019,Liverpool,Tottenham,2,1,H,1,0,H,8,1,9,17,1,4,0,0,1.5,4.33,6.5,1.52,4.4,6,1
11/10/2019,Liverpool,Man City,2,1,H,0,1,A,13,4,9,11,3,3,0,0,2.5,3.6,2.62,2.55,3.6,2.62,1
11/30/2019,Liverpool,Brighton,3,1,H,2,0,H,5,3,10,5,0,2,0,0,1.18,7,15,1.2,6.5,15,1
12/4/2019,Liverpool,Everton,2,1,H,2,0,H,7,5,3,10,0,0,1,0,1.36,5,8.5,1.36,5,8.5,1
12/14/2019,Liverpool,Watford,5,2,H,4,2,H,5,4,13,17,1,2,0,0,1.16,7.5,17,1.15,7.5,19,1
12/29/2019,Liverpool,Wolves,2,0,H,1,0,H,6,2,8,6,2,1,0,0,1.25,5.75,12,1.27,5.8,11,1
1/2/2020,Liverpool,Sheffield United,1,0,H,1,0,H,3,2,7,3,1,0,0,0,1.2,6.5,13,1.22,6,15,1
1/19/2020,Liverpool,Man United,2,0,H,1,0,H,7,2,5,8,0,0,0,0,1.36,5.25,8,1.35,5,9,1
2/1/2020,Liverpool,Southampton,2,0,H,1,0,H,5,4,7,10,1,3,0,0,1.25,6,12,1.27,5.8,11,1
2/24/2020,Liverpool,West Ham,4,0,H,0,0,D,9,4,9,15,0,2,0,0,1.16,8,15,1.17,7.5,17,1
3/7/2020,Liverpool,Bournemouth,3,2,H,1,1,D,7,4,4,10,0,3,0,0,1.22,6.5,13,1.25,6,12,1
6/24/2020,Liverpool,Crystal Palace,2,1,H,2,1,H,6,4,10,12,0,1,0,0,1.22,6.5,13,1.22,6,15,1
7/5/2020,Liverpool,Aston Villa,4,0,H,2,0,H,7,0,7,5,0,0,0,0,1.33,5.5,8.5,1.32,5.5,9,1
7/11/2020,Liverpool,Burnley,2,0,H,0,0,D,4,3,18,8,1,1,0,0,1.22,6.5,12,1.24,6.5,12,0
7/22/2020,Liverpool,Chelsea,1,1,D,1,0,H,9,2,7,4,1,2,0,0,2,3.75,3.5,2.05,3.7,3.4,1
