Date,HomeTeam,AwayTeam,FT_HomeGoals,FT_AwayGoals,FT_Result,HT_HomeGoals,HT_AwayGoals,HT_Result,HomeShotsonTarget,AwayShotsonTarget,HomeFouls,AwayFouls,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,Bet365_HomeWin_Odds,Bet365_Draw_Odds,Bet365_AwayWin_Odds,WilliamHill_HomeWin_Odds,WilliamHill_HomeDraw_Odds,WilliamHill_AwayWin_Odds,Result
8/31/2019,Southampton,Man United,1,1,D,0,1,A,2,2,17,8,2,2,0,0,3.8,3.3,2.05,3.75,3.3,2.1,0
9/22/2019,West Ham,Man United,1,1,D,0,1,A,2,8,17,7,1,2,1,0,3.1,3.6,2.2,3.2,3.6,2.2,1
10/6/2019,Newcastle,Man United,2,0,H,1,0,H,6,3,8,9,2,2,0,0,4.5,3.5,1.85,4.4,3.4,1.88,1
10/27/2019,Norwich,Man United,1,0,H,0,0,D,2,3,12,10,3,3,0,0,4.33,4,1.75,4.33,3.9,1.78,0
11/2/2019,Bournemouth,Man United,1,3,A,0,2,A,3,11,13,10,2,2,0,0,3.25,3.6,2.15,3.3,3.5,2.15,1
11/24/2019,Sheffield United,Man United,1,0,H,1,0,H,6,4,14,12,4,3,0,0,3.5,3.4,2.1,3.6,3.25,2.15,0
12/7/2019,Man City,Man United,3,3,D,1,0,H,8,5,13,10,1,2,0,0,1.3,5.5,10,1.29,5.5,11,0
12/22/2019,Watford,Man United,1,2,A,0,2,A,5,7,10,10,3,2,0,0,4.33,4,1.75,4.4,3.8,1.78,1
12/28/2019,Burnley,Man United,2,0,H,0,0,D,3,8,16,11,3,1,0,0,4.33,3.75,1.8,4.33,3.6,1.83,0
1/1/2020,Arsenal,Man United,0,2,A,0,1,A,1,5,17,10,4,3,0,0,2.55,3.6,2.62,2.55,3.6,2.6,1
1/19/2020,Liverpool,Man United,2,0,H,2,0,H,4,4,11,15,2,0,0,0,1.36,5.25,8,1.35,5,9,1
2/17/2020,Chelsea,Man United,2,0,H,1,0,H,5,4,7,10,1,3,0,0,1.85,3.5,4.5,1.85,3.6,4.33,0
3/1/2020,Everton,Man United,0,2,A,0,1,A,1,3,11,11,4,3,0,0,2.5,3.25,2.9,2.55,3.3,2.8,0
6/19/2020,Tottenham,Man United,1,1,D,1,1,D,5,5,11,11,3,4,0,0,3,3.4,2.37,3,3.4,2.38,0
6/30/2020,Brighton,Man United,1,1,D,1,0,H,3,6,17,18,0,1,0,0,6,3.8,1.61,6.5,3.9,1.57,0
7/9/2020,Aston Villa,Man United,0,3,A,0,2,A,2,6,10,9,0,1,0,0,9,5.25,1.33,10,5,1.33,0
7/16/2020,Crystal Palace,Man United,0,3,A,0,2,A,1,6,7,13,2,3,0,0,9.5,4.75,1.36,10,5,1.33,0
7/26/2020,Leicester,Man United,0,2,A,0,1,A,5,5,10,15,1,2,0,0,3.25,3.5,2.2,3.2,3.4,2.25,0
