Date,HomeTeam,AwayTeam,FT_HomeGoals,FT_AwayGoals,FT_Result,HT_HomeGoals,HT_AwayGoals,HT_Result,HomeShotsonTarget,AwayShotsonTarget,HomeFouls,AwayFouls,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,Bet365_HomeWin_Odds,Bet365_Draw_Odds,Bet365_AwayWin_Odds,WilliamHill_HomeWin_Odds,WilliamHill_HomeDraw_Odds,WilliamHill_AwayWin_Odds,Result
8/24/2019,Man United,Crystal Palace,4,0,H,1,0,H,5,7,15,13,3,4,0,0,1.33,5.25,9,1.33,5,10,0
9/14/2019,Man United,Leicester,1,2,A,0,1,A,3,3,8,18,2,4,0,0,1.95,3.5,4,1.95,3.5,4,1
9/30/2019,Man United,Arsenal,1,0,H,1,0,H,5,3,14,14,1,2,0,0,2.37,3.5,2.9,2.35,3.5,3,0
10/20/2019,Man United,Liverpool,1,1,D,1,0,H,4,5,18,13,4,2,0,0,5.25,3.8,1.65,5.25,4,1.63,0
11/10/2019,Man United,Brighton,1,1,D,1,0,H,2,4,6,14,0,1,0,0,1.6,3.75,6.5,1.67,3.6,5.8,1
12/1/2019,Man United,Aston Villa,3,1,H,2,0,H,11,2,10,14,2,5,0,0,1.45,4.5,7,1.47,4.2,7.5,0
12/4/2019,Man United,Tottenham,2,2,D,1,1,D,6,3,16,8,4,1,0,0,2.75,3.4,2.55,2.7,3.4,2.6,1
12/15/2019,Man United,Everton,2,1,H,1,1,D,7,5,9,9,0,1,0,0,1.8,3.7,4.5,1.78,3.6,4.8,0
12/26/2019,Man United,Newcastle,1,1,D,0,1,A,8,3,10,12,1,2,0,0,1.33,5.25,9,1.33,5.25,9.5,1
1/11/2020,Man United,Norwich,4,1,H,3,1,H,10,2,10,7,2,2,0,0,1.33,5.25,8.5,1.35,5,9,1
1/22/2020,Man United,Burnley,4,0,H,1,0,H,6,3,18,7,0,0,0,0,1.36,4.75,9,1.4,4.5,8.5,0
2/1/2020,Man United,Wolves,0,2,A,0,1,A,7,2,11,7,0,2,0,0,2.25,3.25,3.4,2.25,3.2,3.4,0
2/23/2020,Man United,Watford,0,0,D,0,0,D,5,3,14,15,3,2,0,0,1.6,3.9,6,1.6,3.9,6,1
3/8/2020,Man United,Man City,3,0,H,1,0,H,9,2,6,15,0,1,0,0,5,4.33,1.6,5,4.2,1.63,1
6/24/2020,Man United,Sheffield United,2,0,H,1,0,H,6,2,11,9,2,4,0,0,1.4,4.5,8.5,1.42,4.2,9,1
7/4/2020,Man United,Bournemouth,3,0,H,2,0,H,6,1,10,6,1,0,0,0,1.16,7.5,17,1.15,7.5,19,1
7/13/2020,Man United,Southampton,5,2,H,3,1,H,10,3,13,12,0,1,0,0,1.3,5.5,10,1.27,5.8,11,0
7/22/2020,Man United,West Ham,2,2,D,2,1,H,4,5,14,15,1,3,0,0,1.22,6.5,11,1.24,6.5,12,0
