Date,HomeTeam,AwayTeam,FT_HomeGoals,FT_AwayGoals,FT_Result,HT_HomeGoals,HT_AwayGoals,HT_Result,HomeShotsonTarget,AwayShotsonTarget,HomeFouls,AwayFouls,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,Bet365_HomeWin_Odds,Bet365_Draw_Odds,Bet365_AwayWin_Odds,WilliamHill_HomeWin_Odds,WilliamHill_HomeDraw_Odds,WilliamHill_AwayWin_Odds,Result
9/1/2018,Man City,Newcastle,0,0,D,0,0,D,1,6,14,16,2,2,0,1,1.11,11,26,1.08,10,26,1
9/22/2018,Crystal Palace,Newcastle,2,1,H,1,1,D,8,2,5,13,0,0,0,0,2.14,3.4,3.75,2.1,3.3,3.5,0
10/6/2018,Man United,Newcastle,0,0,D,0,0,D,4,3,8,11,1,1,0,0,1.44,4.5,9,1.47,4.4,7,1
10/27/2018,Southampton,Newcastle,3,2,H,0,2,A,10,8,16,8,2,2,0,0,2.1,3.4,3.9,2.15,3.25,3.6,0
11/26/2018,Burnley,Newcastle,0,0,D,0,0,D,4,0,9,12,0,1,0,0,2.9,3.2,2.75,2.8,3.1,2.7,0
12/5/2018,Everton,Newcastle,1,2,A,1,2,A,4,3,6,11,0,1,0,0,1.6,4,6.5,1.57,3.8,6.5,0
12/15/2018,Huddersfield,Newcastle,1,1,D,1,1,D,3,5,7,18,0,5,0,0,2.6,3.1,3.1,2.62,3,3,0
12/26/2018,Liverpool,Newcastle,0,1,A,0,0,D,5,5,5,13,1,1,0,0,1.16,8.5,19,1.15,8,17,1
12/29/2018,Watford,Newcastle,4,0,H,1,0,H,8,2,7,9,0,0,0,0,1.85,3.6,4,1.78,3.6,4.75,0
1/12/2019,Chelsea,Newcastle,1,1,D,0,1,A,5,2,17,16,1,2,0,0,1.22,7,15,1.2,7,13,1
2/2/2019,Tottenham,Newcastle,2,1,H,1,1,D,6,2,6,13,1,1,0,0,1.44,4.5,9,1.42,4.2,9,1
2/11/2019,Wolves,Newcastle,1,0,H,0,0,D,4,2,6,6,0,1,0,0,1.7,3.75,5.75,1.7,3.7,5.5,0
3/2/2019,West Ham,Newcastle,1,1,D,0,0,D,6,3,7,9,1,3,0,0,2.15,3.5,3.6,2.1,3.4,3.6,1
3/16/2019,Bournemouth,Newcastle,2,0,H,2,0,H,4,2,8,14,3,4,0,0,2.05,3.6,3.8,2.1,3.3,3.7,0
4/1/2019,Arsenal,Newcastle,2,2,D,0,1,A,3,4,9,12,3,2,0,0,1.36,5.25,9.5,1.36,5,8.5,1
4/12/2019,Leicester,Newcastle,2,0,H,1,0,H,4,1,11,10,2,0,0,0,1.66,4,5.75,1.63,3.75,5.8,0
4/27/2019,Brighton,Newcastle,0,1,A,0,1,A,5,5,6,10,2,3,0,0,2.3,3.2,3.6,2.25,3.1,3.5,0
5/12/2019,Fulham,Newcastle,1,1,D,0,1,A,2,1,7,10,2,3,0,0,2.5,3.6,2.9,2.5,3.5,2.75,0
8/20/2017,Huddersfield,Newcastle,0,4,A,0,2,A,2,6,6,8,1,0,0,0,2.5,3.25,3.2,2.5,3.1,3,1
9/10/2017,Swansea,Newcastle,1,0,H,0,0,D,3,5,13,10,3,4,0,0,2.4,3.25,3.3,2.38,3.1,3.2,0
9/24/2017,Brighton,Newcastle,0,1,A,0,0,D,4,8,11,15,2,3,0,0,2.8,3.1,2.9,2.7,3.1,2.7,1
10/15/2017,Southampton,Newcastle,1,0,H,0,0,D,3,5,6,8,2,1,0,0,1.91,3.6,4.5,1.85,3.6,4.5,0
10/30/2017,Burnley,Newcastle,2,2,D,0,1,A,2,5,11,12,1,2,0,0,2.89,3.2,2.7,2.88,3.1,2.7,1
11/18/2017,Man United,Newcastle,1,0,H,0,0,D,5,5,9,10,3,0,0,0,1.28,5.75,13,1.3,5,13,1
11/28/2017,West Brom,Newcastle,4,1,H,2,1,H,7,5,10,9,1,1,0,0,2.37,3.1,3.5,2.38,3.1,3.4,0
12/2/2017,Chelsea,Newcastle,2,2,D,1,0,H,4,4,13,12,0,0,0,0,1.25,6.5,15,1.25,6,13,1
12/16/2017,Arsenal,Newcastle,3,1,H,2,1,H,9,2,8,13,0,1,0,0,1.25,6.5,14,1.25,6,13,1
12/23/2017,West Ham,Newcastle,1,0,H,1,0,H,5,2,13,9,2,1,0,0,2.1,3.39,3.89,2.15,3.2,3.8,0
1/1/2018,Stoke,Newcastle,2,3,A,1,1,D,6,4,9,12,1,1,0,0,2.29,3.29,3.5,2.3,3.2,3.4,0
1/20/2018,Man City,Newcastle,0,1,A,0,0,D,4,6,10,11,3,1,0,0,1.12,10,26,1.12,9,26,1
2/4/2018,Crystal Palace,Newcastle,3,1,H,1,0,H,9,4,5,10,0,1,0,0,2.04,3.39,4.2,2.05,3.3,4,0
2/24/2018,Bournemouth,Newcastle,1,1,D,0,1,A,6,8,11,8,1,1,0,0,2.1,3.5,3.79,2.05,3.3,3.7,0
3/3/2018,Liverpool,Newcastle,2,2,D,0,2,A,5,4,12,10,1,4,0,0,1.22,7,15,1.22,6.5,15,1
4/7/2018,Leicester,Newcastle,2,0,H,1,0,H,3,2,7,9,0,0,0,0,1.95,3.6,4.2,1.95,3.4,4.33,0
4/23/2018,Everton,Newcastle,1,2,A,0,1,A,1,4,7,14,1,3,0,0,2.29,3.39,3.39,2.3,3.2,3.2,1
5/5/2018,Watford,Newcastle,1,0,H,0,0,D,1,2,10,11,2,1,0,0,2.37,3.39,3.2,2.4,3.2,3.2,1
5/9/2018,Tottenham,Newcastle,2,1,H,2,0,H,8,1,9,11,2,1,0,0,1.18,8.5,17,1.17,8,17,1
8/15/2015,Swansea,Newcastle,1,0,H,0,0,D,7,3,10,8,2,3,0,0,1.95,3.6,4.33,1.95,3.2,4.33,1
8/22/2015,Man United,Newcastle,2,0,H,1,0,H,6,2,11,8,2,1,0,1,1.36,5.25,10,1.36,5,8,0
9/14/2015,West Ham,Newcastle,0,0,D,0,0,D,8,0,15,11,2,2,0,0,2.25,3.5,3.4,2.25,3.1,3.4,1
10/3/2015,Man City,Newcastle,2,0,H,1,0,H,3,4,8,11,0,2,0,0,1.25,7,13,1.25,6,13,1
10/25/2015,Sunderland,Newcastle,6,1,H,1,1,D,11,4,13,8,3,1,0,0,2.6,3.4,2.9,2.62,3.1,3,1
11/7/2015,Bournemouth,Newcastle,3,0,H,1,0,H,3,8,12,10,0,2,0,1,2.25,3.5,3.4,2.25,3.1,3.4,0
11/28/2015,Crystal Palace,Newcastle,0,1,A,0,1,A,5,1,9,11,2,2,0,0,1.7,3.9,5.5,1.73,3.5,5,1
12/28/2015,West Brom,Newcastle,5,1,H,3,1,H,8,2,7,13,1,1,0,0,2.2,3.25,3.75,2.25,3.2,3.3,1
1/2/2016,Arsenal,Newcastle,1,0,H,0,0,D,5,2,7,13,0,0,0,0,1.29,6.5,11,1.3,5,11,1
1/23/2016,Watford,Newcastle,1,0,H,0,0,D,3,6,10,9,2,2,0,0,2.05,3.5,4,2.1,3.2,3.75,1
2/3/2016,Everton,Newcastle,2,1,H,0,0,D,5,2,10,12,2,1,0,0,1.65,4.2,5.5,1.67,3.8,5,1
2/13/2016,Chelsea,Newcastle,3,0,H,1,0,H,7,3,8,15,1,2,0,1,1.44,4.75,8,1.44,4.2,8,1
