Date,HomeTeam,AwayTeam,FT_HomeGoals,FT_AwayGoals,FT_Result,HT_HomeGoals,HT_AwayGoals,HT_Result,HomeShotsonTarget,AwayShotsonTarget,HomeFouls,AwayFouls,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,Bet365_HomeWin_Odds,Bet365_Draw_Odds,Bet365_AwayWin_Odds,WilliamHill_HomeWin_Odds,WilliamHill_HomeDraw_Odds,WilliamHill_AwayWin_Odds,Result
8/25/2019,Tottenham,Newcastle,3,1,H,1,0,H,8,3,9,11,1,3,0,0,1.2,6.5,14,1.24,6,13,0
9/14/2019,Liverpool,Newcastle,0,1,A,0,1,A,2,3,10,5,2,2,0,0,1.14,8.5,17,1.14,8,21,1
9/29/2019,Leicester,Newcastle,3,1,H,2,1,H,9,1,5,4,0,0,0,0,1.5,4,7.5,1.5,4,7.5,1
10/19/2019,Chelsea,Newcastle,5,0,H,1,0,H,5,0,12,9,1,1,0,1,1.3,5.5,10,1.29,5.5,11,1
11/2/2019,West Ham,Newcastle,1,0,H,0,0,D,8,0,9,12,2,1,0,0,1.75,3.8,4.5,1.78,3.75,4.5,0
11/25/2019,Aston Villa,Newcastle,2,3,A,0,2,A,6,9,10,7,2,1,0,0,2.05,3.4,3.7,2.1,3.5,3.5,1
12/5/2019,Sheffield United,Newcastle,2,0,H,2,0,H,8,5,10,9,1,1,0,0,1.83,3.4,4.6,1.85,3.4,4.6,0
12/14/2019,Burnley,Newcastle,0,2,A,0,1,A,6,4,10,6,2,0,0,0,1.95,3.4,4,1.95,3.5,4,1
12/26/2019,Man United,Newcastle,1,0,H,0,0,D,4,0,15,12,0,2,0,0,1.33,5.25,9,1.33,5.25,9.5,1
1/11/2020,Wolves,Newcastle,4,1,H,3,1,H,10,2,10,7,2,2,0,0,1.44,4.5,7.5,1.44,4.2,8.5,0
1/21/2020,Everton,Newcastle,1,1,D,1,1,D,4,1,13,12,0,3,0,0,1.55,4.1,6,1.57,3.8,6.5,0
2/16/2020,Arsenal,Newcastle,2,2,D,1,0,H,8,2,13,10,1,1,0,0,1.4,4.75,8,1.42,4.5,8,1
2/22/2020,Crystal Palace,Newcastle,4,0,H,0,0,D,7,2,15,9,2,0,0,0,1.95,3.4,4.2,1.95,3.3,4.33,1
3/7/2020,Southampton,Newcastle,1,0,H,1,0,H,9,2,15,11,2,6,0,1,1.61,4.1,5.25,1.67,3.8,5.25,0
7/1/2020,Bournemouth,Newcastle,0,1,A,0,0,D,3,7,14,15,0,3,1,0,2.4,3.1,3.2,2.38,3.2,3.2,0
7/8/2020,Man City,Newcastle,1,4,A,0,2,A,1,7,11,10,2,0,0,0,1.12,9,21,1.11,9,26,1
7/11/2020,Watford,Newcastle,5,0,H,2,0,H,9,1,12,7,0,0,0,0,1.8,3.6,4.5,1.8,3.5,4.75,1
7/20/2020,Brighton,Newcastle,2,1,H,0,1,A,5,4,23,15,1,4,0,0,1.9,3.4,4.33,1.91,3.5,4.2,0
