Date,HomeTeam,AwayTeam,FT_HomeGoals,FT_AwayGoals,FT_Result,HT_HomeGoals,HT_AwayGoals,HT_Result,HomeShotsonTarget,AwayShotsonTarget,HomeFouls,AwayFouls,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,Bet365_HomeWin_Odds,Bet365_Draw_Odds,Bet365_AwayWin_Odds,WilliamHill_HomeWin_Odds,WilliamHill_HomeDraw_Odds,WilliamHill_AwayWin_Odds,Result
8/26/2018,Newcastle,Chelsea,1,2,A,1,2,A,2,5,11,12,2,2,0,0,5.75,4,1.66,5,3.75,1.67,0
9/15/2018,Newcastle,Arsenal,1,2,A,0,0,D,2,3,16,8,3,1,0,0,4.2,3.8,1.9,3.75,3.7,1.91,0
9/29/2018,Newcastle,Leicester,1,2,A,0,0,D,2,2,13,11,0,0,0,0,2.6,3.3,3,2.55,3.2,2.9,0
10/20/2018,Newcastle,Brighton,0,2,A,0,1,A,1,5,11,5,0,0,0,0,2.2,3.25,3.8,2.15,3.2,3.7,0
11/3/2018,Newcastle,Watford,0,1,A,0,1,A,6,2,13,17,0,2,0,0,2.75,3.25,2.8,2.62,3.25,2.75,1
11/10/2018,Newcastle,Bournemouth,1,0,H,0,0,D,2,1,12,11,1,5,0,0,2.9,3.4,2.6,2.75,3.4,2.55,1
12/1/2018,Newcastle,West Ham,2,1,H,2,1,H,6,4,9,11,2,1,0,0,2.5,3.3,3.1,2.45,3.25,3,0
12/9/2018,Newcastle,Wolves,0,3,A,0,1,A,4,4,10,10,3,3,0,0,2.9,3.2,2.7,2.9,3.1,2.62,0
12/22/2018,Newcastle,Fulham,1,2,A,1,1,D,4,6,10,17,2,5,1,0,2,3.6,4,1.95,3.5,4,0
1/2/2019,Newcastle,Man United,0,0,D,0,0,D,0,2,9,12,1,2,0,0,6,4.2,1.61,6,4.2,1.55,0
1/19/2019,Newcastle,Cardiff,0,2,A,0,0,D,3,7,10,9,1,2,0,0,1.95,3.4,4.5,1.95,3.25,4.4,1
1/29/2019,Newcastle,Man City,3,0,H,1,0,H,6,1,11,6,0,1,0,0,19,8,1.18,17,6.5,1.18,1
2/23/2019,Newcastle,Huddersfield,2,1,H,0,1,A,2,4,9,7,2,3,0,0,1.83,3.5,5.25,1.78,3.3,5.25,1
2/26/2019,Newcastle,Burnley,2,0,H,0,0,D,12,1,11,7,2,0,0,1,2.15,3.3,3.9,2.1,3.2,3.8,1
3/9/2019,Newcastle,Everton,2,0,H,2,0,H,3,2,8,8,1,3,0,0,2.8,3.25,2.8,2.75,3.1,2.75,1
4/6/2019,Newcastle,Crystal Palace,3,2,H,0,2,A,7,3,13,10,3,1,0,0,2.6,3.25,3,2.5,3.2,3,0
4/20/2019,Newcastle,Southampton,0,1,A,0,0,D,5,1,12,13,1,2,0,0,2.55,3.2,3.1,2.5,3.1,3.1,1
5/4/2019,Newcastle,Liverpool,3,1,H,2,0,H,6,3,5,11,0,2,0,0,9.5,5.25,1.36,10,5,1.33,0
8/13/2017,Newcastle,Tottenham,2,3,A,1,2,A,7,4,10,4,1,1,0,0,5.5,4,1.7,5,3.75,1.7,0
8/26/2017,Newcastle,West Ham,0,2,A,0,0,D,3,6,6,10,1,2,1,0,2.3,3.4,3.4,2.3,3.2,3.2,1
9/16/2017,Newcastle,Stoke,3,0,H,1,0,H,8,3,17,11,1,3,0,0,2.38,3.25,3.4,2.3,3.1,3.3,1
10/1/2017,Newcastle,Liverpool,2,1,H,1,0,H,3,4,13,11,3,1,0,0,5,3.8,1.67,5,3.75,1.7,0
10/21/2017,Newcastle,Crystal Palace,1,1,D,1,1,D,5,2,11,6,1,1,0,0,2,3.5,4.2,2.05,3.1,4.2,1
11/4/2017,Newcastle,Bournemouth,1,0,H,0,0,D,3,0,12,14,4,2,0,0,2,3.5,4.2,2,3.4,4,0
11/25/2017,Newcastle,Watford,0,1,A,0,0,D,4,6,11,12,2,2,0,0,2.2,3.5,3.5,2.25,3.2,3.5,0
12/9/2017,Newcastle,Leicester,0,3,A,0,2,A,2,4,8,13,1,2,0,0,2.62,3.29,2.89,2.5,3.25,2.8,0
12/13/2017,Newcastle,Everton,2,3,A,1,1,D,4,5,10,9,2,1,0,0,2.39,3.29,3.25,2.4,3.2,3.2,0
