Date,HomeTeam,AwayTeam,FT_HomeGoals,FT_AwayGoals,FT_Result,HT_HomeGoals,HT_AwayGoals,HT_Result,HomeShotsonTarget,AwayShotsonTarget,HomeFouls,AwayFouls,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,Bet365_HomeWin_Odds,Bet365_Draw_Odds,Bet365_AwayWin_Odds,WilliamHill_HomeWin_Odds,WilliamHill_HomeDraw_Odds,WilliamHill_AwayWin_Odds,Result
8/31/2019,Newcastle,Watford,0,1,A,0,0,D,2,2,12,7,1,3,0,0,2.5,3.25,2.87,2.62,3.2,2.8,0
9/21/2019,Newcastle,Brighton,1,1,D,1,1,D,5,3,5,11,2,3,0,0,2.5,3.2,3,2.45,3.2,3,0
10/6/2019,Newcastle,Man United,0,0,D,0,0,D,4,3,12,8,2,1,0,0,4.5,3.5,1.85,4.4,3.4,1.88,1
10/27/2019,Newcastle,Wolves,1,0,H,0,0,D,2,3,12,10,3,3,0,0,3,3.1,2.55,3,3.1,2.55,0
11/9/2019,Newcastle,Bournemouth,1,1,D,1,0,H,2,5,8,15,2,2,1,0,2.55,3.25,2.8,2.6,3.2,2.8,1
11/30/2019,Newcastle,Man City,2,1,H,1,1,D,9,3,10,5,2,0,0,0,13,8,1.16,15,7.5,1.18,0
12/8/2019,Newcastle,Southampton,2,2,D,1,1,D,3,9,4,6,1,2,0,0,2.5,3.2,2.9,2.6,3.2,2.8,1
12/21/2019,Newcastle,Crystal Palace,2,1,H,0,0,D,6,4,11,17,1,3,0,0,2.37,3.1,3.25,2.45,3,3.25,1
12/28/2019,Newcastle,Everton,1,0,H,0,0,D,3,4,12,11,2,0,0,0,3.6,3.4,2.05,3.5,3.3,2.15,0
1/1/2020,Newcastle,Leicester,1,2,A,0,1,A,5,9,13,13,2,2,0,0,5,3.8,1.66,5.25,3.9,1.65,0
1/18/2020,Newcastle,Chelsea,0,3,A,0,2,A,2,10,8,12,1,1,0,0,6,4.5,1.5,6,4.5,1.52,1
2/1/2020,Newcastle,Norwich,1,0,H,0,0,D,2,4,9,14,1,1,0,0,2.2,3.4,3.3,2.2,3.4,3.3,0
2/29/2020,Newcastle,Burnley,0,0,D,0,0,D,5,4,10,15,2,1,0,0,2.62,3.1,2.9,2.62,3.1,2.88,0
6/21/2020,Newcastle,Sheffield United,0,0,D,0,0,D,4,1,11,9,4,3,0,0,3.3,3.1,2.37,3.3,3.1,2.35,1
6/24/2020,Newcastle,Aston Villa,3,0,H,0,0,D,8,1,9,10,2,0,0,1,2.3,3.3,3.2,2.3,3.3,3.2,0
7/5/2020,Newcastle,West Ham,1,1,D,0,0,D,3,2,15,13,2,2,0,0,2.6,3.3,2.75,2.62,3.3,2.7,0
7/15/2020,Newcastle,Tottenham,2,2,D,1,1,D,4,7,9,11,0,0,0,0,4.6,3.8,1.75,4.5,3.75,1.78,0
7/26/2020,Newcastle,Liverpool,1,3,A,0,1,A,6,5,6,13,2,3,0,0,7.5,5.25,1.36,8,5,1.38,0
