Date,HomeTeam,AwayTeam,FT_HomeGoals,FT_AwayGoals,FT_Result,HT_HomeGoals,HT_AwayGoals,HT_Result,HomeShotsonTarget,AwayShotsonTarget,HomeFouls,AwayFouls,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,Bet365_HomeWin_Odds,Bet365_Draw_Odds,Bet365_AwayWin_Odds,WilliamHill_HomeWin_Odds,WilliamHill_HomeDraw_Odds,WilliamHill_AwayWin_Odds,Result
8/27/2018,Man United,Tottenham,1,2,A,1,2,A,2,5,11,12,2,2,0,0,2.62,3.3,2.9,2.5,3.4,2.7,0
9/2/2018,Watford,Tottenham,0,3,A,0,0,D,5,5,11,16,2,4,0,0,5.5,4.2,1.64,5,4.2,1.62,1
9/22/2018,Brighton,Tottenham,2,1,H,0,0,D,3,2,9,8,2,1,0,0,5,4,1.75,4.4,3.8,1.75,0
9/29/2018,Huddersfield,Tottenham,1,2,A,0,1,A,4,7,15,9,2,1,0,0,8.5,4.5,1.44,7,4.4,1.47,0
10/20/2018,West Ham,Tottenham,0,2,A,0,2,A,5,6,17,16,2,2,0,0,4.1,3.9,1.9,3.8,3.8,1.91,0
11/3/2018,Wolves,Tottenham,0,1,A,0,1,A,4,2,8,10,3,0,0,0,3.1,3.4,2.45,2.9,3.3,2.5,0
11/10/2018,Crystal Palace,Tottenham,2,3,A,0,2,A,7,8,11,8,1,2,0,0,4.5,3.75,1.85,4.33,3.6,1.83,0
12/2/2018,Arsenal,Tottenham,0,1,A,0,0,D,4,2,12,9,1,1,0,0,2.62,3.6,2.75,2.55,3.5,2.62,1
12/8/2018,Leicester,Tottenham,4,2,H,1,2,A,7,6,15,17,3,3,0,1,3.8,3.75,2,3.75,3.5,2,0
12/23/2018,Everton,Tottenham,0,2,A,0,1,A,3,2,12,7,3,1,0,0,3.25,3.5,2.3,3.1,3.4,2.3,0
1/1/2019,Cardiff,Tottenham,2,6,A,1,3,A,3,8,13,9,0,2,0,0,7.5,4.5,1.5,7,4.4,1.47,0
1/20/2019,Fulham,Tottenham,0,3,A,0,3,A,3,4,6,6,1,0,0,0,5.25,3.8,1.75,5.5,3.6,1.73,0
2/23/2019,Burnley,Tottenham,1,2,A,1,0,H,4,5,10,8,2,3,0,0,5.75,3.8,1.7,5.25,3.8,1.67,1
2/27/2019,Chelsea,Tottenham,2,1,H,0,0,D,4,6,9,12,1,3,0,0,2.3,3.5,3.25,2.25,3.4,3.2,1
3/9/2019,Southampton,Tottenham,2,0,H,0,0,D,1,0,7,14,1,1,0,0,4.5,3.8,1.85,4.2,3.7,1.85,1
3/31/2019,Liverpool,Tottenham,2,1,H,0,1,A,4,5,16,9,4,2,0,0,1.61,4.2,6,1.6,4,5.8,1
4/20/2019,Man City,Tottenham,2,1,H,1,0,H,3,2,5,8,0,1,0,0,1.3,6,11,1.27,6,11,1
5/4/2019,Bournemouth,Tottenham,1,0,H,1,0,H,4,4,11,11,1,2,0,0,4,4,1.9,4,3.7,1.88,1
8/13/2017,Newcastle,Tottenham,1,0,H,0,0,D,6,5,11,12,1,5,0,2,5.5,4,1.7,5,3.75,1.7,0
9/9/2017,Everton,Tottenham,0,2,A,0,0,D,3,6,6,10,1,2,1,0,3.8,3.5,2.1,3.5,3.25,2.15,0
9/23/2017,West Ham,Tottenham,0,3,A,0,2,A,1,6,14,14,3,1,0,0,6,4.33,1.6,5.5,4,1.6,0
9/30/2017,Huddersfield,Tottenham,2,3,A,0,2,A,4,5,10,20,4,2,0,1,8.5,4.75,1.36,8,4.5,1.4,0
10/28/2017,Man United,Tottenham,0,4,A,0,3,A,1,7,7,4,1,1,0,0,2.14,3.39,3.79,2.15,3.4,3.6,1
11/18/2017,Arsenal,Tottenham,1,0,H,0,0,D,3,4,12,14,1,0,0,0,2.5,3.6,2.89,2.5,3.5,2.8,1
11/28/2017,Leicester,Tottenham,2,0,H,2,0,H,5,4,11,16,4,1,0,0,5,3.89,1.75,4.8,3.75,1.75,1
12/2/2017,Watford,Tottenham,2,1,H,2,0,H,4,6,7,10,1,2,0,0,5,4,1.72,5,3.8,1.73,0
12/16/2017,Man City,Tottenham,1,1,D,1,1,D,2,2,16,8,4,1,0,1,1.55,4.59,6,1.53,4.5,6,1
12/23/2017,Burnley,Tottenham,4,1,H,1,0,H,11,2,13,20,2,4,0,0,7,4.2,1.55,7,3.8,1.57,0
1/2/2018,Swansea,Tottenham,0,3,A,0,1,A,2,8,10,10,1,2,0,0,12,4.75,1.3,11,5.5,1.3,0
1/21/2018,Southampton,Tottenham,0,2,A,0,1,A,1,5,12,9,2,2,0,0,5.75,4.09,1.64,5.5,4,1.65,0
2/4/2018,Liverpool,Tottenham,1,1,D,1,1,D,4,2,8,15,2,3,0,0,2.1,3.75,3.6,2.1,3.6,3.5,0
2/25/2018,Crystal Palace,Tottenham,2,2,D,1,0,H,3,6,15,9,3,1,0,0,7.5,4.5,1.5,6.5,4.2,1.5,0
3/11/2018,Bournemouth,Tottenham,0,1,A,0,0,D,3,4,12,5,0,1,0,0,6.5,4.5,1.55,6,4.5,1.53,0
4/1/2018,Chelsea,Tottenham,1,4,A,1,1,D,3,8,10,7,1,1,0,0,2.29,3.29,3.1,2.3,3.2,3.1,0
4/7/2018,Stoke,Tottenham,1,3,A,1,1,D,4,7,4,11,0,1,0,0,11,5.5,1.33,11,5,1.33,0
4/17/2018,Brighton,Tottenham,1,2,A,0,0,D,4,4,19,8,4,3,0,0,6.5,4.33,1.55,6.5,4.33,1.53,0
5/5/2018,West Brom,Tottenham,1,1,D,0,0,D,5,6,6,5,1,0,0,0,8,4.75,1.44,8.5,4.8,1.4,1
8/13/2016,Everton,Tottenham,1,0,H,0,0,D,1,5,13,12,4,1,0,0,3.2,3.4,2.4,3.1,3.1,2.4,0
9/10/2016,Stoke,Tottenham,1,1,D,1,0,H,6,4,10,14,0,0,0,0,4.6,3.75,1.85,4.8,3.2,1.85,0
9/24/2016,Middlesbrough,Tottenham,0,4,A,0,1,A,2,8,13,18,3,2,0,0,3.75,3.5,2.1,4,3.4,2,0
10/15/2016,West Brom,Tottenham,1,2,A,0,2,A,2,5,14,9,2,1,0,0,5.5,3.8,1.73,5.5,3.4,1.75,0
10/22/2016,Bournemouth,Tottenham,1,1,D,0,0,D,4,8,14,10,2,2,0,0,4.2,3.6,1.95,4,3.4,2,0
11/6/2016,Arsenal,Tottenham,0,0,D,0,0,D,1,4,10,15,2,4,0,0,1.95,3.6,4.2,2,3.2,4.33,0
11/26/2016,Chelsea,Tottenham,1,1,D,1,0,H,2,3,11,17,1,2,0,0,1.75,3.8,5.25,1.8,3.5,5,1
12/11/2016,Man United,Tottenham,2,1,H,1,1,D,5,6,13,16,2,1,0,0,2.2,3.4,3.6,2.25,3.2,3.5,1
12/28/2016,Southampton,Tottenham,1,0,H,1,0,H,5,4,19,17,3,3,0,0,2.8,3.25,2.6,2.9,3.2,2.6,0
1/1/2017,Watford,Tottenham,1,4,A,1,1,D,2,5,7,16,1,4,1,0,5.5,3.75,1.62,5.5,3.6,1.73,0
