Date,HomeTeam,AwayTeam,FT_HomeGoals,FT_AwayGoals,FT_Result,HT_HomeGoals,HT_AwayGoals,HT_Result,HomeShotsonTarget,AwayShotsonTarget,HomeFouls,AwayFouls,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,Bet365_HomeWin_Odds,Bet365_Draw_Odds,Bet365_AwayWin_Odds,WilliamHill_HomeWin_Odds,WilliamHill_HomeDraw_Odds,WilliamHill_AwayWin_Odds,Result
9/1/2019,Arsenal,Tottenham,2,2,D,2,1,H,10,2,14,4,1,0,0,0,2.37,3.6,2.8,2.35,3.6,2.9,0
9/21/2019,Leicester,Tottenham,2,2,D,1,2,A,8,9,13,19,3,5,0,0,2.87,3.5,2.37,2.8,3.5,2.45,1
10/5/2019,Brighton,Tottenham,2,1,H,0,1,A,7,4,16,13,1,2,0,0,3.9,3.6,1.9,3.9,3.6,1.95,1
10/27/2019,Liverpool,Tottenham,3,0,H,2,0,H,6,3,11,7,2,1,0,0,1.5,4.33,6.5,1.52,4.4,6,1
11/3/2019,Everton,Tottenham,2,1,H,0,1,A,13,4,9,11,3,3,0,0,2.7,3.4,2.6,2.7,3.5,2.55,0
11/23/2019,West Ham,Tottenham,1,1,D,0,0,D,3,2,9,8,1,2,0,1,4.2,4.33,1.7,4.2,4.2,1.75,0
12/4/2019,Man United,Tottenham,2,3,A,0,2,A,4,6,12,14,3,2,0,0,2.75,3.4,2.55,2.7,3.4,2.6,1
12/15/2019,Wolves,Tottenham,2,1,H,1,1,D,7,5,9,9,0,1,0,0,3.25,3.4,2.25,3.2,3.4,2.25,0
12/28/2019,Norwich,Tottenham,1,2,A,0,1,A,5,5,14,10,4,4,0,0,5,4,1.66,5,4,1.67,0
1/1/2020,Southampton,Tottenham,2,2,D,1,0,H,2,7,12,10,3,3,0,0,3.3,3.5,2.1,3.3,3.5,2.15,1
1/18/2020,Watford,Tottenham,1,0,H,1,0,H,3,5,21,8,3,4,0,0,3.25,3.5,2.2,3.1,3.5,2.25,0
2/16/2020,Aston Villa,Tottenham,0,0,D,0,0,D,2,5,13,13,2,3,0,0,4,3.8,1.85,4,3.75,1.88,0
2/22/2020,Chelsea,Tottenham,2,3,A,1,2,A,4,10,12,10,2,0,0,0,1.72,4,4.5,1.73,3.9,4.75,1
3/7/2020,Burnley,Tottenham,2,1,H,1,0,H,7,3,14,14,1,2,0,0,2.7,3.3,2.62,2.7,3.25,2.7,0
7/2/2020,Sheffield United,Tottenham,1,1,D,1,0,H,8,2,16,11,5,4,0,0,4.2,3.4,1.95,4.2,3.4,1.95,1
7/9/2020,Bournemouth,Tottenham,3,1,H,1,0,H,5,2,13,13,2,0,0,0,5.25,3.8,1.66,5,4,1.67,0
7/15/2020,Newcastle,Tottenham,0,0,D,0,0,D,2,0,11,14,3,2,0,0,4.6,3.8,1.75,4.5,3.75,1.78,0
7/26/2020,Crystal Palace,Tottenham,1,3,A,0,1,A,6,5,6,13,2,3,0,0,6,4.2,1.55,6.5,4.2,1.52,0
