Date,HomeTeam,AwayTeam,FT_HomeGoals,FT_AwayGoals,FT_Result,HT_HomeGoals,HT_AwayGoals,HT_Result,HomeShotsonTarget,AwayShotsonTarget,HomeFouls,AwayFouls,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,Bet365_HomeWin_Odds,Bet365_Draw_Odds,Bet365_AwayWin_Odds,WilliamHill_HomeWin_Odds,WilliamHill_HomeDraw_Odds,WilliamHill_AwayWin_Odds,Result
9/15/2018,Tottenham,Liverpool,3,1,H,1,0,H,11,3,9,5,0,0,0,0,3,3.6,2.4,2.88,3.5,2.3,0
10/6/2018,Tottenham,Cardiff,1,2,A,0,1,A,3,10,17,16,0,0,0,0,1.22,7,15,1.25,6,11,1
10/29/2018,Tottenham,Man City,1,0,H,1,0,H,7,6,7,11,2,1,0,1,4.75,4.1,1.75,4.4,4.2,1.73,0
11/24/2018,Tottenham,Chelsea,0,1,A,0,1,A,1,6,13,13,2,2,0,0,2.8,3.5,2.6,2.8,3.4,2.5,1
12/5/2018,Tottenham,Southampton,3,1,H,2,0,H,9,2,19,12,0,3,0,0,1.36,5.25,9.5,1.36,4.8,9,1
12/15/2018,Tottenham,Burnley,3,1,H,1,0,H,8,5,7,5,0,0,0,0,1.18,8,19,1.15,8,15,1
12/26/2018,Tottenham,Bournemouth,1,0,H,0,0,D,3,0,7,8,0,2,0,0,1.36,5.5,9,1.33,5.25,9,1
12/29/2018,Tottenham,Wolves,5,0,H,3,0,H,7,4,4,8,2,1,0,0,1.33,5,8.5,1.35,5,9.5,0
1/13/2019,Tottenham,Man United,1,3,A,1,0,H,3,4,7,7,3,2,0,0,2.05,3.7,3.75,2,3.6,3.7,0
1/30/2019,Tottenham,Watford,0,1,A,0,1,A,11,8,8,8,1,2,0,0,1.66,4,5.75,1.62,3.9,5.8,1
2/2/2019,Tottenham,Newcastle,2,1,H,0,1,A,3,1,6,9,0,4,0,0,1.44,4.5,9,1.42,4.2,9,1
2/10/2019,Tottenham,Leicester,1,0,H,0,0,D,4,2,6,6,0,1,0,0,1.7,3.9,5.5,1.7,3.75,5.5,1
3/2/2019,Tottenham,Arsenal,3,1,H,1,0,H,5,9,11,4,3,1,0,0,2.05,3.7,3.75,2,3.6,3.7,0
4/3/2019,Tottenham,Crystal Palace,1,1,D,0,1,A,3,4,15,14,3,2,0,1,1.45,5,7.5,1.44,4.6,7,1
4/13/2019,Tottenham,Huddersfield,2,0,H,0,0,D,10,1,8,5,1,0,0,0,1.22,7,15,1.2,6.5,15,1
4/23/2019,Tottenham,Brighton,4,0,H,2,0,H,5,1,10,12,2,2,0,0,1.28,6,13,1.27,5.5,12,1
4/27/2019,Tottenham,West Ham,1,0,H,0,0,D,5,1,7,13,1,2,0,0,1.4,5.5,7.5,1.42,5,7,0
5/12/2019,Tottenham,Everton,0,1,A,0,0,D,4,7,3,8,0,2,0,0,2.2,3.5,3.5,2.1,3.5,3.5,0
8/20/2017,Tottenham,Chelsea,2,2,D,1,0,H,3,9,10,13,0,2,0,0,2.1,3.6,3.75,2.1,3.3,3.6,0
8/27/2017,Tottenham,Burnley,1,2,A,0,1,A,6,2,14,21,3,3,0,0,1.25,6.5,15,1.25,5.5,13,0
9/16/2017,Tottenham,Swansea,1,1,D,0,0,D,5,3,9,9,0,0,0,0,1.22,7,15,1.22,6,13,0
10/14/2017,Tottenham,Bournemouth,0,0,D,0,0,D,8,0,11,9,1,3,0,0,1.2,8,15,1.2,7.5,13,1
10/22/2017,Tottenham,Liverpool,1,0,H,0,0,D,6,1,9,7,1,3,0,0,2.25,3.5,3.39,2.15,3.4,3.5,1
11/5/2017,Tottenham,Crystal Palace,4,1,H,3,1,H,6,7,2,8,0,1,0,0,1.28,6,12,1.29,5.5,12,1
11/25/2017,Tottenham,West Brom,1,0,H,0,0,D,2,3,6,7,0,2,0,0,1.25,6,16,1.25,5.5,15,0
12/9/2017,Tottenham,Stoke,1,1,D,0,1,A,5,2,10,13,1,4,0,0,1.28,6.5,11,1.25,6,11,1
12/13/2017,Tottenham,Brighton,5,1,H,1,0,H,11,3,12,9,1,0,0,0,1.25,6.5,15,1.25,6,13,1
12/26/2017,Tottenham,Southampton,2,0,H,1,0,H,8,4,5,10,1,1,0,0,1.36,5.25,10,1.33,5,11,1
1/4/2018,Tottenham,West Ham,5,2,H,2,0,H,7,6,8,15,0,2,0,0,1.25,6,10,1.29,6,10,0
1/13/2018,Tottenham,Everton,1,1,D,0,0,D,8,1,10,6,0,2,0,0,1.28,6,13,1.29,5.5,12,1
1/31/2018,Tottenham,Man United,4,0,H,1,0,H,10,0,11,15,0,2,0,0,2.35,3.29,3.39,2.3,3.3,3.3,1
2/10/2018,Tottenham,Arsenal,2,0,H,2,0,H,6,3,10,13,2,2,0,0,2,3.6,3.5,2,3.75,3.4,1
3/3/2018,Tottenham,Huddersfield,1,0,H,0,0,D,6,1,13,9,2,1,0,0,1.19,7.5,17,1.2,7,17,1
4/14/2018,Tottenham,Man City,2,0,H,1,0,H,7,3,6,8,1,1,0,0,2.62,3.6,2.7,2.7,3.3,2.7,0
4/30/2018,Tottenham,Watford,1,3,A,1,2,A,3,6,11,12,3,4,0,0,1.16,8.5,21,1.17,7,21,1
5/9/2018,Tottenham,Newcastle,2,0,H,1,0,H,3,5,11,10,1,0,0,0,1.18,8.5,17,1.17,8,17,1
5/13/2018,Tottenham,Leicester,1,0,H,0,0,D,7,3,10,8,2,3,0,0,1.33,6,9,1.3,6,9,1
8/20/2016,Tottenham,Crystal Palace,5,4,H,1,2,A,6,9,9,13,1,2,0,0,1.45,4.75,8,1.5,3.6,8.5,1
