Date,HomeTeam,AwayTeam,FT_HomeGoals,FT_AwayGoals,FT_Result,HT_HomeGoals,HT_AwayGoals,HT_Result,HomeShotsonTarget,AwayShotsonTarget,HomeFouls,AwayFouls,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,Bet365_HomeWin_Odds,Bet365_Draw_Odds,Bet365_AwayWin_Odds,WilliamHill_HomeWin_Odds,WilliamHill_HomeDraw_Odds,WilliamHill_AwayWin_Odds,Result
8/25/2019,Tottenham,Newcastle,3,1,H,0,1,A,7,4,13,9,1,0,0,0,1.2,6.5,14,1.24,6,13,0
9/14/2019,Tottenham,Crystal Palace,0,1,A,0,1,A,2,3,10,5,2,2,0,0,1.36,5.25,8,1.38,4.8,8.5,1
9/28/2019,Tottenham,Southampton,4,0,H,4,0,H,5,6,19,11,4,2,0,0,1.4,4.75,8,1.42,4.5,8,1
10/19/2019,Tottenham,Watford,2,1,H,2,1,H,4,6,5,16,0,2,1,0,1.4,5,7.5,1.4,4.8,8,0
11/9/2019,Tottenham,Sheffield United,1,1,D,0,1,A,2,2,5,9,4,3,0,0,1.57,4,6,1.55,4.2,6,0
11/30/2019,Tottenham,Bournemouth,1,1,D,0,0,D,5,4,6,9,2,2,0,0,1.36,5.5,7.5,1.36,5.25,8,1
12/7/2019,Tottenham,Burnley,3,2,H,1,0,H,5,6,10,12,0,2,0,0,1.4,4.75,8,1.38,4.75,8.5,1
12/22/2019,Tottenham,Chelsea,5,0,H,3,0,H,7,1,12,8,1,1,0,0,2.37,3.75,2.75,2.35,3.6,2.88,0
12/26/2019,Tottenham,Brighton,0,2,A,0,2,A,1,3,9,11,4,3,1,0,1.53,4.33,6,1.55,4.33,5.8,1
1/11/2020,Tottenham,Liverpool,2,1,H,0,1,A,5,5,10,9,4,2,0,0,4.5,4.33,1.66,4.6,4.2,1.7,0
1/22/2020,Tottenham,Norwich,0,1,A,0,1,A,4,7,4,8,0,2,0,0,1.4,5,7.5,1.4,4.8,8,1
2/2/2020,Tottenham,Man City,2,1,H,1,0,H,3,2,12,7,0,1,0,0,5.5,4.6,1.53,5.8,4.33,1.55,1
3/1/2020,Tottenham,Wolves,2,0,H,0,0,D,3,5,8,14,2,3,0,1,2.45,3.2,3,2.45,3.1,3.1,0
6/19/2020,Tottenham,Man United,2,3,A,2,1,H,5,4,12,14,3,2,0,0,3,3.4,2.37,3,3.4,2.38,0
6/23/2020,Tottenham,West Ham,1,1,D,1,0,H,3,6,17,18,0,1,0,0,1.66,4,5,1.65,3.9,5.25,1
7/6/2020,Tottenham,Everton,2,0,H,0,0,D,4,2,12,7,2,2,0,0,2.1,3.5,3.4,2.1,3.6,3.4,1
7/12/2020,Tottenham,Arsenal,1,0,H,1,0,H,2,3,14,18,3,2,0,0,2.62,3.4,2.7,2.6,3.4,2.7,1
7/19/2020,Tottenham,Leicester,2,1,H,1,1,D,9,4,16,11,5,3,0,0,2.25,3.3,3.25,2.3,3.4,3.1,1
