Date,HomeTeam,AwayTeam,FT_HomeGoals,FT_AwayGoals,FT_Result,HT_HomeGoals,HT_AwayGoals,HT_Result,HomeShotsonTarget,AwayShotsonTarget,HomeFouls,AwayFouls,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,Bet365_HomeWin_Odds,Bet365_Draw_Odds,Bet365_AwayWin_Odds,WilliamHill_HomeWin_Odds,WilliamHill_HomeDraw_Odds,WilliamHill_AwayWin_Odds,Result
8/25/2018,Arsenal,West Ham,4,0,H,2,0,H,8,2,14,9,1,2,0,0,1.36,5.5,9,1.36,5,7.5,1
9/16/2018,Everton,West Ham,3,1,H,1,1,D,10,5,16,13,1,3,0,0,2,3.75,3.9,2.05,3.6,3.4,0
10/5/2018,Brighton,West Ham,1,3,A,1,2,A,4,4,15,12,2,5,0,0,2.7,3.3,2.87,2.62,3.2,2.8,1
10/27/2018,Leicester,West Ham,1,0,H,1,0,H,4,4,12,8,3,2,0,0,2.1,3.5,3.8,2.15,3.4,3.5,0
11/10/2018,Huddersfield,West Ham,1,1,D,0,1,A,7,3,17,5,1,1,0,1,3.4,3.25,2.35,3.3,3.2,2.3,0
12/1/2018,Newcastle,West Ham,1,1,D,1,0,H,7,5,9,8,1,1,0,0,2.5,3.3,3.1,2.45,3.25,3,0
12/15/2018,Fulham,West Ham,0,3,A,0,1,A,4,4,10,10,3,3,0,0,2.9,3.6,2.5,2.9,3.5,2.38,0
12/27/2018,Southampton,West Ham,0,2,A,0,2,A,4,3,14,10,2,1,0,0,2.3,3.5,3.3,2.25,3.4,3.2,0
12/30/2018,Burnley,West Ham,1,2,A,0,0,D,5,5,10,3,2,0,0,0,3.3,3.2,2.25,3.25,3.4,2.25,1
1/19/2019,Bournemouth,West Ham,2,0,H,2,0,H,5,4,15,11,1,4,0,0,2.37,3.7,3,2.3,3.5,3,1
1/29/2019,Wolves,West Ham,2,0,H,0,0,D,4,1,6,10,0,1,0,0,2.1,3.5,3.75,2.05,3.4,3.75,1
2/9/2019,Crystal Palace,West Ham,3,0,H,0,0,D,9,0,8,10,4,1,0,0,2.1,3.5,3.75,2.15,3.4,3.6,0
2/27/2019,Man City,West Ham,1,1,D,0,1,A,5,4,12,9,3,0,0,0,1.16,9,19,1.14,8,19,1
3/9/2019,Cardiff,West Ham,1,0,H,0,0,D,7,1,2,6,0,2,0,0,3.6,3.5,2.15,3.4,3.4,2.15,1
4/8/2019,Chelsea,West Ham,2,0,H,1,0,H,7,2,7,12,2,1,0,0,1.33,5.75,9.5,1.3,5.5,10,1
4/13/2019,Man United,West Ham,2,0,H,1,0,H,7,2,8,7,2,1,0,0,1.4,5.25,8.5,1.38,5,8,1
4/27/2019,Tottenham,West Ham,2,1,H,1,0,H,4,4,14,5,1,1,0,0,1.4,5.5,7.5,1.42,5,7,0
5/12/2019,Watford,West Ham,0,1,A,0,0,D,4,7,3,8,0,2,0,0,2.25,3.75,3.2,2.2,3.7,3.1,0
8/13/2017,Man United,West Ham,1,4,A,0,2,A,8,9,10,10,1,0,1,0,1.3,5.75,12,1.3,5,11,1
8/19/2017,Southampton,West Ham,4,0,H,1,0,H,6,1,19,7,2,2,0,0,1.75,3.8,5.25,1.7,3.6,4.5,1
8/26/2017,Newcastle,West Ham,3,2,H,2,1,H,5,8,18,10,1,1,0,1,2.3,3.4,3.4,2.3,3.2,3.2,1
9/16/2017,West Brom,West Ham,3,0,H,1,0,H,8,3,17,11,1,3,0,0,2.38,3.25,3.4,2.3,3.1,3.3,0
10/14/2017,Burnley,West Ham,0,0,D,0,0,D,1,1,15,7,2,2,0,0,2.75,3.25,2.8,2.6,3.2,2.88,0
10/28/2017,Crystal Palace,West Ham,1,1,D,0,1,A,5,6,11,14,2,2,0,1,2.39,3.29,3.29,2.4,3.3,3.1,0
11/19/2017,Watford,West Ham,2,2,D,0,2,A,9,2,18,15,1,2,0,0,2.1,3.5,3.75,2.1,3.5,3.6,1
11/29/2017,Everton,West Ham,2,0,H,1,0,H,7,6,13,10,1,4,0,0,2.37,3.29,3.29,2.3,3.3,3.3,1
12/3/2017,Man City,West Ham,4,0,H,2,0,H,5,3,16,6,2,1,0,0,1.08,11,21,1.11,10,23,1
12/16/2017,Stoke,West Ham,2,1,H,0,1,A,8,4,5,7,2,2,0,0,2.29,3.29,3.5,2.3,3.3,3.3,0
12/26/2017,Bournemouth,West Ham,0,3,A,0,1,A,0,7,12,13,2,1,0,0,2.79,3.29,2.75,2.8,3.3,2.62,0
1/4/2018,Tottenham,West Ham,3,3,D,1,1,D,10,5,12,14,3,4,0,0,1.25,6,10,1.29,6,10,0
1/13/2018,Huddersfield,West Ham,1,1,D,0,0,D,8,1,10,6,0,2,0,0,2.62,3.1,3.1,2.7,3,3,0
2/3/2018,Brighton,West Ham,1,4,A,1,1,D,2,6,7,9,1,1,0,0,2.35,3,3.7,2.3,3,3.6,1
2/24/2018,Liverpool,West Ham,3,1,H,1,1,D,5,1,11,7,3,1,0,0,1.22,7.5,13,1.22,6,12,1
3/3/2018,Swansea,West Ham,4,1,H,1,0,H,12,4,7,7,0,2,0,0,2.6,3.25,3,2.6,3.1,3,1
4/8/2018,Chelsea,West Ham,4,1,H,2,0,H,8,2,9,14,0,3,0,0,1.28,6,12,1.29,5.5,12,0
4/22/2018,Arsenal,West Ham,1,1,D,1,0,H,6,2,7,11,0,1,0,0,1.55,4.59,6,1.57,4.5,5.5,1
5/5/2018,Leicester,West Ham,4,1,H,0,0,D,8,4,11,9,3,2,0,0,2.25,3.5,3.39,2.3,3.25,3.3,0
8/15/2016,Chelsea,West Ham,0,2,A,0,1,A,2,3,8,9,1,2,0,0,1.65,4,6,1.67,3.6,5.5,1
8/28/2016,Man City,West Ham,2,1,H,0,0,D,6,3,16,16,5,2,0,0,1.25,6,11,1.3,5.5,9.5,1
9/17/2016,West Brom,West Ham,3,1,H,2,0,H,5,2,5,10,1,3,0,0,2.8,3.2,2.8,2.7,3.1,2.7,1
10/15/2016,Crystal Palace,West Ham,4,2,H,3,0,H,6,5,14,6,2,1,0,0,2.15,3.5,3.6,2.2,3.1,3.75,0
10/30/2016,Everton,West Ham,0,1,A,0,1,A,3,4,12,13,1,3,0,1,1.8,3.8,4.75,1.83,3.6,4.5,1
11/19/2016,Tottenham,West Ham,2,0,H,0,0,D,6,3,15,12,2,3,0,0,1.5,4.5,7.5,1.5,4.33,7,1
11/27/2016,Man United,West Ham,3,2,H,0,1,A,6,3,13,16,3,2,0,1,1.45,4.75,8,1.5,4.33,7,0
12/11/2016,Liverpool,West Ham,1,1,D,1,1,D,8,2,16,16,3,1,0,0,1.3,6,11,1.3,5.5,11,0
12/26/2016,Swansea,West Ham,2,2,D,1,2,A,3,3,7,8,2,0,0,0,2.63,3.2,2.8,2.7,3.3,2.7,0
12/31/2016,Leicester,West Ham,1,4,A,0,1,A,7,7,10,12,0,0,0,0,2.1,3.6,3.7,2.1,3.4,3.75,1
1/21/2017,Middlesbrough,West Ham,1,0,H,1,0,H,4,5,11,8,5,3,0,0,2.5,3.2,3.25,2.5,3.1,3.2,0
2/4/2017,Southampton,West Ham,1,3,A,1,2,A,2,5,7,14,2,1,0,0,1.85,3.75,4.5,1.83,3.6,4.5,0
2/25/2017,Watford,West Ham,1,3,A,1,2,A,7,4,12,15,0,2,0,0,2.63,3.3,2.9,2.62,3.2,2.9,0
3/11/2017,Bournemouth,West Ham,1,1,D,1,0,H,1,2,18,14,4,1,0,1,2.6,3.5,2.8,2.62,3.3,2.8,1
4/1/2017,Hull,West Ham,3,2,H,1,1,D,9,7,20,15,4,2,0,0,2.45,3.4,3.1,2.5,3.3,3,1
4/5/2017,Arsenal,West Ham,2,1,H,0,1,A,3,4,16,9,2,2,0,0,1.4,5.25,8,1.4,5,8,1
4/15/2017,Sunderland,West Ham,3,0,H,0,0,D,8,2,11,5,2,2,0,0,3.3,3.25,2.2,3.1,3.4,2.25,0
4/29/2017,Stoke,West Ham,2,2,D,1,1,D,4,3,14,10,1,0,0,1,2,3.5,3.6,2.15,3.4,3.3,0
5/21/2017,Burnley,West Ham,0,0,D,0,0,D,4,4,12,3,1,0,0,0,2.45,3.5,3,2.38,3.4,2.9,0
8/9/2015,Arsenal,West Ham,1,2,A,1,1,D,1,4,11,14,2,2,0,0,1.29,6,12,1.3,5,11,0
8/29/2015,Liverpool,West Ham,0,2,A,0,1,A,6,4,12,9,1,3,0,0,1.36,5.5,9,1.36,4.5,9.5,0
9/19/2015,Man City,West Ham,0,3,A,0,2,A,1,5,17,11,3,1,1,1,1.29,6.5,11,1.29,5,12,0
10/3/2015,Sunderland,West Ham,1,2,A,1,2,A,8,3,10,7,1,2,0,0,3.2,3.4,2.4,2.9,3.4,2.38,0
10/17/2015,Crystal Palace,West Ham,2,2,D,2,1,H,3,6,14,11,2,4,1,0,2,3.6,4,2.05,3.3,3.75,0
10/31/2015,Watford,West Ham,1,3,A,1,1,D,1,4,9,11,1,3,1,0,2.6,3.4,2.9,2.62,3.1,2.8,1
11/22/2015,Tottenham,West Ham,2,0,H,1,0,H,5,3,16,12,3,0,0,1,1.57,4.2,6.5,1.6,3.75,6,1
12/5/2015,Man United,West Ham,4,1,H,2,0,H,12,4,13,9,2,2,0,0,1.44,4.5,9,1.44,3.8,9,0
12/20/2015,Swansea,West Ham,0,0,D,0,0,D,1,2,9,13,1,0,0,0,2.1,3.4,3.9,2.15,3.25,3.5,0
12/26/2015,Aston Villa,West Ham,0,0,D,0,0,D,2,2,6,9,0,1,0,0,2.63,3.25,2.75,2.7,3.1,2.7,0
1/12/2016,Bournemouth,West Ham,1,1,D,0,1,A,8,4,14,13,3,3,0,0,2,3.6,4,2,3.4,3.8,0
