Date,HomeTeam,AwayTeam,FT_HomeGoals,FT_AwayGoals,FT_Result,HT_HomeGoals,HT_AwayGoals,HT_Result,HomeShotsonTarget,AwayShotsonTarget,HomeFouls,AwayFouls,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,Bet365_HomeWin_Odds,Bet365_Draw_Odds,Bet365_AwayWin_Odds,WilliamHill_HomeWin_Odds,WilliamHill_HomeDraw_Odds,WilliamHill_AwayWin_Odds,Result
8/24/2019,Watford,West Ham,1,1,D,0,0,D,4,3,11,10,0,2,0,0,2.05,3.5,3.5,2.1,3.5,3.5,0
9/16/2019,Aston Villa,West Ham,1,3,A,1,1,D,3,10,12,11,1,1,0,0,2.62,3.5,2.6,2.6,3.5,2.62,0
9/28/2019,Bournemouth,West Ham,0,0,D,0,0,D,5,1,13,12,2,1,0,1,2.5,3.5,2.75,2.45,3.5,2.8,0
10/19/2019,Everton,West Ham,2,2,D,1,1,D,5,6,7,8,3,1,0,0,1.95,3.75,3.75,1.95,3.6,3.8,1
11/9/2019,Burnley,West Ham,2,0,H,1,0,H,10,4,15,15,2,2,0,0,2.25,3.5,3.1,2.25,3.5,3.1,1
11/30/2019,Chelsea,West Ham,3,0,H,2,0,H,12,4,17,10,2,1,0,0,1.28,6,9,1.29,5.8,10,0
12/4/2019,Wolves,West Ham,0,1,A,0,0,D,6,4,0,16,0,3,0,0,1.75,3.7,4.75,1.75,3.7,4.8,1
12/14/2019,Southampton,West Ham,2,0,H,1,0,H,7,3,8,9,1,2,0,0,1.9,3.8,3.8,1.91,3.8,3.75,0
12/26/2019,Crystal Palace,West Ham,0,1,A,0,1,A,2,4,9,14,1,3,0,0,2.3,3.4,3.1,2.3,3.4,3.1,1
1/10/2020,Sheffield United,West Ham,2,1,H,0,0,D,4,2,5,10,0,2,0,0,1.95,3.4,4,2,3.4,3.9,1
1/22/2020,Leicester,West Ham,1,0,H,0,0,D,3,2,11,6,1,0,0,0,1.53,4.33,6,1.52,4.4,6,1
2/19/2020,Man City,West Ham,4,1,H,2,0,H,8,2,10,19,1,1,0,0,1.12,9.5,17,1.12,9,19,1
2/24/2020,Liverpool,West Ham,2,0,H,1,0,H,7,0,5,7,0,1,0,0,1.16,8,15,1.17,7.5,17,1
3/7/2020,Arsenal,West Ham,3,2,H,1,1,D,7,4,4,10,0,3,0,0,1.57,4.4,5.5,1.55,4.33,5.8,1
6/23/2020,Tottenham,West Ham,1,0,H,0,0,D,2,6,11,9,1,2,0,0,1.66,4,5,1.65,3.9,5.25,1
7/5/2020,Newcastle,West Ham,2,0,H,0,0,D,4,2,12,7,2,2,0,0,2.6,3.3,2.75,2.62,3.3,2.7,0
7/11/2020,Norwich,West Ham,2,2,D,1,1,D,4,7,9,11,0,0,0,0,3.75,3.75,1.95,3.7,3.6,2,0
7/22/2020,Man United,West Ham,0,4,A,0,2,A,2,7,9,8,1,0,0,0,1.22,6.5,11,1.24,6.5,12,0
