Date,HomeTeam,AwayTeam,FT_HomeGoals,FT_AwayGoals,FT_Result,HT_HomeGoals,HT_AwayGoals,HT_Result,HomeShotsonTarget,AwayShotsonTarget,HomeFouls,AwayFouls,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,Bet365_HomeWin_Odds,Bet365_Draw_Odds,Bet365_AwayWin_Odds,WilliamHill_HomeWin_Odds,WilliamHill_HomeDraw_Odds,WilliamHill_AwayWin_Odds,Result
9/1/2018,West Ham,Wolves,1,2,A,1,0,H,5,5,14,10,6,2,0,0,2.6,3.4,2.87,2.4,3.5,2.8,0
9/23/2018,West Ham,Chelsea,0,1,A,0,0,D,3,6,10,11,2,1,0,0,6,4.5,1.57,5,4.2,1.6,0
9/29/2018,West Ham,Man United,0,0,D,0,0,D,1,6,11,9,2,1,0,0,4.5,3.8,1.85,4.2,3.7,1.85,1
10/20/2018,West Ham,Tottenham,3,1,H,2,0,H,3,4,12,12,0,1,0,0,4.1,3.9,1.9,3.8,3.8,1.91,0
11/3/2018,West Ham,Burnley,0,1,A,0,1,A,4,2,8,10,3,0,0,0,1.75,3.75,5.25,1.75,3.7,4.8,1
11/24/2018,West Ham,Man City,4,2,H,1,1,D,10,3,7,9,1,4,0,0,13,6.5,1.25,10,6.5,1.25,0
12/4/2018,West Ham,Cardiff,0,4,A,0,3,A,1,6,6,3,0,0,0,0,1.66,4,5.75,1.62,3.9,5.8,1
12/8/2018,West Ham,Crystal Palace,3,1,H,0,0,D,11,5,10,10,1,2,0,0,2.3,3.4,3.4,2.25,3.3,3.3,1
12/22/2018,West Ham,Watford,3,2,H,0,1,A,6,4,10,8,1,2,0,0,2.37,3.5,3.1,2.3,3.4,3.1,0
1/2/2019,West Ham,Brighton,0,2,A,0,1,A,7,5,9,11,3,2,0,0,1.95,3.75,4,1.91,3.6,4,0
1/12/2019,West Ham,Arsenal,2,2,D,0,0,D,6,6,9,11,0,1,0,0,3.5,4,2.05,3.4,3.8,2,1
2/4/2019,West Ham,Liverpool,1,0,H,0,0,D,3,2,7,10,0,2,0,0,8,5.25,1.4,8,5,1.38,0
2/22/2019,West Ham,Fulham,1,1,D,1,1,D,2,6,9,11,1,1,0,0,1.95,3.8,4,1.91,3.6,4,1
3/2/2019,West Ham,Newcastle,3,1,H,2,1,H,7,5,11,11,1,1,0,0,2.15,3.5,3.6,2.1,3.4,3.6,1
3/16/2019,West Ham,Huddersfield,2,0,H,2,0,H,4,2,8,14,3,4,0,0,1.55,4.2,7,1.55,4,6.5,1
3/30/2019,West Ham,Everton,4,3,H,1,2,A,5,5,7,15,0,2,0,0,2.55,3.5,2.9,2.5,3.4,2.8,0
4/20/2019,West Ham,Leicester,0,2,A,0,2,A,1,9,7,14,1,1,0,0,3.3,3.5,2.3,3.1,3.4,2.3,0
5/4/2019,West Ham,Southampton,2,2,D,1,0,H,3,5,8,9,2,0,0,0,2.3,3.75,3.1,2.3,3.6,3,1
9/11/2017,West Ham,Huddersfield,3,0,H,1,0,H,6,1,2,11,1,1,0,0,1.95,3.5,4.5,1.85,3.5,4.33,1
9/23/2017,West Ham,Tottenham,2,0,H,0,0,D,3,2,11,14,1,2,0,0,6,4.33,1.6,5.5,4,1.6,0
9/30/2017,West Ham,Swansea,2,3,A,0,2,A,4,5,10,20,4,2,0,1,1.8,3.5,4.5,1.83,3.5,4.33,1
10/20/2017,West Ham,Brighton,1,0,H,0,0,D,4,1,15,13,3,2,0,0,1.83,3.5,5.25,1.83,3.3,5,0
11/4/2017,West Ham,Liverpool,0,3,A,0,2,A,2,5,5,13,1,0,0,0,5.25,4.33,1.66,5,4.2,1.67,0
11/24/2017,West Ham,Leicester,1,4,A,0,2,A,1,7,9,13,3,0,0,0,2.7,3.39,2.75,2.75,3.2,2.75,0
12/9/2017,West Ham,Chelsea,1,1,D,1,1,D,4,2,9,12,1,1,0,0,7.5,4.5,1.5,7,4,1.5,1
12/13/2017,West Ham,Arsenal,1,0,H,1,0,H,2,2,10,10,6,1,0,0,5.25,4.2,1.66,5.5,4,1.65,0
12/23/2017,West Ham,Newcastle,0,0,D,0,0,D,0,3,9,9,1,0,0,0,2.1,3.39,3.89,2.15,3.2,3.8,0
1/2/2018,West Ham,West Brom,2,3,A,1,1,D,6,4,9,12,1,1,0,0,1.9,3.39,4.09,1.95,3.3,4.33,1
1/20/2018,West Ham,Bournemouth,2,1,H,0,1,A,5,3,12,12,3,2,0,0,2,3.6,4,2,3.5,4,0
1/30/2018,West Ham,Crystal Palace,1,1,D,0,0,D,4,3,8,7,3,1,0,0,3.1,3.25,2.54,3,3.25,2.5,0
2/10/2018,West Ham,Watford,1,1,D,1,1,D,3,3,11,15,1,3,0,0,2.5,3.29,2.79,2.5,3.3,2.8,1
3/10/2018,West Ham,Burnley,2,0,H,1,0,H,4,4,11,7,1,1,0,0,2.29,3.2,3.6,2.3,3.1,3.6,0
3/31/2018,West Ham,Southampton,0,3,A,0,0,D,4,4,13,7,2,2,0,0,2.7,3.25,2.6,2.88,3.1,2.6,1
4/16/2018,West Ham,Stoke,3,0,H,3,0,H,5,0,9,16,0,3,0,0,2,3.6,4,2,3.3,4.2,0
4/29/2018,West Ham,Man City,1,1,D,0,0,D,6,7,15,21,2,3,0,0,10,5.75,1.33,11,5,1.33,0
5/10/2018,West Ham,Man United,1,4,A,1,2,A,1,7,5,11,0,1,0,0,4.75,3.79,1.8,4.5,3.8,1.8,0
5/13/2018,West Ham,Everton,0,0,D,0,0,D,2,6,12,12,1,1,0,0,2.45,3.5,3,2.4,3.3,3.1,1
8/21/2016,West Ham,Bournemouth,3,1,H,1,0,H,4,7,10,13,0,1,0,0,1.95,3.75,4,1.91,3.2,4.33,1
9/10/2016,West Ham,Watford,1,0,H,0,0,D,2,5,15,15,3,1,0,1,1.91,3.6,4.5,1.91,3.2,4.5,0
9/25/2016,West Ham,Southampton,2,4,A,2,2,D,4,8,10,15,2,2,0,0,2.8,3.3,2.75,2.8,3.2,2.7,0
10/1/2016,West Ham,Middlesbrough,0,3,A,0,1,A,1,9,9,14,5,2,0,0,2.25,3.4,3.5,2.3,3.3,3.3,0
10/22/2016,West Ham,Sunderland,1,1,D,0,0,D,2,3,13,12,2,3,0,0,1.67,4,5.75,1.7,3.75,5.5,1
11/5/2016,West Ham,Stoke,1,0,H,0,0,D,3,2,10,13,2,5,0,0,2,3.6,4,2.05,3.3,4,0
12/3/2016,West Ham,Arsenal,1,1,D,0,0,D,2,4,11,10,4,1,0,0,4.75,4.2,1.75,4.8,3.8,1.75,0
12/14/2016,West Ham,Burnley,1,5,A,0,1,A,3,10,10,11,3,3,0,0,1.67,4,5.75,1.67,3.8,5.5,1
12/17/2016,West Ham,Hull,1,0,H,1,0,H,7,2,12,15,0,2,0,0,1.62,4.1,6,1.67,3.6,6,1
1/2/2017,West Ham,Man United,1,0,H,0,0,D,6,5,13,9,2,4,0,0,6,4,1.65,5.5,3.8,1.67,0
1/14/2017,West Ham,Crystal Palace,0,2,A,0,0,D,2,6,9,13,1,2,1,0,2.38,3.4,3.2,2.4,3.2,3.2,1
2/1/2017,West Ham,Man City,3,0,H,0,0,D,3,1,10,14,4,2,0,0,6,4.5,1.57,6,4.2,1.57,0
2/11/2017,West Ham,West Brom,0,4,A,0,3,A,1,4,11,14,3,3,0,0,2.25,3.3,3.6,2.25,3.2,3.6,0
3/6/2017,West Ham,Chelsea,2,2,D,0,1,A,4,3,7,14,3,2,0,0,6,4.1,1.62,6,4,1.62,0
3/18/2017,West Ham,Leicester,1,2,A,0,1,A,2,4,8,8,0,1,0,0,2.3,3.5,3.3,2.38,3.3,3.2,0
4/8/2017,West Ham,Swansea,2,3,A,1,3,A,7,5,10,14,0,1,0,0,2.1,3.6,3.7,2.1,3.3,3.5,1
4/22/2017,West Ham,Everton,1,0,H,1,0,H,6,1,12,12,5,1,0,0,3.3,3.6,2.25,3.4,3.1,2.25,0
5/5/2017,West Ham,Tottenham,0,0,D,0,0,D,3,0,9,15,2,3,0,0,8.5,5.25,1.4,8,5,1.4,1
5/14/2017,West Ham,Liverpool,1,0,H,0,0,D,5,5,8,9,4,2,0,0,5.25,4,1.7,5,3.9,1.7,0
8/15/2015,West Ham,Leicester,0,4,A,0,1,A,3,11,5,10,2,0,0,0,2.25,3.5,3.4,2.3,3.2,3.2,0
8/22/2015,West Ham,Bournemouth,1,2,A,0,2,A,3,6,11,12,1,3,1,0,2.38,3.4,3.2,2.4,3.1,3.1,0
9/14/2015,West Ham,Newcastle,3,4,A,0,2,A,4,7,8,11,0,0,1,0,2.25,3.5,3.4,2.25,3.1,3.4,1
9/26/2015,West Ham,Norwich,2,0,H,1,0,H,3,4,8,11,0,2,0,0,2.25,3.5,3.4,2.3,3.2,3.2,0
10/24/2015,West Ham,Chelsea,2,2,D,1,1,D,7,7,7,17,0,0,0,0,4,3.8,1.95,4,3.2,2,1
11/7/2015,West Ham,Everton,2,1,H,1,0,H,5,4,10,12,1,5,0,1,2.6,3.5,2.8,2.62,3.1,2.8,0
11/29/2015,West Ham,West Brom,1,1,D,1,1,D,5,4,11,12,1,2,0,0,2.05,3.5,4,2.05,3.3,3.75,0
12/12/2015,West Ham,Stoke,1,1,D,1,0,H,6,3,15,16,0,2,0,0,2.63,3.3,2.9,2.62,3.1,2.8,0
12/28/2015,West Ham,Southampton,0,0,D,0,0,D,9,3,7,9,1,2,0,0,3.6,3.4,2.2,3.4,3.2,2.2,1
1/2/2016,West Ham,Liverpool,2,1,H,0,1,A,5,4,6,12,1,3,0,0,4,3.5,2.05,3.8,3.4,2,1
1/23/2016,West Ham,Man City,2,0,H,1,0,H,10,2,11,8,1,1,0,0,5,4,1.73,5,3.6,1.73,0
2/2/2016,West Ham,Aston Villa,2,2,D,1,1,D,3,3,11,15,2,3,0,0,1.91,3.5,4.75,1.91,3.2,4.33,1
2/27/2016,West Ham,Sunderland,2,0,H,0,0,D,6,2,9,11,3,0,0,1,1.8,3.5,4.5,1.83,3.6,4.2,1
3/2/2016,West Ham,Tottenham,1,0,H,1,0,H,3,4,11,9,1,0,0,0,4,3.6,2,4,3.2,2,1
4/2/2016,West Ham,Crystal Palace,1,0,H,1,0,H,3,2,10,11,0,3,0,0,1.95,3.6,4.2,2,3.2,4,0
4/9/2016,West Ham,Arsenal,2,2,D,2,1,H,6,5,12,19,2,2,1,0,3.6,3.5,2,3.5,3.6,2,0
4/20/2016,West Ham,Watford,3,3,D,2,2,D,7,6,11,8,2,0,0,0,1.57,4.33,6.5,1.53,4,6.5,1
5/7/2016,West Ham,Swansea,3,1,H,2,0,H,7,4,11,17,0,2,0,1,1.44,4.75,8,1.44,4.33,7,0
5/10/2016,West Ham,Man United,1,4,A,0,2,A,7,6,11,8,3,0,0,0,3,3.5,2.45,3,3.25,2.4,1
8/31/2013,West Ham,Stoke,3,2,H,1,0,H,6,2,6,18,1,3,0,0,2,3.4,4.33,1.95,3.4,4,0
9/21/2013,West Ham,Everton,0,1,A,0,0,D,0,5,10,12,2,1,0,0,3.3,3.3,2.4,3.1,3.1,2.4,0
10/19/2013,West Ham,Man City,2,3,A,1,0,H,1,4,16,12,2,1,1,0,5.5,3.8,1.73,5.5,3.3,1.73,0
11/2/2013,West Ham,Aston Villa,1,3,A,0,1,A,2,9,7,12,1,2,0,0,2.25,3.5,3.4,2.25,3.2,3.3,0
11/23/2013,West Ham,Chelsea,0,0,D,0,0,D,4,2,8,15,0,2,0,0,6,4.2,1.62,6,3.6,1.62,0
11/30/2013,West Ham,Fulham,0,3,A,0,2,A,1,8,12,10,0,0,0,0,1.91,3.5,4.6,1.95,3.1,4.5,1
12/14/2013,West Ham,Sunderland,3,0,H,0,0,D,12,0,11,8,3,2,0,0,1.95,3.6,4.33,2,3.2,4,0
12/26/2013,West Ham,Arsenal,0,0,D,0,0,D,2,6,11,5,1,0,0,0,6.5,4,1.62,6,3.6,1.62,0
12/28/2013,West Ham,West Brom,1,3,A,0,0,D,5,8,11,6,1,1,0,0,2.38,3.4,3.25,2.4,3,3.2,0
1/18/2014,West Ham,Newcastle,3,3,D,1,2,A,6,7,10,13,3,2,0,0,3,3.4,2.5,3,3,2.5,0
2/1/2014,West Ham,Swansea,1,3,A,1,2,A,2,9,9,6,0,0,0,0,2.9,3.4,2.6,2.8,3.1,2.62,1
2/11/2014,West Ham,Norwich,2,0,H,2,0,H,4,0,7,7,1,0,1,0,2.05,3.5,4,2.05,3.2,3.75,1
2/22/2014,West Ham,Southampton,2,0,H,0,0,D,7,6,12,16,1,3,0,0,3.2,3.4,2.4,3,3,2.5,1
3/22/2014,West Ham,Man United,3,1,H,2,1,H,5,5,10,8,0,1,0,0,4.5,3.6,1.91,4.5,3.1,1.91,0
3/26/2014,West Ham,Hull,0,2,A,0,2,A,1,7,8,8,2,1,0,0,2.4,3.3,3.3,2.3,3.1,3.3,1
4/6/2014,West Ham,Liverpool,2,1,H,1,0,H,3,3,12,9,0,1,0,1,9,5,1.4,8,4.5,1.4,0
4/19/2014,West Ham,Crystal Palace,1,2,A,1,1,D,1,8,10,9,4,0,0,0,2.2,3.2,3.4,2.25,3.2,3.3,0
5/3/2014,West Ham,Tottenham,0,1,A,0,0,D,4,3,7,16,1,1,0,0,4.33,3.75,1.91,4.2,3.3,1.91,1
8/18/2012,West Ham,Aston Villa,2,0,H,2,0,H,8,3,10,16,0,4,0,1,2.2,3.3,3.4,2.3,3.2,3.2,1
9/1/2012,West Ham,Fulham,1,0,H,1,0,H,4,6,17,8,0,1,0,0,2.5,3.25,2.88,2.4,3.4,2.88,1
9/22/2012,West Ham,Sunderland,3,0,H,3,0,H,12,13,12,5,0,0,0,0,2.1,3.3,3.6,2.25,3.1,3.4,0
10/6/2012,West Ham,Arsenal,1,1,D,0,1,A,11,2,12,10,2,1,0,0,4,3.6,1.91,4,3.2,2,0
10/20/2012,West Ham,Southampton,1,3,A,1,1,D,3,14,12,7,3,2,0,0,1.83,3.75,4.2,1.91,3.4,4,1
11/3/2012,West Ham,Man City,4,1,H,0,0,D,8,4,10,12,0,2,0,0,5,3.8,1.7,4.8,3.8,1.7,0
