Date,HomeTeam,AwayTeam,FT_HomeGoals,FT_AwayGoals,FT_Result,HT_HomeGoals,HT_AwayGoals,HT_Result,HomeShotsonTarget,AwayShotsonTarget,HomeFouls,AwayFouls,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,Bet365_HomeWin_Odds,Bet365_Draw_Odds,Bet365_AwayWin_Odds,WilliamHill_HomeWin_Odds,WilliamHill_HomeDraw_Odds,WilliamHill_AwayWin_Odds,Result
8/31/2019,West Ham,Norwich,0,5,A,0,1,A,3,9,6,13,2,2,0,0,1.85,3.9,3.9,1.88,3.8,3.9,1
9/22/2019,West Ham,Man United,2,0,H,1,0,H,8,3,16,10,2,1,0,0,3.1,3.6,2.2,3.2,3.6,2.2,1
10/5/2019,West Ham,Crystal Palace,2,0,H,1,0,H,6,3,8,9,2,2,0,0,1.95,3.6,3.8,1.95,3.6,3.8,0
10/26/2019,West Ham,Sheffield United,1,2,A,0,0,D,4,4,11,7,3,2,0,0,2.1,3.5,3.5,2.1,3.4,3.6,0
11/2/2019,West Ham,Newcastle,1,1,D,1,0,H,4,4,7,10,2,2,0,0,1.75,3.8,4.5,1.78,3.75,4.5,0
11/23/2019,West Ham,Tottenham,2,3,A,0,2,A,6,9,10,7,2,1,0,0,4.2,4.33,1.7,4.2,4.2,1.75,0
12/9/2019,West Ham,Arsenal,2,3,A,0,2,A,4,6,12,14,3,2,0,0,3.3,4,2,3.4,4.2,1.95,0
12/28/2019,West Ham,Leicester,1,3,A,1,0,H,4,3,12,6,2,0,0,0,4,3.9,1.83,4,3.8,1.85,0
1/1/2020,West Ham,Bournemouth,1,2,A,1,1,D,4,8,16,4,4,1,0,0,1.9,3.75,3.8,1.91,3.8,3.75,1
1/18/2020,West Ham,Everton,4,0,H,3,0,H,7,2,3,12,1,2,0,0,2.9,3.5,2.37,3,3.4,2.38,0
1/29/2020,West Ham,Liverpool,1,1,D,1,1,D,6,3,11,13,1,0,0,0,8.5,5.5,1.33,9,5.5,1.32,0
2/1/2020,West Ham,Brighton,0,2,A,0,1,A,4,5,6,6,2,0,0,0,2.6,3.3,2.75,2.55,3.3,2.8,0
2/29/2020,West Ham,Southampton,3,3,D,2,0,H,6,6,8,9,1,1,0,0,2.65,3.6,2.5,2.7,3.5,2.55,1
6/20/2020,West Ham,Wolves,3,1,H,2,1,H,7,2,8,11,1,1,0,0,3.6,3.4,2.1,3.6,3.3,2.15,0
7/1/2020,West Ham,Chelsea,0,2,A,0,0,D,2,6,8,7,1,1,0,0,5.5,4.33,1.57,5.8,4.2,1.57,1
7/8/2020,West Ham,Burnley,3,2,H,1,1,D,4,6,10,9,2,1,0,0,2,3.4,3.9,2,3.4,3.9,0
7/17/2020,West Ham,Watford,0,1,A,0,1,A,5,4,7,7,1,1,0,0,2.4,3,3.3,2.38,3.1,3.25,1
7/26/2020,West Ham,Aston Villa,3,1,H,3,0,H,4,3,11,11,0,2,0,0,3,3.6,2.3,3,3.6,2.3,0
