Date,HomeTeam,AwayTeam,FT_HomeGoals,FT_AwayGoals,FT_Result,HT_HomeGoals,HT_AwayGoals,HT_Result,HomeShotsonTarget,AwayShotsonTarget,HomeFouls,AwayFouls,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,Bet365_HomeWin_Odds,Bet365_Draw_Odds,Bet365_AwayWin_Odds,WilliamHill_HomeWin_Odds,WilliamHill_HomeDraw_Odds,WilliamHill_AwayWin_Odds,Result
9/1/2018,West Ham,Wolves,2,0,H,2,0,H,2,3,10,8,2,1,1,0,2.6,3.4,2.87,2.4,3.5,2.8,0
9/22/2018,Man United,Wolves,0,1,A,0,0,D,3,6,10,11,2,1,0,0,1.57,4.33,6.5,1.57,4.2,5.5,0
10/6/2018,Crystal Palace,Wolves,1,1,D,1,0,H,6,8,5,17,1,1,0,0,3,3.2,2.62,2.9,3.2,2.55,0
10/27/2018,Brighton,Wolves,0,1,A,0,0,D,4,2,11,13,3,4,0,0,3.2,3.2,2.5,3.2,3,2.4,1
11/11/2018,Arsenal,Wolves,1,0,H,0,0,D,1,7,11,8,3,0,0,0,1.66,4.2,5.25,1.65,4.2,4.75,0
11/30/2018,Cardiff,Wolves,1,1,D,0,1,A,3,5,9,16,2,2,0,0,3.8,3.25,2.2,3.75,3.25,2.2,1
12/9/2018,Newcastle,Wolves,2,1,H,0,1,A,3,4,3,12,1,2,0,0,2.9,3.2,2.7,2.9,3.1,2.62,0
12/26/2018,Fulham,Wolves,1,2,A,1,1,D,4,6,10,17,2,5,1,0,3.25,3.4,2.37,3.2,3.2,2.35,0
12/29/2018,Tottenham,Wolves,1,1,D,0,0,D,9,5,9,6,2,1,0,0,1.33,5,8.5,1.35,5,9.5,0
1/14/2019,Man City,Wolves,1,3,A,1,0,H,3,4,7,7,3,2,0,0,1.18,8,17,1.17,7.5,17,1
2/2/2019,Everton,Wolves,3,0,H,2,0,H,9,0,6,3,1,0,0,1,2.37,3.4,3.25,2.35,3.3,3.1,0
2/23/2019,Bournemouth,Wolves,1,3,A,1,2,A,4,4,12,14,3,1,0,0,2.87,3.4,2.62,2.8,3.25,2.6,0
2/26/2019,Huddersfield,Wolves,1,1,D,1,0,H,3,2,10,15,4,5,0,0,5,3.5,1.85,5,3.3,1.83,1
3/10/2019,Chelsea,Wolves,1,0,H,0,0,D,3,0,10,10,2,2,0,0,1.55,4.2,7,1.55,4,6.5,0
3/30/2019,Burnley,Wolves,1,1,D,0,0,D,6,1,8,14,1,4,0,0,3.2,3.25,2.45,3.1,3.1,2.45,1
4/13/2019,Southampton,Wolves,2,0,H,1,0,H,1,1,12,10,1,1,0,0,2.6,3.25,3,2.6,3.1,2.9,1
4/27/2019,Watford,Wolves,3,1,H,2,1,H,6,2,13,8,1,3,0,0,2.62,3.3,2.9,2.6,3.2,2.8,0
5/12/2019,Liverpool,Wolves,1,2,A,0,1,A,1,4,10,11,3,2,0,0,1.3,6,11,1.29,5.5,11,1
8/13/2011,Blackburn,Wolves,2,0,H,1,0,H,5,2,3,11,0,2,0,0,2.2,3.2,3.5,2.2,3.1,3.5,0
8/27/2011,Aston Villa,Wolves,1,2,A,1,1,D,8,4,14,10,4,2,0,0,2.1,3.25,3.75,2.1,3.2,3.6,0
9/24/2011,Liverpool,Wolves,0,0,D,0,0,D,5,2,10,9,1,3,0,0,1.36,4.5,10,1.4,4.5,8,1
10/16/2011,West Brom,Wolves,2,1,H,2,0,H,6,6,15,6,3,4,0,0,2,3.3,4,2.05,3.4,3.6,1
10/29/2011,Man City,Wolves,2,0,H,1,0,H,11,10,14,12,0,1,0,0,1.17,7,19,1.18,6.5,15,1
11/19/2011,Everton,Wolves,3,1,H,0,0,D,9,2,17,5,2,1,1,0,1.57,3.75,6.5,1.62,3.8,5.5,1
11/26/2011,Chelsea,Wolves,2,1,H,1,1,D,9,1,14,13,1,2,0,0,1.22,6,15,1.25,6,11,1
12/10/2011,Man United,Wolves,3,0,H,3,0,H,11,2,10,10,1,2,0,0,1.22,6,15,1.2,6,11,1
12/27/2011,Arsenal,Wolves,4,1,H,2,0,H,18,8,7,8,1,0,0,0,1.22,6,15,1.22,6,12,0
12/31/2011,Bolton,Wolves,1,1,D,1,1,D,17,4,3,12,2,3,0,1,2.2,3.25,3.4,2.3,3.2,3.2,0
1/14/2012,Tottenham,Wolves,1,1,D,1,0,H,9,5,11,8,0,0,0,0,1.25,5.5,13,1.3,5,11,0
2/4/2012,QPR,Wolves,1,1,D,0,1,A,10,3,6,12,1,3,0,0,1.91,3.6,4,1.91,3.2,3.5,0
2/25/2012,Newcastle,Wolves,1,2,A,1,0,H,8,6,7,14,0,3,1,0,1.57,4,6,1.6,3.75,6,0
3/4/2012,Fulham,Wolves,2,2,D,2,0,H,8,6,8,8,1,1,0,0,1.57,3.75,6.5,1.67,3.4,6,1
3/24/2012,Norwich,Wolves,5,0,H,2,0,H,19,3,7,9,1,2,0,0,1.73,3.75,4.75,1.8,3.3,5,1
4/7/2012,Stoke,Wolves,2,1,H,2,1,H,11,6,13,7,2,2,1,0,1.57,4,6,1.62,4,5,1
4/14/2012,Sunderland,Wolves,2,1,H,1,1,D,6,5,7,11,1,1,0,0,1.5,4.2,6.5,1.55,3.75,6.5,0
4/28/2012,Swansea,Wolves,0,0,D,0,0,D,6,8,4,11,0,1,0,0,1.53,4,6.5,1.53,4,6,0
5/13/2012,Wigan,Wolves,4,4,D,4,2,H,8,9,8,8,2,1,0,0,1.57,4,6,1.62,3.6,6,1
8/21/2010,Everton,Wolves,3,2,H,2,1,H,10,7,15,9,1,2,0,0,1.5,4,7,1.5,3.75,7.5,0
9/11/2010,Fulham,Wolves,1,1,D,1,0,H,6,4,18,15,1,2,0,0,1.83,3.5,4.5,1.83,3.4,4.5,1
9/18/2010,Tottenham,Wolves,2,1,H,0,1,A,6,2,9,17,3,6,0,1,1.4,4.5,8.5,1.44,4.2,8.5,1
10/2/2010,Wigan,Wolves,3,1,H,0,1,A,11,2,7,11,3,3,0,0,2.25,3.25,3.3,2.25,3.2,3.3,1
10/23/2010,Chelsea,Wolves,2,0,H,0,0,D,17,0,9,12,1,2,0,1,1.13,8.5,19,1.14,7,21,1
11/6/2010,Man United,Wolves,2,0,H,1,0,H,10,9,8,8,1,2,0,0,1.22,6,15,1.25,5,15,1
11/20/2010,Blackpool,Wolves,2,1,H,1,0,H,10,6,6,11,1,0,0,0,2.5,3.3,2.88,2.4,3.4,2.8,1
12/4/2010,Blackburn,Wolves,2,1,H,2,0,H,9,10,7,9,0,2,0,0,1.73,3.6,5,1.8,3.6,4.33,1
12/29/2010,Liverpool,Wolves,3,0,H,2,0,H,7,7,9,11,0,2,0,0,1.33,5,10,1.33,4.5,11,0
1/1/2011,West Ham,Wolves,0,1,A,0,0,D,5,3,8,11,1,1,0,0,2,3.4,3.8,2,3.4,3.75,1
1/15/2011,Man City,Wolves,2,0,H,0,0,D,6,10,7,14,0,1,0,0,1.33,5,10,1.35,4.8,9,1
2/2/2011,Bolton,Wolves,4,3,H,1,1,D,12,7,9,9,0,0,0,0,1.83,3.5,4.5,1.83,3.6,4.2,1
2/12/2011,Arsenal,Wolves,1,0,H,0,0,D,8,5,16,8,1,3,0,0,1.22,6,15,1.25,6,10,1
2/20/2011,West Brom,Wolves,2,0,H,1,0,H,8,0,15,9,0,1,0,0,1.85,3.4,4.5,1.91,3.2,4.5,0
3/19/2011,Aston Villa,Wolves,1,1,D,0,1,A,11,2,6,6,0,0,0,0,1.83,3.5,4.5,1.91,3.5,4,0
4/2/2011,Newcastle,Wolves,0,1,A,0,1,A,5,5,15,19,1,3,0,0,1.95,3.4,4,1.95,3.5,3.8,1
4/26/2011,Stoke,Wolves,4,1,H,2,0,H,13,9,19,10,5,3,0,0,1.8,3.4,5,1.83,3.5,4.33,1
5/1/2011,Birmingham,Wolves,3,0,H,2,0,H,8,1,12,10,3,2,0,0,2.1,3.3,3.6,2.15,3.25,3.5,0
5/14/2011,Sunderland,Wolves,1,1,D,1,1,D,1,2,10,16,3,3,1,0,2.5,3.25,2.88,2.5,3.3,2.75,0
