Date,HomeTeam,AwayTeam,FT_HomeGoals,FT_AwayGoals,FT_Result,HT_HomeGoals,HT_AwayGoals,HT_Result,HomeShotsonTarget,AwayShotsonTarget,HomeFouls,AwayFouls,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,Bet365_HomeWin_Odds,Bet365_Draw_Odds,Bet365_AwayWin_Odds,WilliamHill_HomeWin_Odds,WilliamHill_HomeDraw_Odds,WilliamHill_AwayWin_Odds,Result
9/1/2019,Everton,Wolves,0,0,D,0,0,D,1,2,3,13,0,2,0,0,2.2,3.25,3.5,2.15,3.25,3.6,1
9/22/2019,Crystal Palace,Wolves,3,2,H,2,1,H,6,5,12,12,1,4,0,1,2.62,3.1,2.87,2.62,3.1,2.88,0
10/6/2019,Man City,Wolves,1,1,D,0,0,D,4,4,7,10,2,1,0,1,1.12,9,21,1.11,9,26,0
10/27/2019,Newcastle,Wolves,0,2,A,0,0,D,2,2,11,14,5,2,0,0,3,3.1,2.55,3,3.1,2.55,0
11/2/2019,Arsenal,Wolves,1,1,D,1,0,H,2,5,8,15,2,2,1,0,1.75,3.75,4.75,1.75,3.7,4.75,0
11/23/2019,Bournemouth,Wolves,1,1,D,1,0,H,4,8,6,15,0,2,0,0,2.75,3.3,2.6,2.8,3.3,2.55,0
12/8/2019,Brighton,Wolves,1,2,A,0,2,A,2,7,10,12,2,1,1,0,2.62,3.1,2.87,2.7,3.1,2.8,0
12/21/2019,Norwich,Wolves,2,2,D,2,2,D,4,5,10,7,3,0,0,0,3.75,3.8,1.9,3.7,3.7,1.95,0
12/29/2019,Liverpool,Wolves,1,2,A,1,0,H,7,4,7,14,2,4,0,0,1.25,5.75,12,1.27,5.8,11,1
1/1/2020,Watford,Wolves,1,0,H,1,0,H,3,2,7,3,1,0,0,0,3,3.4,2.3,3.2,3.3,2.3,1
1/18/2020,Southampton,Wolves,2,1,H,1,0,H,3,4,12,6,3,1,1,0,2.4,3.4,3,2.38,3.3,3.1,0
2/1/2020,Man United,Wolves,2,3,A,2,0,H,5,4,13,12,2,1,0,0,2.25,3.25,3.4,2.25,3.2,3.4,0
3/1/2020,Tottenham,Wolves,0,0,D,0,0,D,5,3,14,15,3,2,0,0,2.45,3.2,3,2.45,3.1,3.1,0
6/20/2020,West Ham,Wolves,2,3,A,2,1,H,5,4,12,14,3,2,0,0,3.6,3.4,2.1,3.6,3.3,2.15,0
6/27/2020,Aston Villa,Wolves,0,2,A,0,0,D,2,6,8,7,1,1,0,0,4.6,3.7,1.75,4.8,3.7,1.75,0
7/8/2020,Sheffield United,Wolves,0,1,A,0,0,D,1,2,16,16,1,1,0,0,3.8,3.2,2.1,4,3.1,2.1,1
7/15/2020,Burnley,Wolves,1,0,H,0,0,D,3,1,5,6,2,0,0,0,4.5,3.3,1.9,4.75,3.25,1.88,0
7/26/2020,Chelsea,Wolves,1,1,D,0,0,D,1,5,10,8,0,0,0,0,1.85,3.8,4,1.83,3.7,4.33,1
