Date,HomeTeam,AwayTeam,FT_HomeGoals,FT_AwayGoals,FT_Result,HT_HomeGoals,HT_AwayGoals,HT_Result,HomeShotsonTarget,AwayShotsonTarget,HomeFouls,AwayFouls,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,Bet365_HomeWin_Odds,Bet365_Draw_Odds,Bet365_AwayWin_Odds,WilliamHill_HomeWin_Odds,WilliamHill_HomeDraw_Odds,WilliamHill_AwayWin_Odds,Result
8/25/2018,Wolves,Man City,2,2,D,1,1,D,4,5,8,7,0,1,0,1,11,6.5,1.28,10,6,1.25,0
9/16/2018,Wolves,Burnley,1,1,D,0,0,D,2,6,13,8,1,2,0,0,1.75,3.6,5.75,1.75,3.5,4.8,1
9/29/2018,Wolves,Southampton,1,0,H,0,0,D,7,2,10,9,2,4,0,0,1.8,3.6,5.25,1.85,3.5,4.5,1
10/20/2018,Wolves,Watford,2,0,H,0,0,D,6,6,11,7,3,1,0,0,1.75,3.75,5.25,1.73,3.6,5,0
11/3/2018,Wolves,Tottenham,0,2,A,0,2,A,1,3,23,13,3,1,0,0,3.1,3.4,2.45,2.9,3.3,2.5,0
11/25/2018,Wolves,Huddersfield,2,3,A,0,2,A,7,8,11,8,1,2,0,0,1.5,4.33,8,1.47,4,8,0
12/5/2018,Wolves,Chelsea,0,2,A,0,1,A,3,6,9,8,1,2,0,0,5,3.75,1.8,4.8,3.7,1.75,1
12/15/2018,Wolves,Bournemouth,2,1,H,0,1,A,2,3,18,10,4,4,0,0,1.95,3.6,4.33,1.95,3.5,4,1
12/21/2018,Wolves,Liverpool,2,0,H,1,0,H,3,3,15,7,1,2,0,0,7,4,1.57,6.5,3.9,1.55,0
1/2/2019,Wolves,Crystal Palace,0,2,A,0,1,A,5,6,7,3,0,0,0,0,2,3.4,4.33,2,3.3,4,0
1/19/2019,Wolves,Leicester,0,2,A,0,0,D,1,4,9,7,4,1,0,0,2.37,3.2,3.4,2.3,3.1,3.4,1
1/29/2019,Wolves,West Ham,4,3,H,2,0,H,7,6,11,10,3,3,0,0,2.1,3.5,3.75,2.05,3.4,3.75,1
2/11/2019,Wolves,Newcastle,3,0,H,0,0,D,9,0,8,10,4,1,0,0,1.7,3.75,5.75,1.7,3.7,5.5,0
3/2/2019,Wolves,Cardiff,1,1,D,0,0,D,6,3,7,9,1,3,0,0,1.5,4.33,8,1.5,4.2,7,1
4/2/2019,Wolves,Man United,2,0,H,2,0,H,6,4,11,6,1,2,0,0,4,3.6,2,4,3.5,1.95,1
