Date,HomeTeam,AwayTeam,FT_HomeGoals,FT_AwayGoals,FT_Result,HT_HomeGoals,HT_AwayGoals,HT_Result,HomeShotsonTarget,AwayShotsonTarget,HomeFouls,AwayFouls,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,Bet365_HomeWin_Odds,Bet365_Draw_Odds,Bet365_AwayWin_Odds,WilliamHill_HomeWin_Odds,WilliamHill_HomeDraw_Odds,WilliamHill_AwayWin_Odds,Result
8/26/2018,Watford,Crystal Palace,0,2,A,0,1,A,6,9,9,11,1,2,0,0,2.6,3.25,3,2.5,3.3,2.8,1
9/15/2018,Huddersfield,Crystal Palace,2,1,H,0,0,D,5,3,14,11,4,2,0,0,3.3,3.1,2.5,3.1,3,2.45,0
10/1/2018,Bournemouth,Crystal Palace,0,1,A,0,1,A,2,2,11,17,1,2,0,0,2.25,3.5,3.4,2.25,3.4,3.2,1
10/21/2018,Everton,Crystal Palace,2,1,H,1,0,H,5,2,9,12,3,4,0,0,1.85,3.6,4.75,1.88,3.5,4.33,1
11/4/2018,Chelsea,Crystal Palace,2,0,H,0,0,D,4,3,13,17,2,1,0,0,1.25,6.75,13,1.29,6,9.5,1
11/24/2018,Man United,Crystal Palace,3,1,H,1,0,H,6,2,6,13,0,1,0,0,1.4,5.25,8,1.4,4.75,8,0
12/4/2018,Brighton,Crystal Palace,0,0,D,0,0,D,5,2,13,12,1,2,0,0,3,3.1,2.7,2.9,3.1,2.62,1
12/8/2018,West Ham,Crystal Palace,3,1,H,3,0,H,3,5,14,12,2,3,1,0,2.3,3.4,3.4,2.25,3.3,3.3,1
12/22/2018,Man City,Crystal Palace,3,2,H,0,1,A,6,4,10,8,1,2,0,0,1.14,10,21,1.12,8.5,23,0
1/2/2019,Wolves,Crystal Palace,2,3,A,1,2,A,5,3,7,6,0,4,0,0,2,3.4,4.33,2,3.3,4,0
1/19/2019,Liverpool,Crystal Palace,0,2,A,0,0,D,1,4,9,7,4,1,0,0,1.2,7.5,17,1.17,7.5,17,1
1/30/2019,Southampton,Crystal Palace,4,3,H,0,1,A,9,3,6,8,0,1,1,0,2.4,3.4,3.2,2.35,3.3,3.1,0
2/23/2019,Leicester,Crystal Palace,1,1,D,0,1,A,4,3,11,8,2,2,0,1,2.25,3.4,3.5,2.15,3.3,3.5,0
3/2/2019,Burnley,Crystal Palace,1,4,A,0,1,A,5,5,7,14,2,1,0,0,2.8,3.3,2.75,2.8,3.2,2.62,0
4/3/2019,Tottenham,Crystal Palace,1,3,A,0,1,A,4,4,9,9,1,2,0,0,1.45,5,7.5,1.44,4.6,7,1
4/6/2019,Newcastle,Crystal Palace,2,0,H,0,0,D,10,1,8,5,1,0,0,0,2.6,3.25,3,2.5,3.2,3,0
4/21/2019,Arsenal,Crystal Palace,0,1,A,0,0,D,5,1,12,13,1,2,0,0,1.53,4.6,6.5,1.52,4.33,6.5,0
5/4/2019,Cardiff,Crystal Palace,2,3,A,0,1,A,5,7,15,12,4,1,0,0,2.6,3.75,2.7,2.55,3.6,2.62,0
8/19/2017,Liverpool,Crystal Palace,2,3,A,1,2,A,8,7,14,11,0,0,0,0,1.36,5.25,9.5,1.33,4.5,9,1
9/10/2017,Burnley,Crystal Palace,1,0,H,0,0,D,13,1,12,13,1,3,0,0,2.3,3.25,3.5,2.38,3.1,3.2,1
9/23/2017,Man City,Crystal Palace,1,0,H,1,0,H,2,5,7,14,1,1,0,0,1.14,10,21,1.14,7.5,21,1
9/30/2017,Man United,Crystal Palace,5,0,H,1,0,H,9,0,6,7,3,1,0,0,1.17,7,15,1.17,7,17,1
10/21/2017,Newcastle,Crystal Palace,4,0,H,2,0,H,7,1,6,9,0,0,0,0,2,3.5,4.2,2.05,3.1,4.2,1
11/5/2017,Tottenham,Crystal Palace,1,0,H,0,0,D,3,0,12,14,4,2,0,0,1.28,6,12,1.29,5.5,12,1
11/28/2017,Brighton,Crystal Palace,1,0,H,0,0,D,2,3,6,7,0,2,0,0,2.7,3.1,3,2.62,3.1,2.9,0
12/2/2017,West Brom,Crystal Palace,0,0,D,0,0,D,4,4,13,8,2,0,0,0,2.5,3.2,3.2,2.5,3.1,3.1,0
12/16/2017,Leicester,Crystal Palace,0,0,D,0,0,D,6,2,11,10,3,1,0,0,1.89,3.6,4.5,1.91,3.5,4.33,0
12/23/2017,Swansea,Crystal Palace,0,3,A,0,2,A,2,6,12,13,2,2,1,0,3.29,3.2,2.45,3.3,3.1,2.4,0
1/2/2018,Southampton,Crystal Palace,1,1,D,0,0,D,2,5,13,11,2,3,0,0,1.9,3.39,4,1.95,3.4,4.2,0
1/20/2018,Arsenal,Crystal Palace,1,2,A,1,0,H,3,4,8,11,0,1,0,0,1.5,4.75,7,1.5,4.33,7,1
1/30/2018,West Ham,Crystal Palace,4,1,H,4,0,H,10,5,6,8,0,0,0,0,3.1,3.25,2.54,3,3.25,2.5,0
2/10/2018,Everton,Crystal Palace,1,1,D,1,1,D,3,3,11,15,1,3,0,0,2.25,3.25,3.2,2.25,3.1,3.4,1
3/10/2018,Chelsea,Crystal Palace,3,1,H,0,0,D,5,4,14,15,1,1,0,0,1.3,5.75,12,1.3,5.5,11,1
3/17/2018,Huddersfield,Crystal Palace,2,1,H,2,0,H,11,2,8,9,1,2,0,0,3,3.1,2.7,2.8,3.1,2.62,0
4/7/2018,Bournemouth,Crystal Palace,0,2,A,0,1,A,2,6,11,12,3,2,0,0,2.5,3.39,3,2.5,3.25,3,0
4/21/2018,Watford,Crystal Palace,2,2,D,0,0,D,5,6,8,9,2,2,0,0,2.89,3.39,2.54,2.88,3.25,2.6,0
5/5/2018,Stoke,Crystal Palace,0,0,D,0,0,D,4,1,17,13,3,5,0,0,2.7,3.39,2.79,2.7,3.2,2.8,0
8/20/2016,Tottenham,Crystal Palace,1,2,A,1,0,H,2,2,18,12,5,2,0,0,1.45,4.75,8,1.5,3.6,8.5,1
9/10/2016,Middlesbrough,Crystal Palace,1,0,H,0,0,D,5,2,19,9,3,3,0,0,2.3,3.2,3.6,2.38,3.1,3.2,0
9/24/2016,Sunderland,Crystal Palace,1,2,A,1,1,D,4,4,5,9,1,2,0,0,2.88,3.25,2.7,2.8,3.2,2.7,0
9/30/2016,Everton,Crystal Palace,2,3,A,1,0,H,4,4,15,12,0,2,0,0,1.73,4,5,1.75,3.8,5,0
10/22/2016,Leicester,Crystal Palace,1,1,D,1,0,H,3,2,16,11,5,4,0,0,2.05,3.5,3.9,2.05,3.3,4,1
11/5/2016,Burnley,Crystal Palace,3,1,H,1,0,H,4,7,10,8,0,0,0,0,3.3,3.3,2.38,3.3,3.1,2.4,1
11/26/2016,Swansea,Crystal Palace,3,2,H,2,0,H,7,5,11,12,1,2,0,0,2.63,3.4,2.88,2.62,3.2,2.9,1
12/10/2016,Hull,Crystal Palace,5,4,H,1,1,D,9,4,12,24,4,5,0,0,3.5,3.3,2.3,3.3,3.2,2.38,0
12/26/2016,Watford,Crystal Palace,3,3,D,1,0,H,6,6,16,14,2,4,0,0,2.5,3.3,2.9,2.4,3.3,3.1,0
1/1/2017,Arsenal,Crystal Palace,1,1,D,0,1,A,3,4,18,17,2,4,0,0,1.29,5.5,9.5,1.33,5.5,9,1
1/14/2017,West Ham,Crystal Palace,2,0,H,1,0,H,7,4,9,7,1,1,0,0,2.38,3.4,3.2,2.4,3.2,3.2,1
1/31/2017,Bournemouth,Crystal Palace,3,0,H,0,0,D,3,1,10,14,4,2,0,0,2.05,3.5,3.9,2.1,3.4,3.75,0
2/11/2017,Stoke,Crystal Palace,0,2,A,0,0,D,2,4,14,23,0,4,0,0,2.15,3.3,3.9,2.1,3.3,3.8,1
3/4/2017,West Brom,Crystal Palace,1,0,H,0,0,D,4,1,10,14,1,3,0,0,2.2,3.3,3.8,2.2,3.1,3.8,0
4/1/2017,Chelsea,Crystal Palace,0,2,A,0,0,D,1,4,8,12,0,1,0,0,1.3,5.75,12,1.29,5.5,12,0
4/5/2017,Southampton,Crystal Palace,1,2,A,1,2,A,11,3,12,14,3,2,0,0,1.83,3.7,4.75,1.83,3.5,4.8,1
4/23/2017,Liverpool,Crystal Palace,3,1,H,1,1,D,9,3,16,11,2,1,0,0,1.5,4.75,7,1.5,4,7,0
5/6/2017,Man City,Crystal Palace,1,2,A,1,1,D,1,3,8,10,1,2,0,0,1.29,6.5,11,1.25,6,11,1
5/21/2017,Man United,Crystal Palace,5,0,H,1,0,H,12,2,12,8,1,3,0,0,2.5,3.3,3.1,2.5,3.3,2.8,1
8/8/2015,Norwich,Crystal Palace,2,0,H,2,0,H,2,1,16,10,2,0,0,0,2.55,3.3,3,2.6,3.1,2.88,0
8/29/2015,Chelsea,Crystal Palace,1,3,A,0,1,A,6,7,14,20,1,0,0,0,1.36,5,11,1.36,4.5,9.5,0
9/20/2015,Tottenham,Crystal Palace,1,2,A,0,0,D,9,6,9,15,1,1,0,0,2,3.6,4,1.95,3.5,3.8,1
