Date,HomeTeam,AwayTeam,FT_HomeGoals,FT_AwayGoals,FT_Result,HT_HomeGoals,HT_AwayGoals,HT_Result,HomeShotsonTarget,AwayShotsonTarget,HomeFouls,AwayFouls,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,Bet365_HomeWin_Odds,Bet365_Draw_Odds,Bet365_AwayWin_Odds,WilliamHill_HomeWin_Odds,WilliamHill_HomeDraw_Odds,WilliamHill_AwayWin_Odds,Result
9/1/2018,Crystal Palace,Southampton,0,2,A,0,1,A,2,6,6,13,1,1,1,0,2,3.5,4.2,1.95,3.4,4,0
9/22/2018,Crystal Palace,Newcastle,0,2,A,0,0,D,6,6,11,12,1,1,0,0,2.14,3.4,3.75,2.1,3.3,3.5,0
10/6/2018,Crystal Palace,Wolves,0,0,D,0,0,D,4,3,8,11,1,1,0,0,3,3.2,2.62,2.9,3.2,2.55,0
10/28/2018,Crystal Palace,Arsenal,0,1,A,0,0,D,4,2,11,13,3,4,0,0,4.75,4.1,1.75,4.2,4.2,1.75,0
11/10/2018,Crystal Palace,Tottenham,2,2,D,1,0,H,3,2,10,16,1,2,0,0,4.5,3.75,1.85,4.33,3.6,1.83,0
12/1/2018,Crystal Palace,Burnley,0,1,A,0,0,D,4,2,12,9,1,1,0,0,1.61,3.9,6.5,1.6,3.75,6.5,1
12/15/2018,Crystal Palace,Leicester,2,0,H,1,0,H,9,0,9,10,1,1,0,0,2.62,3.2,3,2.62,3.1,2.88,1
12/26/2018,Crystal Palace,Cardiff,1,0,H,1,0,H,1,2,10,8,2,1,0,0,1.66,4,5.75,1.63,3.8,5.8,0
12/30/2018,Crystal Palace,Chelsea,0,0,D,0,0,D,5,4,9,11,0,3,0,0,4.75,4,1.66,5,3.8,1.7,0
1/12/2019,Crystal Palace,Watford,0,1,A,0,0,D,0,4,11,8,0,1,0,0,2.25,3.4,3.5,2.2,3.3,3.4,0
2/2/2019,Crystal Palace,Fulham,1,2,A,1,0,H,6,2,11,11,1,4,0,0,2.05,3.5,4,2,3.5,3.8,1
2/9/2019,Crystal Palace,West Ham,2,0,H,1,0,H,6,0,9,12,2,3,0,0,2.1,3.5,3.75,2.15,3.4,3.6,0
2/27/2019,Crystal Palace,Man United,1,1,D,0,1,A,5,4,12,9,3,0,0,0,3.25,3.5,2.3,3.1,3.4,2.3,0
3/9/2019,Crystal Palace,Brighton,1,3,A,0,1,A,2,4,8,9,2,3,0,0,1.83,3.6,5,1.83,3.4,4.75,0
3/30/2019,Crystal Palace,Huddersfield,1,2,A,0,1,A,3,3,8,18,1,5,0,0,1.45,4.4,9,1.42,4.33,8.5,1
4/14/2019,Crystal Palace,Man City,2,0,H,0,0,D,5,5,10,7,0,0,0,0,11,6,1.3,11,5.25,1.3,0
4/27/2019,Crystal Palace,Everton,1,3,A,0,1,A,3,6,5,11,0,0,0,0,2.62,3.5,2.8,2.55,3.3,2.8,0
5/12/2019,Crystal Palace,Bournemouth,0,0,D,0,0,D,0,3,9,15,2,0,0,0,1.9,4.2,3.8,1.83,4,3.9,1
8/12/2017,Crystal Palace,Huddersfield,5,3,H,3,1,H,8,8,11,8,3,0,0,0,1.83,3.6,5,1.8,3.3,5,0
8/26/2017,Crystal Palace,Swansea,0,3,A,0,2,A,4,6,7,19,1,3,0,0,1.95,3.5,4.33,1.95,3.25,4.2,0
9/16/2017,Crystal Palace,Southampton,0,2,A,0,1,A,3,3,9,6,4,1,0,0,3,3.3,2.6,2.8,3.1,2.6,0
10/14/2017,Crystal Palace,Chelsea,0,1,A,0,1,A,3,4,14,13,5,1,0,0,9,5,1.4,9.5,4.8,1.36,1
10/28/2017,Crystal Palace,West Ham,2,1,H,2,1,H,5,5,7,6,2,1,0,0,2.39,3.29,3.29,2.4,3.3,3.1,0
11/18/2017,Crystal Palace,Everton,2,2,D,0,2,A,9,2,18,15,1,2,0,0,2.39,3.25,3.29,2.4,3.2,3.2,0
11/25/2017,Crystal Palace,Stoke,2,2,D,2,2,D,7,5,9,26,2,3,0,0,2.04,3.5,4,2.1,3.1,4,1
12/9/2017,Crystal Palace,Bournemouth,2,1,H,0,0,D,5,3,9,5,1,1,0,0,2.04,3.5,4,1.91,3.4,4,0
12/12/2017,Crystal Palace,Watford,2,2,D,2,2,D,8,5,14,14,5,2,0,0,2.29,3.5,3.25,2.25,3.5,3.25,1
12/28/2017,Crystal Palace,Arsenal,2,1,H,0,1,A,4,2,14,18,2,1,0,1,4.5,4,1.8,4.8,3.8,1.75,0
12/31/2017,Crystal Palace,Man City,2,3,A,0,1,A,2,9,12,7,0,1,0,0,11,6.5,1.28,11,6,1.25,0
1/13/2018,Crystal Palace,Burnley,0,0,D,0,0,D,1,4,14,11,5,4,0,0,2,3.29,4.5,2.05,3.1,4.33,1
2/4/2018,Crystal Palace,Newcastle,1,0,H,1,0,H,2,2,16,10,0,3,0,0,2.04,3.39,4.2,2.05,3.3,4,0
2/25/2018,Crystal Palace,Tottenham,1,1,D,0,1,A,6,8,11,8,1,1,0,0,7.5,4.5,1.5,6.5,4.2,1.5,0
3/5/2018,Crystal Palace,Man United,0,1,A,0,0,D,3,4,12,5,0,1,0,0,7,4,1.57,6.5,4,1.57,0
3/31/2018,Crystal Palace,Liverpool,2,3,A,1,0,H,4,8,10,8,1,3,0,0,7,4.33,1.44,6,4.33,1.5,0
4/14/2018,Crystal Palace,Brighton,1,2,A,1,0,H,3,6,6,8,2,2,0,0,1.9,3.5,4.75,1.91,3.2,4.8,1
4/28/2018,Crystal Palace,Leicester,3,2,H,3,2,H,8,3,12,16,3,2,0,0,2.04,3.6,3.79,2.1,3.3,3.75,1
5/13/2018,Crystal Palace,West Brom,5,0,H,2,0,H,9,1,11,9,1,1,0,1,1.8,3.79,4.75,1.75,3.6,5,1
8/13/2016,Crystal Palace,West Brom,2,0,H,0,0,D,5,1,10,11,2,3,0,0,2,3.3,4.5,2.05,3.1,4,0
8/27/2016,Crystal Palace,Bournemouth,0,1,A,0,0,D,4,3,12,15,2,2,0,0,2.3,3.2,3.3,2.38,3.2,3.1,0
9/18/2016,Crystal Palace,Stoke,1,1,D,0,1,A,5,3,15,10,2,1,0,0,2,3.5,4.2,2.05,3.1,4,1
10/15/2016,Crystal Palace,West Ham,4,1,H,2,0,H,8,4,15,9,2,1,0,0,2.15,3.5,3.6,2.2,3.1,3.75,0
10/29/2016,Crystal Palace,Liverpool,0,1,A,0,1,A,3,4,12,13,1,3,0,1,5.25,4,1.7,5,3.8,1.75,0
11/19/2016,Crystal Palace,Man City,2,4,A,2,3,A,6,10,15,5,1,2,0,0,6.5,4.5,1.53,6,4.2,1.57,0
12/3/2016,Crystal Palace,Southampton,1,2,A,0,1,A,2,4,12,15,1,2,0,0,3.5,3.3,2.3,3.4,3.2,2.3,1
12/14/2016,Crystal Palace,Man United,3,0,H,2,0,H,4,3,11,13,3,1,0,0,5.25,4,1.7,4.8,4,1.7,0
12/17/2016,Crystal Palace,Chelsea,1,2,A,0,1,A,3,6,16,10,2,2,0,0,6.5,4.2,1.57,6.5,3.75,1.62,0
1/3/2017,Crystal Palace,Swansea,0,1,A,0,1,A,2,6,12,15,2,3,0,0,1.75,3.5,4.75,1.83,3.4,5,0
1/21/2017,Crystal Palace,Everton,1,2,A,0,1,A,3,4,13,14,2,1,0,0,3.25,3.4,2.38,3.2,3.2,2.4,0
2/4/2017,Crystal Palace,Sunderland,0,1,A,0,0,D,2,8,10,15,0,1,0,0,1.7,3.9,5.5,1.67,3.8,5.5,0
2/25/2017,Crystal Palace,Middlesbrough,0,4,A,0,4,A,9,7,8,8,3,3,0,0,2.1,3.2,4.2,2.15,3.1,4,1
3/18/2017,Crystal Palace,Watford,1,0,H,1,0,H,3,4,13,15,3,1,0,0,1.91,3.5,4.75,1.91,3.4,4.5,1
4/10/2017,Crystal Palace,Arsenal,1,0,H,0,0,D,0,2,8,15,0,2,0,0,4.5,3.9,1.83,4.33,3.5,1.83,1
4/15/2017,Crystal Palace,Leicester,3,0,H,1,0,H,6,3,11,10,0,1,0,0,1.73,3.6,4.75,1.8,3.6,4.5,0
4/26/2017,Crystal Palace,Tottenham,2,2,D,0,1,A,4,2,10,16,0,2,0,0,5.5,4.2,1.65,5.5,3.6,1.67,0
4/29/2017,Crystal Palace,Burnley,0,1,A,0,0,D,1,4,13,15,3,3,0,0,1.75,3.5,4.75,1.83,3.5,4.4,0
5/14/2017,Crystal Palace,Hull,0,2,A,0,1,A,5,3,11,12,2,0,0,0,2.1,3.6,3.75,2.05,3.4,3.75,1
8/16/2015,Crystal Palace,Arsenal,4,0,H,2,0,H,4,0,13,14,3,5,0,0,5.25,3.9,1.73,5,3.5,1.75,0
8/22/2015,Crystal Palace,Aston Villa,1,2,A,1,1,D,4,7,14,12,1,1,0,0,1.85,3.6,4.75,1.85,3.4,4.5,1
9/12/2015,Crystal Palace,Man City,2,1,H,0,0,D,6,2,12,15,3,3,0,0,5.5,4.2,1.67,5.5,3.8,1.62,0
10/3/2015,Crystal Palace,West Brom,0,1,A,0,0,D,2,7,13,13,2,3,0,0,1.83,3.6,5,1.85,3.1,5,1
10/17/2015,Crystal Palace,West Ham,2,0,H,0,0,D,8,2,14,13,3,3,0,0,2,3.6,4,2.05,3.3,3.75,0
10/31/2015,Crystal Palace,Man United,1,3,A,1,1,D,1,4,9,11,1,3,1,0,3.8,3.5,2.1,4,3,2.1,0
11/23/2015,Crystal Palace,Sunderland,0,0,D,0,0,D,5,1,12,15,3,3,0,0,1.57,4,7,1.6,3.4,7,0
11/28/2015,Crystal Palace,Newcastle,0,1,A,0,0,D,7,4,18,11,1,3,0,0,1.7,3.9,5.5,1.73,3.5,5,1
12/12/2015,Crystal Palace,Southampton,5,1,H,3,1,H,8,2,7,13,1,1,0,0,2.6,3.3,3,2.5,3.1,3,1
12/28/2015,Crystal Palace,Swansea,1,0,H,1,0,H,5,3,11,13,0,0,0,0,2.1,3.4,4,1.91,3.5,4,0
1/3/2016,Crystal Palace,Chelsea,0,0,D,0,0,D,2,3,11,16,3,2,0,0,3.8,3.5,2.1,3.75,3.2,2.1,0
1/23/2016,Crystal Palace,Tottenham,0,3,A,0,1,A,4,4,12,15,3,0,0,0,3.6,3.5,2.15,3.3,3.3,2.2,0
2/2/2016,Crystal Palace,Bournemouth,1,3,A,1,0,H,3,11,11,12,2,2,0,0,2.45,3.3,3.2,2.5,3.1,3,0
2/13/2016,Crystal Palace,Watford,1,2,A,1,1,D,3,4,11,15,3,4,0,0,2.25,3.3,3.6,2.3,3.1,3.3,0
3/6/2016,Crystal Palace,Liverpool,1,2,A,1,1,D,7,3,11,16,0,2,0,0,3.8,3.5,2.1,3.75,3.1,2.15,0
3/19/2016,Crystal Palace,Leicester,1,2,A,0,0,D,4,5,12,16,1,2,0,1,3,3.4,2.5,3,3.1,2.5,0
4/9/2016,Crystal Palace,Norwich,0,1,A,0,1,A,4,3,9,13,1,1,0,0,2.05,3.4,3.6,2,3.4,3.8,1
4/13/2016,Crystal Palace,Everton,1,0,H,0,0,D,6,4,13,10,2,1,0,0,2.9,3.4,2.6,2.8,3.1,2.6,0
5/7/2016,Crystal Palace,Stoke,0,0,D,0,0,D,6,5,7,9,0,1,0,1,2.05,3.5,3.9,2.1,3.25,3.6,1
8/31/2013,Crystal Palace,Sunderland,2,1,H,0,1,A,4,3,8,18,2,3,0,0,2.6,3.3,3,2.45,3.25,2.9,1
9/22/2013,Crystal Palace,Swansea,3,1,H,1,0,H,6,2,6,6,1,0,0,1,3.5,3.4,2.25,3.2,3.2,2.3,0
10/21/2013,Crystal Palace,Fulham,0,2,A,0,1,A,1,7,13,9,2,2,0,0,2.75,3.3,2.8,2.75,3,2.75,0
10/26/2013,Crystal Palace,Arsenal,1,4,A,1,2,A,4,6,10,13,0,1,0,0,11,5,1.36,9,4.5,1.36,0
11/9/2013,Crystal Palace,Everton,0,2,A,0,0,D,4,4,12,8,0,0,0,1,6.5,4,1.62,6,3.6,1.62,0
12/3/2013,Crystal Palace,West Ham,0,0,D,0,0,D,2,2,16,8,1,0,0,0,3.25,3.3,2.4,3.1,3.1,2.4,1
12/7/2013,Crystal Palace,Cardiff,1,0,H,1,0,H,5,2,10,9,1,2,0,0,2.8,3.3,2.75,2.7,3.1,2.7,1
12/21/2013,Crystal Palace,Newcastle,2,0,H,1,0,H,5,2,9,12,0,0,0,0,3.25,3.4,2.38,3.1,3.1,2.4,0
1/1/2014,Crystal Palace,Norwich,0,3,A,0,2,A,4,6,11,14,1,2,0,0,2.38,3.3,3.3,2.3,3,3.1,0
1/18/2014,Crystal Palace,Stoke,1,1,D,1,1,D,4,5,12,10,2,1,0,1,2.35,3.2,3.5,2.3,3,3.4,1
1/28/2014,Crystal Palace,Hull,1,0,H,0,0,D,6,2,9,13,0,2,0,0,2.5,3.2,3.2,2.5,3,3,1
2/8/2014,Crystal Palace,West Brom,1,0,H,1,0,H,3,4,14,8,4,0,0,1,2.6,3.3,3,2.6,3.1,2.8,1
2/22/2014,Crystal Palace,Man United,3,1,H,2,0,H,6,6,13,13,0,3,0,0,6.5,4,1.6,6,3.6,1.62,0
3/8/2014,Crystal Palace,Southampton,0,2,A,0,0,D,6,5,12,10,0,2,0,0,3.9,3.3,2.15,3.5,3.1,2.2,0
3/29/2014,Crystal Palace,Chelsea,0,1,A,0,1,A,1,3,14,18,1,5,0,0,10,4.75,1.4,10,3.75,1.44,1
4/12/2014,Crystal Palace,Aston Villa,1,0,H,0,0,D,4,2,10,4,4,1,0,0,2.15,3.3,3.9,2.15,3.2,3.5,1
4/27/2014,Crystal Palace,Man City,1,0,H,0,0,D,4,4,7,12,0,2,0,0,7.5,5,1.44,8,4,1.44,0
5/5/2014,Crystal Palace,Liverpool,0,2,A,0,2,A,2,6,9,10,3,1,0,0,9,5,1.4,8,4.5,1.4,0
