Date,HomeTeam,AwayTeam,FT_HomeGoals,FT_AwayGoals,FT_Result,HT_HomeGoals,HT_AwayGoals,HT_Result,HomeShotsonTarget,AwayShotsonTarget,HomeFouls,AwayFouls,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,Bet365_HomeWin_Odds,Bet365_Draw_Odds,Bet365_AwayWin_Odds,WilliamHill_HomeWin_Odds,WilliamHill_HomeDraw_Odds,WilliamHill_AwayWin_Odds,Result
8/31/2019,Crystal Palace,Aston Villa,0,0,D,0,0,D,2,3,16,14,2,1,0,1,2.15,3.3,3.5,2.2,3.3,3.4,1
9/22/2019,Crystal Palace,Wolves,1,0,H,0,0,D,5,2,15,16,2,4,0,1,2.62,3.1,2.87,2.62,3.1,2.88,0
9/28/2019,Crystal Palace,Norwich,1,1,D,0,0,D,4,4,7,10,2,1,0,1,1.9,3.75,3.75,1.91,3.7,3.9,1
10/19/2019,Crystal Palace,Man City,2,0,H,1,0,H,3,3,14,10,3,1,0,0,12,7,1.22,13,6.5,1.22,0
11/3/2019,Crystal Palace,Leicester,0,2,A,0,2,A,2,10,8,10,1,1,0,0,3.5,3.4,2.1,3.4,3.4,2.15,0
11/23/2019,Crystal Palace,Liverpool,0,2,A,0,0,D,3,5,15,16,2,2,0,0,7.5,4.75,1.4,8,4.6,1.42,0
12/3/2019,Crystal Palace,Bournemouth,1,2,A,0,0,D,6,4,8,7,0,1,0,0,2.2,3.4,3.25,2.25,3.4,3.25,1
12/16/2019,Crystal Palace,Brighton,1,0,H,0,0,D,2,3,6,15,3,3,1,0,2.55,3.25,2.87,2.5,3.25,2.9,0
12/26/2019,Crystal Palace,West Ham,1,1,D,0,0,D,4,10,7,12,1,1,0,0,2.3,3.4,3.1,2.3,3.4,3.1,1
1/11/2020,Crystal Palace,Arsenal,2,1,H,0,0,D,4,2,5,10,0,2,0,0,4.1,3.9,1.8,4.33,3.8,1.8,0
1/21/2020,Crystal Palace,Southampton,1,1,D,0,1,A,3,4,14,22,2,3,0,1,2.7,3.25,2.7,2.7,3.2,2.7,0
2/1/2020,Crystal Palace,Sheffield United,0,2,A,0,1,A,0,6,12,13,1,2,0,0,3.1,3.1,2.5,3.1,3.1,2.5,0
2/22/2020,Crystal Palace,Newcastle,0,1,A,0,0,D,3,3,9,15,3,2,0,0,1.95,3.4,4.2,1.95,3.3,4.33,1
3/7/2020,Crystal Palace,Watford,1,0,H,1,0,H,9,2,15,11,2,6,0,1,2.55,3.2,2.9,2.55,3.1,3,1
6/29/2020,Crystal Palace,Burnley,1,0,H,1,0,H,3,4,12,19,4,4,0,0,2.25,3.2,3.4,2.3,3.2,3.3,0
7/7/2020,Crystal Palace,Chelsea,0,1,A,0,0,D,4,4,12,13,1,1,0,0,8.5,4.5,1.4,8.5,4.5,1.4,0
7/16/2020,Crystal Palace,Man United,2,3,A,1,2,A,4,6,11,10,1,0,0,0,9.5,4.75,1.36,10,5,1.33,0
7/26/2020,Crystal Palace,Tottenham,0,2,A,0,1,A,5,5,10,15,1,2,0,0,6,4.2,1.55,6.5,4.2,1.52,0
