Date,HomeTeam,AwayTeam,FT_HomeGoals,FT_AwayGoals,FT_Result,HT_HomeGoals,HT_AwayGoals,HT_Result,HomeShotsonTarget,AwayShotsonTarget,HomeFouls,AwayFouls,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,Bet365_HomeWin_Odds,Bet365_Draw_Odds,Bet365_AwayWin_Odds,WilliamHill_HomeWin_Odds,WilliamHill_HomeDraw_Odds,WilliamHill_AwayWin_Odds,Result
8/25/2018,Wolves,Man City,0,2,A,0,1,A,3,8,11,14,2,2,0,0,11,6.5,1.28,10,6,1.25,0
9/22/2018,Cardiff,Man City,1,1,D,0,0,D,2,6,13,8,1,2,0,0,23,8,1.16,17,7.5,1.15,0
10/7/2018,Liverpool,Man City,0,5,A,0,3,A,2,10,6,4,1,1,0,0,2.54,3.6,2.8,2.5,3.5,2.75,0
10/29/2018,Tottenham,Man City,0,0,D,0,0,D,2,2,10,10,1,3,0,0,4.75,4.1,1.75,4.4,4.2,1.73,0
11/24/2018,West Ham,Man City,0,1,A,0,1,A,1,6,13,13,2,2,0,0,13,6.5,1.25,10,6.5,1.25,0
12/4/2018,Watford,Man City,0,4,A,0,3,A,1,6,6,3,0,0,0,0,11,6,1.3,10,5.5,1.29,0
12/8/2018,Chelsea,Man City,1,2,A,0,1,A,7,7,4,8,0,1,0,0,4,3.8,1.95,3.8,3.7,1.95,1
12/26/2018,Leicester,Man City,2,0,H,1,0,H,5,4,12,11,2,0,0,0,9.5,5.25,1.36,9.5,5,1.35,1
12/30/2018,Southampton,Man City,2,1,H,1,1,D,5,4,5,8,2,2,0,1,10,5.25,1.3,10,5.5,1.3,0
1/20/2019,Huddersfield,Man City,1,3,A,1,3,A,4,6,11,10,2,3,1,0,21,8.5,1.16,19,8,1.14,0
1/29/2019,Newcastle,Man City,0,3,A,0,1,A,2,4,10,9,2,2,0,0,19,8,1.18,17,6.5,1.18,1
2/6/2019,Everton,Man City,2,1,H,0,1,A,2,4,9,7,2,3,0,0,10,6.25,1.3,10,5.5,1.3,0
3/2/2019,Bournemouth,Man City,0,2,A,0,1,A,1,4,12,6,1,1,0,0,13,7.5,1.22,12,7,1.22,0
3/30/2019,Fulham,Man City,0,1,A,0,0,D,0,7,7,7,1,2,0,0,21,11,1.12,21,9,1.12,0
4/14/2019,Crystal Palace,Man City,0,2,A,0,2,A,0,7,4,12,2,0,0,0,11,6,1.3,11,5.25,1.3,0
4/24/2019,Man United,Man City,1,3,A,0,1,A,3,6,5,11,0,0,0,0,7.5,5,1.44,7,4.75,1.44,0
4/28/2019,Burnley,Man City,0,2,A,0,0,D,1,5,10,10,2,2,0,0,23,9,1.14,21,8.5,1.12,0
5/12/2019,Brighton,Man City,0,1,A,0,0,D,0,7,5,7,1,1,0,0,19,8.5,1.16,19,8,1.14,0
8/12/2017,Brighton,Man City,1,4,A,1,2,A,2,9,12,8,0,0,0,0,11,5.5,1.33,10,4.8,1.33,0
8/26/2017,Bournemouth,Man City,0,2,A,0,0,D,2,4,6,9,0,2,0,0,11,6,1.3,9,5,1.33,0
9/16/2017,Watford,Man City,1,2,A,1,1,D,3,8,13,14,5,4,0,1,9,6,1.33,8,5.5,1.33,0
9/30/2017,Chelsea,Man City,0,6,A,0,3,A,1,10,8,6,2,0,0,0,2.75,3.3,2.5,2.8,3.3,2.5,0
10/28/2017,West Brom,Man City,0,1,A,0,0,D,2,6,8,13,0,2,0,0,11,6.5,1.28,12,6.5,1.25,0
11/18/2017,Leicester,Man City,2,3,A,1,2,A,4,5,10,7,2,3,0,0,9.5,5.75,1.33,9.5,5,1.35,0
11/26/2017,Huddersfield,Man City,0,2,A,0,1,A,0,4,8,10,1,1,0,0,17,8,1.18,17,6.5,1.2,0
12/10/2017,Man United,Man City,1,2,A,1,0,H,0,5,10,10,2,3,1,0,3.39,3.5,2.25,3.3,3.4,2.15,0
12/13/2017,Swansea,Man City,1,2,A,1,1,D,5,7,16,10,4,2,0,0,15,6.5,1.25,13,6,1.25,0
12/27/2017,Newcastle,Man City,0,4,A,0,2,A,3,10,12,6,0,0,0,0,13,6.75,1.25,13,6,1.25,0
12/31/2017,Crystal Palace,Man City,0,1,A,0,1,A,2,6,11,6,1,0,0,0,11,6.5,1.28,11,6,1.25,0
1/14/2018,Liverpool,Man City,0,0,D,0,0,D,1,4,14,11,5,4,0,0,3.1,3.75,2.29,3.1,3.5,2.3,1
2/3/2018,Burnley,Man City,4,3,H,1,1,D,7,4,10,7,2,3,0,0,13,6,1.28,12,5.5,1.29,0
3/1/2018,Arsenal,Man City,1,1,D,0,1,A,3,7,9,6,4,1,0,0,4.5,4,1.72,4.5,3.8,1.73,0
3/12/2018,Stoke,Man City,0,3,A,0,3,A,5,5,11,11,1,1,0,0,15,6.5,1.25,13,6,1.25,0
3/31/2018,Everton,Man City,0,2,A,0,1,A,0,6,6,8,1,0,0,0,9,5,1.33,8.5,4.8,1.33,0
4/14/2018,Tottenham,Man City,1,3,A,0,3,A,2,4,10,8,0,0,0,0,2.62,3.6,2.7,2.7,3.3,2.7,0
4/29/2018,West Ham,Man City,1,3,A,1,2,A,3,6,11,12,3,4,0,0,10,5.75,1.33,11,5,1.33,0
5/13/2018,Southampton,Man City,1,4,A,1,2,A,1,7,5,11,0,1,0,0,9,5,1.39,8.5,4.5,1.4,0
8/20/2016,Stoke,Man City,0,1,A,0,0,D,3,2,8,10,3,1,0,0,5.5,3.8,1.73,5,3.5,1.73,0
9/10/2016,Man United,Man City,1,4,A,0,2,A,3,6,12,13,3,4,0,0,2.38,3.25,3.4,2.38,3.2,3.4,0
9/24/2016,Swansea,Man City,1,2,A,1,2,A,3,6,15,10,4,2,0,0,9,5.5,1.36,9,4.5,1.4,0
10/2/2016,Tottenham,Man City,1,3,A,1,1,D,5,4,15,9,2,4,0,0,3,3.5,2.5,3,3.4,2.4,1
10/29/2016,West Brom,Man City,2,0,H,2,0,H,7,6,20,10,2,2,0,0,8,4.75,1.44,8,4.5,1.44,0
11/19/2016,Crystal Palace,Man City,0,4,A,0,2,A,1,8,17,10,4,3,0,0,6.5,4.5,1.53,6,4.2,1.57,0
11/26/2016,Burnley,Man City,1,2,A,0,1,A,2,4,12,15,1,2,0,0,9,6,1.33,9,5.5,1.33,0
12/10/2016,Leicester,Man City,1,2,A,1,1,D,5,5,5,15,2,3,0,0,5.25,4,1.7,5,3.8,1.73,1
12/26/2016,Hull,Man City,4,2,H,3,0,H,6,4,10,7,2,1,0,0,10,5.5,1.3,9,5.5,1.33,0
12/31/2016,Liverpool,Man City,0,3,A,0,0,D,3,6,11,14,1,0,0,0,2.35,3.6,3.1,2.4,3.3,3.1,1
1/15/2017,Everton,Man City,1,0,H,1,0,H,1,2,12,12,2,1,0,0,4.5,4,1.8,4.33,3.75,1.83,1
2/1/2017,West Ham,Man City,4,0,H,1,0,H,4,5,17,7,2,2,0,0,6,4.5,1.57,6,4.2,1.57,0
2/13/2017,Bournemouth,Man City,0,4,A,0,3,A,1,4,11,14,3,3,0,0,7.5,5,1.44,7,4.8,1.44,0
3/5/2017,Sunderland,Man City,0,2,A,0,1,A,1,5,8,11,2,3,0,0,11,6.5,1.29,11,5.5,1.3,0
4/2/2017,Arsenal,Man City,0,2,A,0,1,A,3,7,11,4,1,0,0,0,3.1,3.75,2.3,3.1,3.5,2.3,0
4/5/2017,Chelsea,Man City,2,2,D,1,2,A,3,5,8,15,3,2,0,0,2.4,3.5,3.1,2.4,3.3,3.1,1
4/15/2017,Southampton,Man City,2,1,H,2,1,H,4,7,10,14,1,3,0,0,4.33,4,1.73,4.4,3.8,1.75,0
4/30/2017,Middlesbrough,Man City,0,3,A,0,0,D,1,5,9,8,3,0,0,0,13,5.25,1.25,9,5,1.33,0
5/21/2017,Watford,Man City,2,2,D,1,0,H,6,4,9,9,4,4,0,0,11,6,1.3,10,5.5,1.29,0
8/10/2015,West Brom,Man City,0,5,A,0,4,A,3,9,12,10,1,0,0,0,5.75,4,1.67,5.5,3.5,1.7,0
8/23/2015,Everton,Man City,0,3,A,0,2,A,2,7,12,9,4,1,0,0,5,4,1.73,5,3.5,1.75,0
9/12/2015,Crystal Palace,Man City,0,2,A,0,0,D,1,9,5,7,0,3,0,0,5.5,4.2,1.67,5.5,3.8,1.62,0
9/26/2015,Tottenham,Man City,0,1,A,0,0,D,2,7,13,13,2,3,0,0,4.2,3.8,1.91,4,3.4,1.95,1
10/25/2015,Man United,Man City,4,1,H,1,1,D,8,8,17,6,5,1,0,0,2.6,3.5,2.8,2.7,3.2,2.88,0
11/8/2015,Aston Villa,Man City,0,0,D,0,0,D,1,1,17,13,2,2,0,0,7.5,5,1.44,8,4,1.44,0
12/5/2015,Stoke,Man City,0,0,D,0,0,D,0,3,7,7,1,1,0,0,5.25,4,1.7,5.5,3.4,1.7,1
12/21/2015,Arsenal,Man City,2,0,H,2,0,H,4,4,9,10,0,1,0,0,2.45,3.5,3,2.4,3.1,3.1,1
12/29/2015,Leicester,Man City,2,1,H,2,0,H,5,6,5,16,0,2,0,0,4.33,4,1.85,3.75,3.75,1.91,0
1/2/2016,Watford,Man City,0,0,D,0,0,D,4,5,11,8,1,3,0,0,5,4,1.75,5,3.6,1.73,0
1/23/2016,West Ham,Man City,1,2,A,0,0,D,3,5,6,10,1,0,0,0,5,4,1.73,5,3.6,1.73,0
2/2/2016,Sunderland,Man City,2,2,D,1,1,D,3,3,11,15,2,3,0,0,8,4.75,1.45,7,4,1.5,0
3/2/2016,Liverpool,Man City,0,1,A,0,1,A,2,2,6,15,1,4,0,0,2.63,3.4,2.88,2.62,3.2,2.8,1
3/12/2016,Norwich,Man City,3,0,H,2,0,H,7,2,14,14,0,1,0,0,6,4.2,1.6,6,3.6,1.62,0
4/2/2016,Bournemouth,Man City,0,0,D,0,0,D,0,3,15,10,3,1,0,0,3.75,3.6,2.1,3.75,3.3,2.05,0
4/16/2016,Chelsea,Man City,0,4,A,0,3,A,2,7,9,8,0,1,0,0,2.75,3.4,2.7,2.7,3.1,2.7,0
4/19/2016,Newcastle,Man City,0,3,A,0,1,A,4,8,12,15,2,3,1,0,6,4.5,1.57,6,3.8,1.57,0
5/1/2016,Southampton,Man City,1,1,D,1,1,D,3,5,13,8,3,2,0,0,2.8,3.4,2.7,2.75,3.1,2.7,1
5/15/2016,Swansea,Man City,4,2,H,2,1,H,7,5,12,9,2,1,0,0,6,4.75,1.53,5.5,4.33,1.53,0
8/25/2013,Cardiff,Man City,1,1,D,1,1,D,1,5,4,19,1,3,0,0,8.5,4.75,1.44,7.5,4.5,1.4,1
9/14/2013,Stoke,Man City,3,2,H,0,0,D,6,5,2,9,0,0,0,0,6,4,1.65,6,3.2,1.7,0
9/28/2013,Aston Villa,Man City,0,0,D,0,0,D,3,3,13,11,1,1,0,0,6.5,4.2,1.57,6.5,3.6,1.57,1
10/19/2013,West Ham,Man City,3,2,H,0,1,A,4,7,13,9,1,1,0,0,5.5,3.8,1.73,5.5,3.3,1.73,0
10/27/2013,Chelsea,Man City,1,3,A,0,1,A,2,9,7,12,1,2,0,0,2.38,3.4,3.2,2.4,3,3.2,1
11/10/2013,Sunderland,Man City,2,1,H,1,0,H,4,6,11,15,2,3,0,0,9,5,1.4,7.5,4.75,1.4,1
12/4/2013,West Brom,Man City,1,0,H,1,0,H,2,4,6,13,0,1,0,0,6,4.2,1.62,6,3.6,1.62,0
12/7/2013,Southampton,Man City,2,3,A,0,2,A,1,5,8,10,1,1,0,0,5.25,3.8,1.75,5,3.4,1.75,0
12/21/2013,Fulham,Man City,1,1,D,1,1,D,4,3,6,9,0,2,0,0,9.5,5.25,1.36,8,4.5,1.4,0
1/1/2014,Swansea,Man City,2,4,A,0,2,A,5,10,7,15,1,1,0,0,5.75,4.25,1.62,5,4.2,1.53,0
1/12/2014,Newcastle,Man City,2,3,A,1,1,D,4,4,5,10,2,5,0,0,5.25,4,1.7,5.5,3.3,1.73,0
1/29/2014,Tottenham,Man City,0,2,A,0,1,A,5,6,18,15,4,2,0,0,3.75,3.75,2.05,3.6,3.5,2,0
2/8/2014,Norwich,Man City,1,5,A,0,1,A,2,10,11,10,1,4,1,0,9,5.5,1.36,10,4.33,1.36,0
3/15/2014,Hull,Man City,0,0,D,0,0,D,2,2,7,6,2,1,0,0,6.5,4.33,1.57,6,3.8,1.57,0
3/25/2014,Man United,Man City,0,2,A,0,1,A,5,3,9,14,2,2,0,1,3.5,3.6,2.15,3.4,3.3,2.15,0
3/29/2014,Arsenal,Man City,0,3,A,0,1,A,4,4,12,8,2,2,0,0,3.6,3.5,2.15,3.6,3.2,2.1,0
4/13/2014,Liverpool,Man City,1,1,D,0,1,A,3,4,8,11,1,4,0,0,2.45,3.7,2.9,2.5,3.1,2.9,1
4/27/2014,Crystal Palace,Man City,3,2,H,2,0,H,4,5,7,9,1,3,1,0,7.5,5,1.44,8,4,1.44,0
5/3/2014,Everton,Man City,0,2,A,0,2,A,2,6,9,10,3,1,0,0,5,4,1.75,5,3.4,1.75,0
8/26/2012,Liverpool,Man City,2,3,A,1,2,A,4,6,3,9,0,3,0,0,3.1,3.4,2.3,2.9,3.4,2.38,0
9/15/2012,Stoke,Man City,2,2,D,1,0,H,8,5,10,7,1,0,0,0,5,3.6,1.73,5.5,3.2,1.75,0
9/29/2012,Fulham,Man City,1,1,D,1,1,D,3,11,12,12,0,1,0,0,4.33,3.6,1.83,4.5,3.1,1.91,0
10/20/2012,West Brom,Man City,1,2,A,1,1,D,3,12,7,12,0,1,0,0,5,3.75,1.7,5,3.4,1.75,0
11/3/2012,West Ham,Man City,1,2,A,0,0,D,8,13,11,15,4,3,0,1,5,3.8,1.7,4.8,3.8,1.7,0
11/25/2012,Chelsea,Man City,0,0,D,0,0,D,1,8,11,12,3,0,0,0,2.5,3.5,2.7,2.62,3.1,2.8,0
11/28/2012,Wigan,Man City,0,0,D,0,0,D,1,7,9,16,0,3,0,0,6,4.2,1.53,6,4,1.53,0
12/15/2012,Newcastle,Man City,0,2,A,0,0,D,4,6,13,12,1,1,0,0,5.5,3.75,1.67,5.5,3.6,1.62,0
12/26/2012,Sunderland,Man City,1,3,A,0,2,A,8,10,9,16,3,2,0,0,6.5,4,1.53,7.5,3.4,1.57,1
12/29/2012,Norwich,Man City,1,0,H,0,0,D,6,12,14,16,1,3,0,0,6,4,1.57,6,3.6,1.6,0
1/13/2013,Arsenal,Man City,3,4,A,1,2,A,8,9,8,10,3,1,0,1,2.63,3.5,2.8,2.7,3,2.8,0
1/29/2013,QPR,Man City,0,2,A,0,2,A,4,9,11,18,2,4,1,1,7.5,4.5,1.5,7,4,1.5,0
2/9/2013,Southampton,Man City,0,0,D,0,0,D,3,7,9,9,2,2,0,0,5.75,4,1.67,5.5,3.6,1.67,1
3/4/2013,Aston Villa,Man City,3,1,H,2,1,H,7,4,9,13,1,2,0,0,7.5,4.5,1.44,6,4.33,1.5,0
3/16/2013,Everton,Man City,0,1,A,0,1,A,5,12,10,14,2,0,0,0,3.9,3.6,2.05,3.75,3.1,2.1,1
4/8/2013,Man United,Man City,2,0,H,1,0,H,5,11,15,10,4,3,1,0,2.3,3.5,3.3,2.3,3,3.4,0
4/21/2013,Tottenham,Man City,1,2,A,0,0,D,7,5,13,18,3,5,0,0,3.25,3.6,2.3,3.2,3.2,2.3,1
