Date,HomeTeam,AwayTeam,FT_HomeGoals,FT_AwayGoals,FT_Result,HT_HomeGoals,HT_AwayGoals,HT_Result,HomeShotsonTarget,AwayShotsonTarget,HomeFouls,AwayFouls,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,Bet365_HomeWin_Odds,Bet365_Draw_Odds,Bet365_AwayWin_Odds,WilliamHill_HomeWin_Odds,WilliamHill_HomeDraw_Odds,WilliamHill_AwayWin_Odds,Result
8/25/2019,Bournemouth,Man City,0,5,A,0,1,A,3,9,6,13,2,2,0,0,15,7.5,1.16,15,7.5,1.18,0
9/14/2019,Norwich,Man City,1,3,A,1,2,A,7,5,7,13,1,3,0,0,15,9,1.14,17,8.5,1.14,1
9/28/2019,Everton,Man City,3,2,H,2,1,H,3,8,8,7,3,1,0,0,10,5.5,1.3,10,5.8,1.29,0
10/19/2019,Crystal Palace,Man City,1,3,A,1,1,D,8,9,4,8,2,2,0,0,12,7,1.22,13,6.5,1.22,0
11/10/2019,Liverpool,Man City,0,2,A,0,2,A,2,10,8,10,1,1,0,0,2.5,3.6,2.62,2.55,3.6,2.62,1
11/30/2019,Newcastle,Man City,3,1,H,2,0,H,5,3,10,5,0,2,0,0,13,8,1.16,15,7.5,1.18,0
12/3/2019,Burnley,Man City,2,2,D,1,1,D,3,9,4,6,1,2,0,0,11,7,1.22,12,6.5,1.24,0
12/15/2019,Arsenal,Man City,1,4,A,0,1,A,2,8,9,6,1,1,0,0,6,5.25,1.44,6,5.25,1.44,0
12/27/2019,Wolves,Man City,0,3,A,0,3,A,1,7,9,24,1,4,0,0,8.5,5,1.36,8,5,1.38,1
1/12/2020,Aston Villa,Man City,3,2,H,0,1,A,8,3,7,13,0,1,0,1,13,8.5,1.16,15,8,1.17,0
1/21/2020,Sheffield United,Man City,1,6,A,0,4,A,1,12,5,12,2,1,0,0,7,5,1.4,7.5,4.75,1.42,0
2/2/2020,Tottenham,Man City,0,1,A,0,0,D,1,5,13,13,4,3,0,0,5.5,4.6,1.53,5.8,4.33,1.55,1
2/22/2020,Leicester,Man City,2,0,H,0,0,D,3,5,8,14,2,3,0,1,4.5,4.2,1.7,4.5,4,1.73,0
3/8/2020,Man United,Man City,0,1,A,0,0,D,3,7,14,10,0,0,0,0,5,4.33,1.6,5,4.2,1.63,1
6/25/2020,Chelsea,Man City,2,0,H,1,0,H,6,2,11,9,2,4,0,0,4,4,1.8,4.2,4,1.78,1
7/5/2020,Southampton,Man City,2,1,H,1,0,H,10,2,13,3,1,1,0,1,8.5,6,1.3,10,5.5,1.3,1
7/11/2020,Brighton,Man City,1,0,H,1,0,H,4,6,6,7,1,2,0,0,10,5.5,1.28,11,5.5,1.29,0
7/21/2020,Watford,Man City,0,5,A,0,2,A,0,8,7,3,1,0,0,0,8.5,5.5,1.33,9.5,5.8,1.3,0
