Date,HomeTeam,AwayTeam,FT_HomeGoals,FT_AwayGoals,FT_Result,HT_HomeGoals,HT_AwayGoals,HT_Result,HomeShotsonTarget,AwayShotsonTarget,HomeFouls,AwayFouls,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,Bet365_HomeWin_Odds,Bet365_Draw_Odds,Bet365_AwayWin_Odds,WilliamHill_HomeWin_Odds,WilliamHill_HomeDraw_Odds,WilliamHill_AwayWin_Odds,Result
9/1/2018,Man City,Newcastle,6,1,H,3,1,H,14,1,9,4,0,2,0,0,1.11,11,26,1.08,10,26,1
9/15/2018,Man City,Fulham,2,1,H,1,1,D,8,2,5,13,0,0,0,0,1.12,10,26,1.12,9,17,1
9/29/2018,Man City,Brighton,3,0,H,2,0,H,9,3,7,7,0,0,0,0,1.1,12,34,1.07,12,29,1
10/20/2018,Man City,Burnley,2,0,H,1,0,H,8,1,4,10,0,3,0,0,1.08,13,34,1.06,13,26,1
11/4/2018,Man City,Southampton,5,0,H,1,0,H,10,0,11,5,2,2,0,0,1.11,11,29,1.11,10,21,1
11/11/2018,Man City,Man United,6,1,H,4,1,H,8,6,14,9,1,1,0,0,1.4,5.25,8.5,1.38,5,7.5,1
12/1/2018,Man City,Bournemouth,3,1,H,1,0,H,5,1,12,12,1,1,0,0,1.11,11,26,1.1,10,23,1
12/15/2018,Man City,Everton,3,1,H,1,1,D,6,1,9,3,0,0,0,0,1.22,7.5,13,1.2,7,13,1
12/22/2018,Man City,Crystal Palace,3,1,H,1,0,H,5,2,7,9,1,2,0,0,1.14,10,21,1.12,8.5,23,0
1/3/2019,Man City,Liverpool,2,3,A,1,2,A,5,3,7,6,0,4,0,0,2.04,3.8,3.6,2,3.75,3.5,1
1/14/2019,Man City,Wolves,2,1,H,1,0,H,4,5,12,7,4,2,0,0,1.18,8,17,1.17,7.5,17,1
2/3/2019,Man City,Arsenal,3,0,H,2,0,H,9,0,6,3,1,0,0,1,1.33,6,9,1.29,6,9.5,1
2/10/2019,Man City,Chelsea,3,1,H,2,1,H,12,2,11,8,1,1,0,0,1.5,4.75,7,1.5,4.4,6.5,1
2/27/2019,Man City,West Ham,6,0,H,4,0,H,9,4,9,13,1,2,0,0,1.16,9,19,1.14,8,19,1
3/9/2019,Man City,Watford,1,0,H,0,0,D,7,1,2,6,0,2,0,0,1.16,9,19,1.14,8,19,1
4/3/2019,Man City,Cardiff,3,1,H,0,0,D,9,1,11,7,1,1,0,0,1.06,17,34,1.05,13,46,1
4/20/2019,Man City,Tottenham,2,0,H,2,0,H,11,1,3,17,0,3,0,0,1.3,6,11,1.27,6,11,1
5/6/2019,Man City,Leicester,1,0,H,1,0,H,4,4,11,11,1,2,0,0,1.12,8.5,17,1.15,8,17,1
8/21/2017,Man City,Everton,1,0,H,0,0,D,5,2,12,5,3,2,0,0,1.33,5.75,10,1.33,5,9,0
9/9/2017,Man City,Liverpool,1,1,D,0,1,A,6,2,7,9,1,2,1,1,1.85,4,4.2,1.85,3.75,4,1
9/23/2017,Man City,Crystal Palace,5,0,H,2,0,H,7,3,10,9,2,2,0,1,1.14,10,21,1.14,7.5,21,1
10/14/2017,Man City,Stoke,5,0,H,1,0,H,9,0,6,7,3,1,0,0,1.14,9.5,21,1.14,8.5,21,1
10/21/2017,Man City,Burnley,7,2,H,3,1,H,11,1,5,8,0,1,0,0,1.11,12,26,1.11,9,26,1
11/5/2017,Man City,Arsenal,3,0,H,1,0,H,10,0,10,6,2,3,0,0,1.39,5.5,7.5,1.44,4.8,7,1
11/29/2017,Man City,Southampton,3,1,H,1,0,H,5,3,15,15,1,6,0,0,1.19,8,15,1.2,7,17,1
12/3/2017,Man City,West Ham,2,1,H,0,0,D,12,2,12,11,1,1,0,0,1.08,11,21,1.11,10,23,1
12/16/2017,Man City,Tottenham,2,1,H,0,1,A,8,4,5,7,2,2,0,0,1.55,4.59,6,1.53,4.5,6,1
12/23/2017,Man City,Bournemouth,4,1,H,1,0,H,11,2,13,20,2,4,0,0,1.12,11,23,1.1,11,26,1
1/2/2018,Man City,Watford,4,0,H,1,0,H,5,1,8,7,0,1,0,0,1.12,8.5,19,1.15,8,19,1
1/20/2018,Man City,Newcastle,3,1,H,2,0,H,7,4,8,12,1,1,0,0,1.12,10,26,1.12,9,26,1
1/31/2018,Man City,West Brom,3,1,H,1,0,H,9,4,5,10,0,1,0,0,1.14,10,21,1.14,9,19,1
2/10/2018,Man City,Leicester,3,0,H,1,0,H,10,1,10,10,1,3,0,0,1.19,6.5,13,1.22,6,12,1
3/4/2018,Man City,Chelsea,5,1,H,1,1,D,11,2,10,12,2,3,0,0,1.61,4.2,6,1.62,4,6,1
4/7/2018,Man City,Man United,1,0,H,0,0,D,3,0,8,9,2,1,0,0,1.89,3.79,4.2,1.85,3.6,4.33,0
4/22/2018,Man City,Swansea,2,3,A,2,0,H,6,4,17,9,6,3,0,0,1.14,9,23,1.14,8.5,21,1
5/6/2018,Man City,Huddersfield,5,0,H,2,0,H,12,1,6,8,0,1,0,0,1.08,13,34,1.11,9,26,0
5/9/2018,Man City,Brighton,0,0,D,0,0,D,2,3,9,4,0,3,0,0,1.12,10,27,1.12,10,21,1
8/13/2016,Man City,Sunderland,3,1,H,2,1,H,7,3,5,7,0,1,0,0,1.25,6.5,15,1.25,5.5,13,1
8/28/2016,Man City,West Ham,2,1,H,1,0,H,4,3,11,14,1,2,0,0,1.25,6,11,1.3,5.5,9.5,1
9/17/2016,Man City,Bournemouth,3,1,H,2,0,H,5,2,5,10,1,3,0,0,1.29,6,12,1.29,5,12,1
10/15/2016,Man City,Everton,4,0,H,2,0,H,12,2,8,11,1,1,1,0,1.5,4.75,7,1.5,4.33,7,0
10/23/2016,Man City,Southampton,1,1,D,0,0,D,8,2,7,9,0,2,0,0,1.5,4.5,7.5,1.5,4.33,7,0
11/5/2016,Man City,Middlesbrough,1,1,D,0,1,A,3,2,11,10,3,3,0,0,1.22,7,15,1.22,6.5,13,0
12/3/2016,Man City,Chelsea,1,1,D,1,0,H,7,3,7,15,1,3,0,0,2.15,3.6,3.6,2.2,3.3,3.5,0
12/14/2016,Man City,Watford,1,3,A,1,0,H,5,4,14,9,2,3,2,0,1.29,6.5,11,1.25,6.5,12,1
12/18/2016,Man City,Arsenal,2,0,H,1,0,H,7,2,16,20,1,2,0,0,2.15,3.6,3.5,2.2,3.4,3.4,1
1/2/2017,Man City,Burnley,2,1,H,0,1,A,5,1,9,13,4,2,0,0,1.17,8.5,19,1.18,7,15,1
1/21/2017,Man City,Tottenham,2,1,H,0,0,D,3,3,11,11,4,3,1,0,2.15,3.5,3.6,2.15,3.4,3.6,0
2/5/2017,Man City,Swansea,2,2,D,0,0,D,7,2,10,7,2,4,0,0,1.22,7,15,1.22,7,13,1
3/8/2017,Man City,Stoke,2,1,H,1,0,H,5,2,9,13,2,3,0,0,1.25,6.5,15,1.25,6,13,0
3/19/2017,Man City,Liverpool,0,0,D,0,0,D,1,2,8,11,1,3,0,0,2,3.75,3.8,2,3.6,3.8,0
4/8/2017,Man City,Hull,1,1,D,0,0,D,3,4,14,7,3,3,0,0,1.2,7.5,17,1.22,6,13,1
4/27/2017,Man City,Man United,3,1,H,1,0,H,7,1,6,8,0,2,0,0,1.91,3.75,4.2,1.85,3.75,4,0
5/6/2017,Man City,Crystal Palace,0,0,D,0,0,D,6,1,10,8,1,0,0,1,1.29,6.5,11,1.25,6,11,1
5/13/2017,Man City,Leicester,5,0,H,1,0,H,12,2,12,8,1,3,0,0,1.25,7,12,1.25,5.5,12,1
5/16/2017,Man City,West Brom,2,1,H,2,1,H,5,4,12,16,3,3,0,0,1.14,9,23,1.14,7.5,21,1
8/16/2015,Man City,Chelsea,3,1,H,2,0,H,10,2,8,11,1,2,0,0,2.1,3.5,3.75,2.15,3.2,3.6,1
8/29/2015,Man City,Watford,3,0,H,1,0,H,8,3,19,13,4,2,0,0,1.2,8,15,1.22,6,13,1
9/19/2015,Man City,West Ham,2,0,H,0,0,D,5,0,9,12,1,2,0,0,1.29,6.5,11,1.29,5,12,0
10/3/2015,Man City,Newcastle,1,2,A,1,2,A,8,3,10,7,1,2,0,0,1.25,7,13,1.25,6,13,1
10/17/2015,Man City,Bournemouth,6,1,H,1,1,D,11,4,13,8,3,1,0,0,1.33,5.75,10,1.36,4.8,8.5,1
10/31/2015,Man City,Norwich,5,1,H,4,1,H,11,1,11,5,2,1,0,0,1.29,6,12,1.29,5,12,1
11/21/2015,Man City,Liverpool,2,1,H,0,0,D,5,3,4,13,2,2,0,1,1.7,4,5.5,1.7,3.5,5.5,0
11/28/2015,Man City,Southampton,1,4,A,1,3,A,3,9,5,13,0,3,0,0,1.6,4.33,6,1.57,3.8,6,1
12/12/2015,Man City,Swansea,3,1,H,2,0,H,9,8,14,11,2,1,0,0,1.3,6,11,1.33,4.8,10,1
12/26/2015,Man City,Sunderland,2,1,H,1,0,H,5,7,13,15,3,1,0,0,1.2,7,13,1.22,6,13,1
1/13/2016,Man City,Everton,4,1,H,3,0,H,9,3,10,11,1,1,0,0,1.53,4.75,6,1.53,4,6.5,0
1/16/2016,Man City,Crystal Palace,0,0,D,0,0,D,5,2,5,6,0,1,0,0,1.4,5.25,8.5,1.4,4.2,9,1
2/6/2016,Man City,Leicester,4,0,H,2,0,H,4,3,10,11,0,2,0,0,1.62,4.2,6,1.62,3.6,6,0
2/14/2016,Man City,Tottenham,1,3,A,0,1,A,4,7,9,15,2,2,0,0,2.1,3.75,3.6,2.1,3.3,3.6,0
3/5/2016,Man City,Aston Villa,1,2,A,0,0,D,4,3,12,17,1,3,0,0,1.22,7,15,1.22,5.5,17,1
3/20/2016,Man City,Man United,4,0,H,0,0,D,9,1,10,10,0,1,0,0,1.83,3.75,4.75,1.85,3.4,4.5,0
4/9/2016,Man City,West Brom,0,1,A,0,1,A,2,3,9,12,1,1,0,0,1.33,5,9,1.33,4.8,10,1
4/23/2016,Man City,Stoke,2,1,H,1,1,D,4,2,10,7,0,1,0,0,1.3,6,11,1.33,5,9,1
5/8/2016,Man City,Arsenal,4,0,H,2,0,H,6,2,8,8,0,0,0,0,2.5,3.6,2.9,2.5,3.1,2.9,0
8/31/2013,Man City,Hull,2,2,D,1,1,D,3,2,16,10,2,1,0,0,1.17,8.5,19,1.17,7,17,1
9/22/2013,Man City,Man United,2,0,H,0,0,D,6,2,15,14,2,3,0,0,2.2,3.4,3.6,2.25,3.2,3.6,1
10/5/2013,Man City,Everton,4,1,H,2,0,H,5,3,8,12,1,2,0,0,1.67,4.2,5.5,1.67,3.5,5.5,1
11/2/2013,Man City,Norwich,3,1,H,2,1,H,6,4,15,10,5,4,0,0,1.2,7.5,18,1.2,6,15,1
11/24/2013,Man City,Tottenham,7,0,H,4,0,H,9,1,6,9,1,1,0,0,1.7,4,5.5,1.73,3.3,5.5,1
