Date,HomeTeam,AwayTeam,FT_HomeGoals,FT_AwayGoals,FT_Result,HT_HomeGoals,HT_AwayGoals,HT_Result,HomeShotsonTarget,AwayShotsonTarget,HomeFouls,AwayFouls,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,Bet365_HomeWin_Odds,Bet365_Draw_Odds,Bet365_AwayWin_Odds,WilliamHill_HomeWin_Odds,WilliamHill_HomeDraw_Odds,WilliamHill_AwayWin_Odds,Result
8/31/2019,Man City,Brighton,2,2,D,2,1,H,10,2,14,4,1,0,0,0,1.08,10,26,1.07,11,34,1
9/21/2019,Man City,Watford,4,0,H,2,0,H,6,2,10,6,1,1,0,0,1.1,11,21,1.1,11,21,1
10/6/2019,Man City,Wolves,8,0,H,5,0,H,11,4,5,9,2,2,0,0,1.12,9,21,1.11,9,26,0
10/26/2019,Man City,Aston Villa,0,2,A,0,0,D,2,2,11,14,5,2,0,0,1.08,11,26,1.07,12,29,1
11/2/2019,Man City,Southampton,3,0,H,0,0,D,9,5,10,5,1,1,1,0,1.07,13,23,1.06,12,36,1
11/23/2019,Man City,Chelsea,2,1,H,0,1,A,4,3,11,10,3,1,0,0,1.44,5,6.5,1.42,5,7,1
12/7/2019,Man City,Man United,2,1,H,2,1,H,4,2,5,9,1,1,0,0,1.3,5.5,10,1.29,5.5,11,0
12/21/2019,Man City,Leicester,1,2,A,0,2,A,5,7,10,10,3,2,0,0,1.36,5.25,7.5,1.36,5.25,8,1
12/29/2019,Man City,Sheffield United,3,1,H,2,1,H,12,2,14,9,2,2,0,0,1.16,7.5,16,1.18,7.5,15,1
1/1/2020,Man City,Everton,2,0,H,0,0,D,4,0,5,6,1,1,0,0,1.25,6.5,10,1.27,6,11,1
1/18/2020,Man City,Crystal Palace,2,1,H,0,0,D,7,2,11,11,0,4,0,0,1.1,11,19,1.08,11,29,0
2/19/2020,Man City,West Ham,2,2,D,0,1,A,6,3,9,7,1,2,0,0,1.12,9.5,17,1.12,9,19,1
6/17/2020,Man City,Arsenal,2,0,H,1,0,H,7,0,5,7,0,1,0,0,1.36,5.25,7.5,1.33,5.5,8.5,1
6/22/2020,Man City,Burnley,3,0,H,1,0,H,12,0,9,7,1,1,0,1,1.12,9,15,1.11,9,23,1
7/2/2020,Man City,Liverpool,5,0,H,3,0,H,7,0,8,7,1,1,0,0,2.05,3.9,3.3,2.05,3.8,3.3,1
7/8/2020,Man City,Newcastle,4,0,H,3,0,H,6,3,8,7,2,2,0,0,1.12,9,21,1.11,9,26,1
7/15/2020,Man City,Bournemouth,5,0,H,2,0,H,9,1,12,7,0,0,0,0,1.14,8.5,17,1.12,9,19,1
7/26/2020,Man City,Norwich,2,1,H,2,0,H,4,3,10,10,1,1,0,0,1.08,11,26,1.07,15,21,1
