Date,HomeTeam,AwayTeam,FT_HomeGoals,FT_AwayGoals,FT_Result,HT_HomeGoals,HT_AwayGoals,HT_Result,HomeShotsonTarget,AwayShotsonTarget,HomeFouls,AwayFouls,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,Bet365_HomeWin_Odds,Bet365_Draw_Odds,Bet365_AwayWin_Odds,WilliamHill_HomeWin_Odds,WilliamHill_HomeDraw_Odds,WilliamHill_AwayWin_Odds,Result
8/24/2019,Brighton,Southampton,3,0,H,0,0,D,4,3,6,12,0,0,0,0,2.4,3.3,3,2.4,3.2,3.1,0
9/14/2019,Sheffield United,Southampton,0,2,A,0,0,D,3,4,9,10,1,3,1,0,2.45,3.2,3,2.45,3.25,3,0
9/28/2019,Tottenham,Southampton,0,1,A,0,0,D,4,7,10,7,1,1,1,0,1.4,4.75,8,1.42,4.5,8,1
10/19/2019,Wolves,Southampton,2,1,H,2,1,H,4,6,5,16,0,2,1,0,1.8,3.6,4.5,1.83,3.5,4.5,0
11/2/2019,Man City,Southampton,1,1,D,0,0,D,1,5,10,17,3,2,0,0,1.07,13,23,1.06,12,36,1
11/23/2019,Arsenal,Southampton,2,1,H,0,1,A,4,3,11,10,3,1,0,0,1.45,4.75,6.5,1.44,4.75,7,0
12/8/2019,Newcastle,Southampton,2,2,D,1,1,D,5,6,13,19,6,2,0,0,2.5,3.2,2.9,2.6,3.2,2.8,1
12/21/2019,Aston Villa,Southampton,2,1,H,0,0,D,6,4,11,17,1,3,0,0,2.4,3.6,2.8,2.45,3.5,2.8,0
12/26/2019,Chelsea,Southampton,1,3,A,0,2,A,6,8,16,15,2,1,0,0,1.33,5.25,9,1.35,5,9,0
1/11/2020,Leicester,Southampton,0,2,A,0,1,A,3,3,10,9,3,2,0,0,1.6,4,5.5,1.63,3.9,5.5,0
1/21/2020,Crystal Palace,Southampton,1,2,A,1,1,D,5,10,9,17,0,3,0,0,2.7,3.25,2.7,2.7,3.2,2.7,0
2/1/2020,Liverpool,Southampton,0,2,A,0,1,A,0,6,12,13,1,2,0,0,1.25,6,12,1.27,5.8,11,1
2/29/2020,West Ham,Southampton,4,0,H,0,0,D,9,4,9,15,0,2,0,0,2.65,3.6,2.5,2.7,3.5,2.55,1
6/19/2020,Norwich,Southampton,3,1,H,2,1,H,7,2,8,11,1,1,0,0,2.8,3.5,2.45,2.8,3.4,2.5,0
6/28/2020,Watford,Southampton,0,3,A,0,0,D,1,9,9,15,1,1,0,0,2.5,3.3,2.87,2.45,3.3,2.9,0
7/9/2020,Everton,Southampton,1,3,A,0,1,A,0,7,18,9,3,0,0,0,2.05,3.5,3.6,2.05,3.5,3.6,0
7/13/2020,Man United,Southampton,1,1,D,1,1,D,4,4,13,14,3,3,0,0,1.3,5.5,10,1.27,5.8,11,0
7/19/2020,Bournemouth,Southampton,2,2,D,2,1,H,4,5,14,15,1,3,0,0,2.4,3.6,2.8,2.4,3.6,2.8,0
