Date,HomeTeam,AwayTeam,FT_HomeGoals,FT_AwayGoals,FT_Result,HT_HomeGoals,HT_AwayGoals,HT_Result,HomeShotsonTarget,AwayShotsonTarget,HomeFouls,AwayFouls,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,Bet365_HomeWin_Odds,Bet365_Draw_Odds,Bet365_AwayWin_Odds,WilliamHill_HomeWin_Odds,WilliamHill_HomeDraw_Odds,WilliamHill_AwayWin_Odds,Result
8/25/2018,Southampton,Leicester,1,2,D,0,0,D,3,6,10,9,0,1,0,0,2.45,3.2,3.25,2.3,3.3,3.1,0
9/17/2018,Southampton,Brighton,2,2,A,0,0,D,5,5,13,11,1,1,1,0,2.1,3.4,3.9,2.05,3.2,3.75,0
10/7/2018,Southampton,Chelsea,0,3,D,1,0,H,5,4,10,13,2,3,0,0,6,4.1,1.61,5.5,4,1.62,0
10/27/2018,Southampton,Newcastle,0,0,A,0,1,A,6,6,13,11,6,0,0,0,2.1,3.4,3.9,2.15,3.25,3.6,0
11/10/2018,Southampton,Watford,1,1,D,0,0,D,4,0,9,12,0,1,0,0,2.5,3.3,3.1,2.5,3.25,2.9,0
12/1/2018,Southampton,Man United,2,2,D,1,0,H,4,6,13,13,3,2,0,0,4.33,3.6,1.95,4.2,3.5,1.91,0
12/16/2018,Southampton,Arsenal,3,2,D,2,2,D,6,5,12,13,4,4,0,0,4.1,3.9,1.9,3.9,3.75,1.91,1
12/27/2018,Southampton,West Ham,1,2,H,2,1,H,7,4,12,10,3,1,0,0,2.3,3.5,3.3,2.25,3.4,3.2,0
12/30/2018,Southampton,Man City,1,3,A,0,0,D,5,5,10,3,2,0,0,0,10,5.25,1.3,10,5.5,1.3,0
1/19/2019,Southampton,Everton,2,1,A,1,3,A,4,6,11,10,2,3,1,0,2.75,3.4,2.7,2.62,3.3,2.7,1
1/30/2019,Southampton,Crystal Palace,1,1,H,0,0,D,4,2,12,11,2,1,0,0,2.4,3.4,3.2,2.35,3.3,3.1,0
2/9/2019,Southampton,Cardiff,1,2,D,0,1,A,4,3,11,8,2,2,0,1,1.75,3.9,5,1.75,3.7,5,0
2/27/2019,Southampton,Fulham,2,0,A,0,0,D,7,3,15,12,3,3,0,0,1.9,3.7,4.33,1.91,3.5,4.2,1
3/9/2019,Southampton,Tottenham,2,1,H,2,0,H,4,4,15,13,0,1,0,0,4.5,3.8,1.85,4.2,3.7,1.85,1
4/5/2019,Southampton,Liverpool,1,3,H,0,1,A,4,5,16,9,4,2,0,0,9,5,1.4,8.5,4.8,1.36,0
4/13/2019,Southampton,Wolves,3,1,A,1,1,D,1,5,8,7,2,4,0,0,2.6,3.25,3,2.6,3.1,2.9,1
4/27/2019,Southampton,Bournemouth,3,3,H,2,1,H,6,2,13,8,1,3,0,0,1.9,3.9,4.1,1.85,3.7,4.2,0
5/12/2019,Southampton,Huddersfield,1,1,D,1,2,A,7,5,8,9,2,1,0,0,1.44,4.75,8.5,1.4,4.75,8,0
8/12/2017,Southampton,Swansea,0,0,D,1,0,H,3,3,8,6,0,1,0,0,1.62,4,6.5,1.62,3.6,6,0
8/19/2017,Southampton,West Ham,3,2,D,0,0,D,2,0,10,13,2,1,0,0,1.75,3.8,5.25,1.7,3.6,4.5,1
9/9/2017,Southampton,Watford,0,2,H,2,1,H,5,8,18,10,1,1,0,1,1.65,4,6,1.67,3.6,5.5,0
9/23/2017,Southampton,Man United,0,1,A,0,1,A,1,3,8,11,0,0,0,0,5.5,3.8,1.73,5,3.6,1.73,0
10/15/2017,Southampton,Newcastle,2,2,A,0,1,A,4,4,12,9,1,4,0,0,1.91,3.6,4.5,1.85,3.6,4.5,0
10/21/2017,Southampton,West Brom,1,0,D,0,1,A,2,5,11,12,1,2,0,0,1.85,3.39,5.25,1.83,3.4,5,1
11/4/2017,Southampton,Burnley,0,1,H,0,0,D,6,2,10,8,0,1,0,0,1.66,3.75,6.5,1.67,3.5,6.5,0
11/26/2017,Southampton,Everton,4,1,A,0,0,D,3,1,4,4,0,0,0,0,1.9,3.39,4.75,1.91,3.3,4.5,1
12/10/2017,Southampton,Arsenal,1,1,H,1,1,D,5,2,6,13,0,0,0,0,4,3.75,1.95,3.8,3.6,1.91,0
12/13/2017,Southampton,Leicester,1,4,D,1,0,H,3,6,12,10,2,2,0,0,2.1,3.39,3.89,2.05,3.4,3.8,0
12/23/2017,Southampton,Huddersfield,1,1,A,0,3,A,4,11,13,9,1,0,0,0,1.61,3.89,6.5,1.62,3.75,6.5,0
