Date,HomeTeam,AwayTeam,FT_HomeGoals,FT_AwayGoals,FT_Result,HT_HomeGoals,HT_AwayGoals,HT_Result,HomeShotsonTarget,AwayShotsonTarget,HomeFouls,AwayFouls,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,Bet365_HomeWin_Odds,Bet365_Draw_Odds,Bet365_AwayWin_Odds,WilliamHill_HomeWin_Odds,WilliamHill_HomeDraw_Odds,WilliamHill_AwayWin_Odds,Result
8/31/2019,Southampton,Man United,1,2,A,0,1,A,3,6,10,6,2,1,0,0,3.8,3.3,2.05,3.75,3.3,2.1,0
9/20/2019,Southampton,Bournemouth,1,1,D,0,1,A,2,8,17,7,1,2,1,0,2.05,3.6,3.5,2.1,3.5,3.5,0
10/6/2019,Southampton,Chelsea,1,3,A,0,2,A,6,3,8,9,1,3,0,0,4,3.8,1.85,4,3.8,1.85,0
10/25/2019,Southampton,Leicester,1,4,A,1,3,A,3,7,8,15,0,1,0,0,3.1,3.4,2.3,3.2,3.3,2.3,0
11/9/2019,Southampton,Everton,0,9,A,0,5,A,3,15,3,12,0,0,1,0,2.9,3.3,2.45,2.9,3.4,2.45,0
11/30/2019,Southampton,Watford,1,2,A,0,1,A,3,5,12,12,1,1,0,0,2.1,3.4,3.5,2.1,3.5,3.5,1
12/4/2019,Southampton,Norwich,2,1,H,0,1,A,6,3,6,10,1,0,0,0,1.72,4,4.2,1.75,4,4.4,1
12/14/2019,Southampton,West Ham,2,1,H,2,0,H,5,3,12,7,1,1,0,0,1.9,3.8,3.8,1.91,3.8,3.75,0
12/28/2019,Southampton,Crystal Palace,0,1,A,0,1,A,2,4,9,14,1,3,0,0,1.95,3.6,3.8,1.95,3.5,4,0
1/1/2020,Southampton,Tottenham,1,1,D,0,0,D,5,2,13,7,1,2,0,0,3.3,3.5,2.1,3.3,3.5,2.15,1
1/18/2020,Southampton,Wolves,1,0,H,1,0,H,3,5,21,8,3,4,0,0,2.4,3.4,3,2.38,3.3,3.1,0
2/15/2020,Southampton,Burnley,2,3,A,2,0,H,5,4,13,12,2,1,0,0,1.75,3.8,4.75,1.75,3.7,4.8,0
2/22/2020,Southampton,Aston Villa,1,2,A,1,1,D,2,6,8,11,2,2,0,0,1.61,4.33,5,1.62,4.2,5.25,1
3/7/2020,Southampton,Newcastle,2,0,H,1,0,H,9,1,13,17,1,4,0,0,1.61,4.1,5.25,1.67,3.8,5.25,0
6/25/2020,Southampton,Arsenal,0,1,A,0,0,D,3,7,14,15,0,3,1,0,2.6,3.5,2.62,2.6,3.5,2.62,0
7/5/2020,Southampton,Man City,0,2,A,0,1,A,3,5,10,14,0,2,1,0,8.5,6,1.3,10,5.5,1.3,1
7/16/2020,Southampton,Brighton,1,0,H,1,0,H,4,6,6,7,1,2,0,0,2.15,3.3,3.5,2.15,3.3,3.5,0
7/26/2020,Southampton,Sheffield United,1,1,D,0,1,A,6,2,6,10,1,0,0,0,2.15,3.5,3.3,2.15,3.4,3.4,1
