Date,HomeTeam,AwayTeam,FT_HomeGoals,FT_AwayGoals,FT_Result,HT_HomeGoals,HT_AwayGoals,HT_Result,HomeShotsonTarget,AwayShotsonTarget,HomeFouls,AwayFouls,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,Bet365_HomeWin_Odds,Bet365_Draw_Odds,Bet365_AwayWin_Odds,WilliamHill_HomeWin_Odds,WilliamHill_HomeDraw_Odds,WilliamHill_AwayWin_Odds,Result
8/28/2010,Blackburn,Arsenal,1,1,D,0,0,D,4,7,13,15,1,3,1,1,6,4,1.57,6,3.8,1.57,0
9/18/2010,Sunderland,Arsenal,1,2,A,1,1,D,7,9,9,7,1,0,0,0,5.5,3.7,1.67,5.5,3.5,1.67,0
10/3/2010,Chelsea,Arsenal,1,1,D,0,1,A,5,7,11,13,2,2,0,1,1.73,3.6,5,1.73,3.75,4.5,1
10/24/2010,Man City,Arsenal,2,0,H,1,0,H,6,5,7,12,1,1,0,0,2.5,3.2,2.9,2.5,3,3,0
11/10/2010,Wolves,Arsenal,0,3,A,0,1,A,6,8,11,10,2,4,1,0,5.5,3.6,1.67,6,3.75,1.57,0
11/14/2010,Everton,Arsenal,0,2,A,0,1,A,7,8,7,14,1,2,0,0,3.4,3.3,2.2,3.3,3.2,2.25,0
11/27/2010,Aston Villa,Arsenal,1,2,A,0,1,A,7,8,15,14,2,2,0,0,3.4,3.3,2.2,3.5,3.3,2.1,0
12/13/2010,Man United,Arsenal,2,4,A,0,2,A,4,10,10,7,1,1,0,0,2,3.4,3.8,2,3.4,3.75,1
12/29/2010,Wigan,Arsenal,1,0,H,1,0,H,10,6,7,16,0,4,0,0,6.5,4.2,1.5,6.5,3.8,1.53,0
1/1/2011,Birmingham,Arsenal,2,2,D,1,2,A,5,9,16,11,1,0,1,0,5.5,3.6,1.67,5,3.75,1.67,0
1/15/2011,West Ham,Arsenal,0,3,A,0,1,A,1,11,7,9,3,1,0,0,6,4,1.57,5.5,4,1.57,0
2/5/2011,Newcastle,Arsenal,0,3,A,0,2,A,6,13,8,7,1,0,0,0,5,4,1.67,5.5,3.5,1.67,0
3/19/2011,West Brom,Arsenal,4,4,D,0,4,A,8,10,13,15,2,3,0,1,5,3.6,1.73,4.2,3.75,1.8,0
4/10/2011,Blackpool,Arsenal,2,2,D,1,0,H,3,11,9,7,1,3,0,0,8.5,5,1.36,7,5,1.4,0
4/20/2011,Tottenham,Arsenal,1,3,A,0,2,A,6,7,13,9,2,2,0,0,2.88,3.4,2.4,2.8,3.3,2.5,0
4/24/2011,Bolton,Arsenal,3,3,D,2,3,A,9,9,8,13,0,3,0,0,4.5,3.8,1.75,4.5,3.5,1.8,1
5/8/2011,Stoke,Arsenal,2,1,H,1,0,H,10,7,13,14,3,3,0,0,5.5,3.75,1.67,5,3.5,1.73,1
5/22/2011,Fulham,Arsenal,3,1,H,2,0,H,7,5,7,10,1,2,0,0,3.75,3.6,1.95,3.5,3.4,1.95,0
8/13/2011,Newcastle,Arsenal,2,2,D,1,1,D,6,6,12,5,2,1,1,0,3.75,3.25,2.1,3.75,3.2,2.05,0
8/28/2011,Man United,Arsenal,0,0,D,0,0,D,1,4,9,11,3,5,0,1,1.5,4.33,6.5,1.53,3.75,7,1
9/17/2011,Blackburn,Arsenal,8,2,H,3,1,H,15,13,9,7,2,3,0,1,4.2,3.4,1.91,4.2,3.25,1.91,1
10/2/2011,Tottenham,Arsenal,4,3,H,1,2,A,5,16,14,9,2,1,0,0,2.1,3.4,3.5,2.15,3.5,3.2,1
10/29/2011,Chelsea,Arsenal,2,1,H,1,0,H,8,7,11,8,2,1,0,0,1.62,4,5.5,1.67,3.5,5.5,0
11/19/2011,Norwich,Arsenal,3,5,A,2,1,H,10,8,7,18,2,3,0,0,5.5,3.6,1.67,5.5,3.4,1.7,0
12/3/2011,Wigan,Arsenal,1,2,A,1,1,D,4,14,11,9,3,0,0,0,6,4,1.57,6,3.8,1.57,0
