Date,HomeTeam,AwayTeam,FT_HomeGoals,FT_AwayGoals,FT_Result,HT_HomeGoals,HT_AwayGoals,HT_Result,HomeShotsonTarget,AwayShotsonTarget,HomeFouls,AwayFouls,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,Bet365_HomeWin_Odds,Bet365_Draw_Odds,Bet365_AwayWin_Odds,WilliamHill_HomeWin_Odds,WilliamHill_HomeDraw_Odds,WilliamHill_AwayWin_Odds,Result
9/11/2010,Everton,Man United,2,2,D,0,1,A,8,7,7,6,2,2,0,0,4.2,3.4,1.91,4.2,3.3,1.91,0
9/26/2010,Bolton,Man United,3,3,D,1,1,D,14,8,11,18,1,1,0,0,7.5,4,1.5,7,4,1.5,0
10/2/2010,Sunderland,Man United,2,2,D,1,1,D,9,6,16,18,1,2,0,0,5,3.5,1.75,5,3.5,1.73,0
10/24/2010,Stoke,Man United,0,0,D,0,0,D,8,4,10,6,1,2,0,0,5.5,3.75,1.67,5,3.5,1.73,0
11/10/2010,Man City,Man United,1,2,A,0,1,A,2,5,6,13,2,2,0,0,2.63,3.25,2.75,2.7,3.1,2.7,0
11/13/2010,Aston Villa,Man United,0,0,D,0,0,D,4,4,10,12,0,2,0,0,4.5,3.6,1.8,4.5,3.3,1.85,0
12/28/2010,Birmingham,Man United,2,2,D,0,0,D,6,10,11,9,3,4,0,0,6.5,4.33,1.5,6.5,3.8,1.53,0
1/1/2011,West Brom,Man United,1,1,D,0,0,D,3,4,10,11,3,3,0,0,6,4.2,1.53,6,4,1.53,0
1/16/2011,Tottenham,Man United,1,2,A,1,1,D,8,3,8,13,1,3,0,0,2.88,3.3,2.5,2.8,3.3,2.5,0
1/25/2011,Blackpool,Man United,0,0,D,0,0,D,6,4,9,18,2,4,0,1,8,5,1.36,9,4.5,1.36,0
2/5/2011,Wolves,Man United,2,3,A,2,0,H,4,13,10,10,1,2,0,0,8.5,4.5,1.4,8,4,1.44,1
2/26/2011,Wigan,Man United,2,1,H,2,1,H,5,7,6,11,2,2,0,0,6.5,4,1.53,6,3.6,1.6,0
