Date,HomeTeam,AwayTeam,FT_HomeGoals,FT_AwayGoals,FT_Result,HT_HomeGoals,HT_AwayGoals,HT_Result,HomeShotsonTarget,AwayShotsonTarget,HomeFouls,AwayFouls,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,Bet365_HomeWin_Odds,Bet365_Draw_Odds,Bet365_AwayWin_Odds,WilliamHill_HomeWin_Odds,WilliamHill_HomeDraw_Odds,WilliamHill_AwayWin_Odds,Result
9/15/2012,Arsenal,Southampton,3,2,H,1,0,H,15,6,4,6,1,2,0,0,1.36,5,8.5,1.4,4,10,1
9/29/2012,Everton,Southampton,6,1,H,4,1,H,12,4,4,7,0,0,0,0,1.4,4.75,8,1.44,4.2,7.5,1
10/20/2012,West Ham,Southampton,3,1,H,3,1,H,9,2,2,3,0,0,0,0,1.83,3.75,4.2,1.91,3.4,4,1
11/5/2012,West Brom,Southampton,4,1,H,0,0,D,8,4,10,12,0,2,0,0,1.73,3.75,4.75,1.75,3.4,5,1
11/17/2012,QPR,Southampton,2,0,H,1,0,H,6,5,6,12,1,0,0,0,1.91,3.6,4,1.95,3.4,4,0
12/1/2012,Liverpool,Southampton,1,3,A,0,2,A,7,15,12,9,1,0,0,0,1.4,4.5,8.5,1.44,4,8,1
12/26/2012,Fulham,Southampton,1,0,H,1,0,H,11,4,10,8,2,0,0,0,1.85,3.6,4.2,1.85,3.3,4.5,0
12/29/2012,Stoke,Southampton,1,1,D,1,0,H,2,3,14,12,3,0,0,0,1.8,3.5,4.75,1.85,3.1,5,0
1/12/2013,Aston Villa,Southampton,3,3,D,1,3,A,8,7,6,9,1,2,1,0,2.55,3.5,2.9,2.62,3.1,2.8,0
1/16/2013,Chelsea,Southampton,0,1,A,0,1,A,10,4,9,6,1,1,0,0,1.25,6.5,15,1.25,5.5,12,0
1/30/2013,Man United,Southampton,2,2,D,2,0,H,10,3,10,11,1,0,0,0,1.25,6.5,14,1.25,6,11,1
2/2/2013,Wigan,Southampton,2,1,H,2,1,H,7,10,10,10,2,1,0,0,2.2,3.5,3.5,2.25,3.1,3.4,0
2/24/2013,Newcastle,Southampton,2,2,D,1,0,H,3,7,6,16,0,2,0,0,2.2,3.5,3.2,2.2,3.1,3.5,1
3/9/2013,Norwich,Southampton,4,2,H,2,1,H,5,7,12,12,0,4,0,0,2.5,3.4,3,2.5,3.1,2.9,0
4/6/2013,Reading,Southampton,0,0,D,0,0,D,2,7,9,10,2,3,0,0,3.3,3.6,2.25,3.3,3.2,2.25,0
4/20/2013,Swansea,Southampton,0,2,A,0,1,A,3,4,5,11,0,0,0,0,2.38,3.5,3.1,2.4,3.1,3.1,0
5/4/2013,Tottenham,Southampton,0,0,D,0,0,D,7,5,11,13,0,0,0,0,1.44,4.75,8,1.5,3.75,7.5,1
5/12/2013,Sunderland,Southampton,1,0,H,0,0,D,4,6,8,9,1,1,0,0,2.8,3.2,2.8,2.8,2.8,2.9,0
8/17/2013,West Brom,Southampton,1,1,D,0,0,D,5,10,9,10,0,2,0,0,2.4,3.4,3.2,2.25,3.3,3.2,0
8/31/2013,Norwich,Southampton,0,1,A,0,0,D,1,2,14,24,4,0,0,0,3,3.3,2.55,2.8,3.3,2.5,1
9/21/2013,Liverpool,Southampton,1,0,H,0,0,D,4,2,11,15,0,0,0,0,1.6,4,6.5,1.62,3.6,6,0
10/19/2013,Man United,Southampton,0,1,A,0,0,D,5,7,6,9,0,1,0,0,1.57,4.33,6.5,1.57,3.75,6,0
11/2/2013,Stoke,Southampton,1,1,D,1,0,H,5,7,10,19,2,3,0,0,3.3,3.3,2.4,3.1,3.1,2.4,0
11/23/2013,Arsenal,Southampton,1,1,D,1,1,D,3,2,13,13,3,1,0,0,1.62,4.2,6,1.67,3.3,6,1
12/1/2013,Chelsea,Southampton,2,0,H,1,0,H,4,4,10,14,0,3,0,0,1.57,4.2,6.5,1.57,3.8,6,1
12/14/2013,Newcastle,Southampton,3,1,H,0,1,A,7,1,15,14,1,4,0,0,2.4,3.4,3.2,2.5,3,3,0
12/26/2013,Cardiff,Southampton,1,1,D,1,0,H,5,3,10,16,1,2,0,0,3.3,3.3,2.38,3.2,3.2,2.3,0
12/29/2013,Everton,Southampton,0,3,A,0,3,A,0,6,11,13,1,2,0,0,1.83,3.7,4.75,1.83,3.4,4.5,1
1/18/2014,Sunderland,Southampton,2,1,H,1,0,H,4,2,9,14,2,4,0,0,3.2,3.3,2.45,3,3,2.5,0
2/1/2014,Fulham,Southampton,2,2,D,1,2,A,5,8,8,8,2,0,0,0,3.6,3.4,2.2,3.3,3.2,2.25,0
2/11/2014,Hull,Southampton,0,3,A,0,0,D,4,5,10,9,0,3,0,0,3,3.25,2.6,2.8,3.1,2.6,0
2/22/2014,West Ham,Southampton,0,1,A,0,0,D,4,7,6,8,0,3,0,0,3.2,3.4,2.4,3,3,2.5,1
3/8/2014,Crystal Palace,Southampton,3,1,H,2,1,H,5,5,10,8,0,1,0,0,3.9,3.3,2.15,3.5,3.1,2.2,0
3/23/2014,Tottenham,Southampton,0,1,A,0,1,A,1,3,14,18,1,5,0,0,2.25,3.4,3.5,2.25,3,3.5,1
4/5/2014,Man City,Southampton,3,2,H,1,2,A,6,4,9,9,1,2,0,0,1.33,5.75,10,1.33,5,9,1
4/19/2014,Aston Villa,Southampton,4,1,H,3,1,H,8,1,9,15,3,0,0,0,3.4,3.4,2.1,3.3,3.3,2.2,0
5/3/2014,Swansea,Southampton,0,0,D,0,0,D,1,2,11,11,0,2,0,0,2.5,3.4,3,2.5,3,3,0
8/9/2015,Newcastle,Southampton,0,1,A,0,0,D,3,4,11,5,1,1,0,0,2.88,3.3,2.7,2.7,3.1,2.7,0
8/23/2015,Watford,Southampton,2,2,D,1,1,D,4,5,9,12,2,4,0,0,2.8,3.3,2.75,2.7,3.1,2.7,0
9/12/2015,West Brom,Southampton,0,0,D,0,0,D,0,5,10,11,0,2,0,0,3.2,3.2,2.5,3.1,3,2.5,0
10/3/2015,Chelsea,Southampton,0,0,D,0,0,D,1,4,5,5,1,0,0,0,1.83,3.7,4.8,1.83,3.2,4.8,0
10/25/2015,Liverpool,Southampton,1,3,A,1,1,D,3,5,14,14,2,5,0,0,2.05,3.6,3.8,2.1,3.3,3.9,0
11/7/2015,Sunderland,Southampton,1,1,D,0,0,D,2,3,8,11,1,0,0,1,4.75,3.8,1.8,5,3.2,1.8,0
11/28/2015,Man City,Southampton,0,1,A,0,0,D,3,4,3,7,1,3,0,0,1.6,4.33,6,1.57,3.8,6,1
12/12/2015,Crystal Palace,Southampton,3,1,H,2,0,H,9,8,14,11,2,1,0,0,2.6,3.3,3,2.5,3.1,3,1
12/28/2015,West Ham,Southampton,1,0,H,1,0,H,5,3,11,13,0,0,0,0,3.6,3.4,2.2,3.4,3.2,2.2,1
1/2/2016,Norwich,Southampton,2,1,H,0,1,A,5,4,6,12,1,3,0,0,3.2,3.4,2.4,3.1,3.2,2.38,1
1/23/2016,Man United,Southampton,1,0,H,0,0,D,1,4,9,7,1,0,0,1,1.91,3.5,4.75,1.91,3.2,4.5,0
2/2/2016,Arsenal,Southampton,0,1,A,0,0,D,1,2,11,8,0,0,0,0,1.75,3.75,5.25,1.8,3.2,5,0
2/13/2016,Swansea,Southampton,0,0,D,0,0,D,11,3,11,19,2,1,0,0,3.2,3.25,2.5,3,3.1,2.5,0
3/1/2016,Bournemouth,Southampton,0,1,A,0,0,D,2,5,10,12,0,3,0,0,2.9,3.25,2.7,2.88,3.1,2.62,1
3/12/2016,Stoke,Southampton,2,0,H,1,0,H,4,1,11,18,0,0,0,0,2.7,3.2,2.9,2.7,3.1,2.7,0
4/3/2016,Leicester,Southampton,1,2,A,0,2,A,2,4,13,12,1,2,0,1,2.25,3.4,3.5,2.3,3.2,3.2,1
4/16/2016,Everton,Southampton,1,0,H,1,0,H,4,2,12,13,2,2,0,0,2.7,3.4,2.8,2.7,3.1,2.7,0
4/23/2016,Aston Villa,Southampton,1,1,D,0,0,D,2,4,8,14,1,1,0,0,7.5,4.2,1.53,7,3.6,1.57,0
5/8/2016,Tottenham,Southampton,2,4,A,1,2,A,7,7,8,9,2,0,0,0,2.05,3.6,3.9,1.91,3.4,4,0
8/19/2016,Man United,Southampton,1,2,A,1,1,D,6,2,8,16,0,3,0,0,1.53,4.2,7.5,1.44,4.33,7.5,1
9/10/2016,Arsenal,Southampton,2,0,H,1,0,H,5,1,11,8,0,0,0,0,1.57,4.2,6.5,1.62,3.5,6.5,1
9/25/2016,West Ham,Southampton,2,1,H,1,1,D,2,5,10,8,2,5,0,0,2.8,3.3,2.75,2.8,3.2,2.7,0
10/2/2016,Leicester,Southampton,0,3,A,0,1,A,1,9,9,14,5,2,0,0,2.25,3.4,3.5,2.25,3.25,3.5,0
10/23/2016,Man City,Southampton,0,0,D,0,0,D,1,5,9,9,1,0,0,0,1.5,4.5,7.5,1.5,4.33,7,0
11/6/2016,Hull,Southampton,1,1,D,0,1,A,3,2,11,10,3,3,0,0,5.75,3.8,1.7,5.5,3.6,1.7,1
12/3/2016,Crystal Palace,Southampton,2,1,H,0,1,A,2,7,13,15,0,5,0,0,3.5,3.3,2.3,3.4,3.2,2.3,1
12/14/2016,Stoke,Southampton,3,0,H,2,0,H,4,3,11,13,3,1,0,0,3.1,3.3,2.5,3.2,3.2,2.4,0
12/18/2016,Bournemouth,Southampton,0,0,D,0,0,D,3,4,9,10,1,2,1,0,3,3.3,2.6,2.9,3.2,2.62,0
1/2/2017,Everton,Southampton,1,3,A,1,1,D,5,8,6,12,0,2,0,0,2.2,3.4,3.6,2.3,3.2,3.4,1
1/14/2017,Burnley,Southampton,3,0,H,0,0,D,6,3,5,14,0,1,0,0,3.6,3.4,2.2,3.5,3.2,2.25,1
1/31/2017,Swansea,Southampton,1,0,H,0,0,D,3,5,14,14,1,2,0,0,3.4,3.4,2.3,3.4,3.2,2.3,1
2/11/2017,Sunderland,Southampton,2,1,H,1,0,H,5,2,10,19,2,0,0,0,3.9,3.4,2.1,3.8,3.3,2.1,0
3/4/2017,Watford,Southampton,0,4,A,0,2,A,1,8,12,14,1,0,0,0,3.6,3.4,2.2,3.5,3.1,2.3,0
3/19/2017,Tottenham,Southampton,3,4,A,1,2,A,4,11,16,9,3,2,0,0,1.73,3.8,5.5,1.73,3.6,5.5,1
4/8/2017,West Brom,Southampton,2,1,H,2,0,H,6,3,12,13,3,3,0,0,3,3.3,2.55,2.8,3.1,2.6,0
4/25/2017,Chelsea,Southampton,0,1,A,0,1,A,6,3,12,12,2,2,0,0,1.45,4.6,8.5,1.44,4.33,8,1
5/7/2017,Liverpool,Southampton,4,2,H,2,1,H,7,4,13,9,2,2,0,0,1.62,4.2,6,1.62,4,6,0
5/13/2017,Middlesbrough,Southampton,0,0,D,0,0,D,8,0,9,4,1,3,0,0,4,3.6,2,3.6,3.4,2.05,0
8/26/2017,Huddersfield,Southampton,1,2,A,0,1,A,3,4,19,11,3,0,0,0,3.9,3.4,2.1,3.8,3.1,2.1,0
9/16/2017,Crystal Palace,Southampton,0,0,D,0,0,D,6,3,10,10,0,1,0,0,3,3.3,2.6,2.8,3.1,2.6,0
9/30/2017,Stoke,Southampton,0,1,A,0,1,A,3,4,14,13,5,1,0,0,2.88,3.2,2.45,2.9,3.2,2.5,1
10/29/2017,Brighton,Southampton,2,1,H,1,0,H,6,3,11,10,1,2,0,0,3.29,3.2,2.45,3.25,3.2,2.38,0
11/18/2017,Liverpool,Southampton,1,1,D,0,1,A,2,1,9,10,3,1,0,0,1.39,5,9,1.4,4.8,8.5,1
11/29/2017,Man City,Southampton,3,0,H,2,0,H,8,0,15,9,1,1,0,0,1.19,8,15,1.2,7,17,1
12/3/2017,Bournemouth,Southampton,2,1,H,0,0,D,12,2,12,11,1,1,0,0,2.89,3.25,2.39,3,3.1,2.6,0
12/16/2017,Chelsea,Southampton,1,1,D,1,0,H,5,4,6,12,2,1,0,0,1.39,5,9,1.36,5,9,1
12/26/2017,Tottenham,Southampton,1,0,H,1,0,H,8,2,8,16,1,3,0,0,1.36,5.25,10,1.33,5,11,1
12/30/2017,Man United,Southampton,5,2,H,2,0,H,7,6,8,15,0,2,0,0,1.36,5.5,9,1.36,4.8,8,0
1/13/2018,Watford,Southampton,0,0,D,0,0,D,3,3,12,13,2,4,0,0,2.5,3.39,3,2.5,3.25,3,0
2/3/2018,West Brom,Southampton,2,2,D,0,2,A,4,4,11,13,0,5,0,0,2.54,3.2,3.1,2.5,3.1,3.1,0
2/24/2018,Burnley,Southampton,2,3,A,1,2,A,3,5,12,10,2,1,0,0,2.89,3.1,2.79,2.62,3.1,2.75,0
3/10/2018,Newcastle,Southampton,1,1,D,0,0,D,3,6,8,14,1,0,0,0,2.79,3.2,2.79,2.8,3.1,2.8,1
3/31/2018,West Ham,Southampton,3,0,H,2,0,H,5,2,10,10,0,2,0,0,2.7,3.25,2.6,2.88,3.1,2.6,1
4/8/2018,Arsenal,Southampton,3,0,H,3,0,H,5,0,9,16,0,3,0,0,1.57,4.5,6,1.57,4.2,6,1
4/19/2018,Leicester,Southampton,3,2,H,2,1,H,7,8,11,7,2,1,1,1,2.25,3.29,3.2,2.38,3.5,3,0
5/5/2018,Everton,Southampton,0,0,D,0,0,D,3,2,10,10,0,0,0,0,2.89,3.29,2.62,2.88,3.2,2.62,0
5/8/2018,Swansea,Southampton,1,1,D,0,0,D,3,5,14,12,2,4,0,1,3.1,3.25,2.54,3,3.2,2.5,0
8/18/2018,Everton,Southampton,0,1,A,0,0,D,3,8,7,15,2,1,0,0,1.9,3.5,4.75,1.91,3.4,4,1
9/1/2018,Crystal Palace,Southampton,2,1,H,2,0,H,7,4,8,20,0,5,0,0,2,3.5,4.2,1.95,3.4,4,0
9/22/2018,Liverpool,Southampton,0,2,A,0,0,D,6,6,11,12,1,1,0,0,1.2,7.5,17,1.18,7,15,1
9/29/2018,Wolves,Southampton,3,0,H,3,0,H,4,1,7,10,0,2,0,0,1.8,3.6,5.25,1.85,3.5,4.5,1
10/20/2018,Bournemouth,Southampton,2,0,H,0,0,D,6,6,11,7,3,1,0,0,2.04,3.7,3.75,2,3.6,3.6,0
